job_id,start_time,end_time,carbon_footprint,executors
0,2024-12-19 18:10:28.465804,2024-12-19 18:11:07.485819,118.34583333333339,"[('10:50', 'task-simulation-9d6a7393e01d5fe0-exec-1'), ('10:52', 'task-simulation-9d6a7393e01d5fe0-exec-1'), ('10:52', 'task-simulation-9d6a7393e01d5fe0-exec-2'), ('10:52', 'task-simulation-9d6a7393e01d5fe0-exec-3'), ('10:53', 'task-simulation-9d6a7393e01d5fe0-exec-1'), ('10:53', 'task-simulation-9d6a7393e01d5fe0-exec-2'), ('10:53', 'task-simulation-9d6a7393e01d5fe0-exec-3'), ('10:55', 'task-simulation-9d6a7393e01d5fe0-exec-1'), ('10:55', 'task-simulation-9d6a7393e01d5fe0-exec-2'), ('10:55', 'task-simulation-9d6a7393e01d5fe0-exec-3'), ('10:56', 'task-simulation-9d6a7393e01d5fe0-exec-1'), ('10:56', 'task-simulation-9d6a7393e01d5fe0-exec-2'), ('10:56', 'task-simulation-9d6a7393e01d5fe0-exec-3'), ('10:58', 'task-simulation-9d6a7393e01d5fe0-exec-1'), ('10:58', 'task-simulation-9d6a7393e01d5fe0-exec-2'), ('10:58', 'task-simulation-9d6a7393e01d5fe0-exec-3'), ('10:59', 'task-simulation-9d6a7393e01d5fe0-exec-1'), ('10:59', 'task-simulation-9d6a7393e01d5fe0-exec-2'), ('10:59', 'task-simulation-9d6a7393e01d5fe0-exec-3'), ('11:01', 'task-simulation-9d6a7393e01d5fe0-exec-1'), ('11:01', 'task-simulation-9d6a7393e01d5fe0-exec-2'), ('11:01', 'task-simulation-9d6a7393e01d5fe0-exec-3'), ('11:02', 'task-simulation-9d6a7393e01d5fe0-exec-1'), ('11:02', 'task-simulation-9d6a7393e01d5fe0-exec-2'), ('11:03', 'task-simulation-9d6a7393e01d5fe0-exec-3')]"
1,2024-12-19 18:11:21.063968,2024-12-19 18:12:37.014301,747.7553333333326,"[('11:39', 'task-simulation-e7fbc693e01e2691-exec-1'), ('11:40', 'task-simulation-e7fbc693e01e2691-exec-1'), ('11:42', 'task-simulation-e7fbc693e01e2691-exec-1'), ('11:42', 'task-simulation-e7fbc693e01e2691-exec-2'), ('11:42', 'task-simulation-e7fbc693e01e2691-exec-3'), ('11:42', 'task-simulation-e7fbc693e01e2691-exec-5'), ('11:42', 'task-simulation-e7fbc693e01e2691-exec-7'), ('11:44', 'task-simulation-e7fbc693e01e2691-exec-1'), ('11:44', 'task-simulation-e7fbc693e01e2691-exec-2'), ('11:44', 'task-simulation-e7fbc693e01e2691-exec-3'), ('11:44', 'task-simulation-e7fbc693e01e2691-exec-4'), ('11:44', 'task-simulation-e7fbc693e01e2691-exec-5'), ('11:44', 'task-simulation-e7fbc693e01e2691-exec-6'), ('11:44', 'task-simulation-e7fbc693e01e2691-exec-7'), ('11:45', 'task-simulation-e7fbc693e01e2691-exec-8'), ('11:46', 'task-simulation-e7fbc693e01e2691-exec-1'), ('11:46', 'task-simulation-e7fbc693e01e2691-exec-2'), ('11:46', 'task-simulation-e7fbc693e01e2691-exec-3'), ('11:46', 'task-simulation-e7fbc693e01e2691-exec-4'), ('11:47', 'task-simulation-e7fbc693e01e2691-exec-5'), ('11:47', 'task-simulation-e7fbc693e01e2691-exec-6'), ('11:47', 'task-simulation-e7fbc693e01e2691-exec-7'), ('11:47', 'task-simulation-e7fbc693e01e2691-exec-8'), ('11:49', 'task-simulation-e7fbc693e01e2691-exec-1'), ('11:49', 'task-simulation-e7fbc693e01e2691-exec-2'), ('11:49', 'task-simulation-e7fbc693e01e2691-exec-3'), ('11:49', 'task-simulation-e7fbc693e01e2691-exec-4'), ('11:50', 'task-simulation-e7fbc693e01e2691-exec-5'), ('11:50', 'task-simulation-e7fbc693e01e2691-exec-6'), ('11:50', 'task-simulation-e7fbc693e01e2691-exec-7'), ('11:51', 'task-simulation-e7fbc693e01e2691-exec-8'), ('11:52', 'task-simulation-e7fbc693e01e2691-exec-1'), ('11:52', 'task-simulation-e7fbc693e01e2691-exec-2'), ('11:52', 'task-simulation-e7fbc693e01e2691-exec-3'), ('11:53', 'task-simulation-e7fbc693e01e2691-exec-4'), ('11:53', 'task-simulation-e7fbc693e01e2691-exec-5'), ('11:53', 'task-simulation-e7fbc693e01e2691-exec-6'), ('11:53', 'task-simulation-e7fbc693e01e2691-exec-7'), ('11:53', 'task-simulation-e7fbc693e01e2691-exec-8'), ('11:55', 'task-simulation-e7fbc693e01e2691-exec-1'), ('11:55', 'task-simulation-e7fbc693e01e2691-exec-2'), ('11:55', 'task-simulation-e7fbc693e01e2691-exec-3'), ('11:55', 'task-simulation-e7fbc693e01e2691-exec-4'), ('11:55', 'task-simulation-e7fbc693e01e2691-exec-5'), ('11:55', 'task-simulation-e7fbc693e01e2691-exec-6'), ('11:56', 'task-simulation-e7fbc693e01e2691-exec-7'), ('11:56', 'task-simulation-e7fbc693e01e2691-exec-8'), ('11:57', 'task-simulation-e7fbc693e01e2691-exec-1'), ('11:57', 'task-simulation-e7fbc693e01e2691-exec-2'), ('11:58', 'task-simulation-e7fbc693e01e2691-exec-3'), ('11:58', 'task-simulation-e7fbc693e01e2691-exec-4'), ('11:58', 'task-simulation-e7fbc693e01e2691-exec-5'), ('11:58', 'task-simulation-e7fbc693e01e2691-exec-6'), ('11:58', 'task-simulation-e7fbc693e01e2691-exec-7'), ('11:59', 'task-simulation-e7fbc693e01e2691-exec-8'), ('12:00', 'task-simulation-e7fbc693e01e2691-exec-1'), ('12:00', 'task-simulation-e7fbc693e01e2691-exec-2'), ('12:00', 'task-simulation-e7fbc693e01e2691-exec-3'), ('12:01', 'task-simulation-e7fbc693e01e2691-exec-4'), ('12:01', 'task-simulation-e7fbc693e01e2691-exec-5'), ('12:01', 'task-simulation-e7fbc693e01e2691-exec-6'), ('12:01', 'task-simulation-e7fbc693e01e2691-exec-7'), ('12:01', 'task-simulation-e7fbc693e01e2691-exec-8'), ('12:03', 'task-simulation-e7fbc693e01e2691-exec-1'), ('12:03', 'task-simulation-e7fbc693e01e2691-exec-2'), ('12:03', 'task-simulation-e7fbc693e01e2691-exec-3'), ('12:03', 'task-simulation-e7fbc693e01e2691-exec-4'), ('12:04', 'task-simulation-e7fbc693e01e2691-exec-5'), ('12:04', 'task-simulation-e7fbc693e01e2691-exec-6'), ('12:04', 'task-simulation-e7fbc693e01e2691-exec-7'), ('12:04', 'task-simulation-e7fbc693e01e2691-exec-8'), ('12:06', 'task-simulation-e7fbc693e01e2691-exec-1'), ('12:06', 'task-simulation-e7fbc693e01e2691-exec-2'), ('12:06', 'task-simulation-e7fbc693e01e2691-exec-3'), ('12:06', 'task-simulation-e7fbc693e01e2691-exec-4'), ('12:06', 'task-simulation-e7fbc693e01e2691-exec-5'), ('12:06', 'task-simulation-e7fbc693e01e2691-exec-6'), ('12:06', 'task-simulation-e7fbc693e01e2691-exec-7'), ('12:07', 'task-simulation-e7fbc693e01e2691-exec-8'), ('12:08', 'task-simulation-e7fbc693e01e2691-exec-1'), ('12:08', 'task-simulation-e7fbc693e01e2691-exec-2'), ('12:08', 'task-simulation-e7fbc693e01e2691-exec-3'), ('12:08', 'task-simulation-e7fbc693e01e2691-exec-4'), ('12:08', 'task-simulation-e7fbc693e01e2691-exec-5'), ('12:09', 'task-simulation-e7fbc693e01e2691-exec-6'), ('12:09', 'task-simulation-e7fbc693e01e2691-exec-7'), ('12:09', 'task-simulation-e7fbc693e01e2691-exec-8'), ('12:10', 'task-simulation-e7fbc693e01e2691-exec-1'), ('12:11', 'task-simulation-e7fbc693e01e2691-exec-2'), ('12:11', 'task-simulation-e7fbc693e01e2691-exec-3'), ('12:11', 'task-simulation-e7fbc693e01e2691-exec-4'), ('12:11', 'task-simulation-e7fbc693e01e2691-exec-5'), ('12:11', 'task-simulation-e7fbc693e01e2691-exec-6'), ('12:11', 'task-simulation-e7fbc693e01e2691-exec-7'), ('12:11', 'task-simulation-e7fbc693e01e2691-exec-8'), ('12:13', 'task-simulation-e7fbc693e01e2691-exec-1'), ('12:13', 'task-simulation-e7fbc693e01e2691-exec-2'), ('12:13', 'task-simulation-e7fbc693e01e2691-exec-3'), ('12:13', 'task-simulation-e7fbc693e01e2691-exec-4'), ('12:13', 'task-simulation-e7fbc693e01e2691-exec-5'), ('12:14', 'task-simulation-e7fbc693e01e2691-exec-6'), ('12:14', 'task-simulation-e7fbc693e01e2691-exec-7'), ('12:14', 'task-simulation-e7fbc693e01e2691-exec-8'), ('12:15', 'task-simulation-e7fbc693e01e2691-exec-1'), ('12:15', 'task-simulation-e7fbc693e01e2691-exec-2'), ('12:16', 'task-simulation-e7fbc693e01e2691-exec-3'), ('12:16', 'task-simulation-e7fbc693e01e2691-exec-4'), ('12:16', 'task-simulation-e7fbc693e01e2691-exec-5'), ('12:16', 'task-simulation-e7fbc693e01e2691-exec-6'), ('12:16', 'task-simulation-e7fbc693e01e2691-exec-7'), ('12:16', 'task-simulation-e7fbc693e01e2691-exec-8'), ('12:18', 'task-simulation-e7fbc693e01e2691-exec-1'), ('12:18', 'task-simulation-e7fbc693e01e2691-exec-2'), ('12:18', 'task-simulation-e7fbc693e01e2691-exec-3'), ('12:18', 'task-simulation-e7fbc693e01e2691-exec-4'), ('12:18', 'task-simulation-e7fbc693e01e2691-exec-5'), ('12:19', 'task-simulation-e7fbc693e01e2691-exec-6'), ('12:19', 'task-simulation-e7fbc693e01e2691-exec-7'), ('12:19', 'task-simulation-e7fbc693e01e2691-exec-8'), ('12:21', 'task-simulation-e7fbc693e01e2691-exec-1'), ('12:21', 'task-simulation-e7fbc693e01e2691-exec-2'), ('12:21', 'task-simulation-e7fbc693e01e2691-exec-3'), ('12:21', 'task-simulation-e7fbc693e01e2691-exec-4'), ('12:21', 'task-simulation-e7fbc693e01e2691-exec-5'), ('12:22', 'task-simulation-e7fbc693e01e2691-exec-6'), ('12:22', 'task-simulation-e7fbc693e01e2691-exec-7'), ('12:22', 'task-simulation-e7fbc693e01e2691-exec-8'), ('12:24', 'task-simulation-e7fbc693e01e2691-exec-1'), ('12:24', 'task-simulation-e7fbc693e01e2691-exec-2'), ('12:24', 'task-simulation-e7fbc693e01e2691-exec-3'), ('12:24', 'task-simulation-e7fbc693e01e2691-exec-4'), ('12:24', 'task-simulation-e7fbc693e01e2691-exec-5'), ('12:24', 'task-simulation-e7fbc693e01e2691-exec-6'), ('12:24', 'task-simulation-e7fbc693e01e2691-exec-7'), ('12:25', 'task-simulation-e7fbc693e01e2691-exec-8'), ('12:26', 'task-simulation-e7fbc693e01e2691-exec-1'), ('12:27', 'task-simulation-e7fbc693e01e2691-exec-2'), ('12:27', 'task-simulation-e7fbc693e01e2691-exec-3'), ('12:27', 'task-simulation-e7fbc693e01e2691-exec-4'), ('12:27', 'task-simulation-e7fbc693e01e2691-exec-5'), ('12:27', 'task-simulation-e7fbc693e01e2691-exec-6'), ('12:28', 'task-simulation-e7fbc693e01e2691-exec-7'), ('12:28', 'task-simulation-e7fbc693e01e2691-exec-8'), ('12:29', 'task-simulation-e7fbc693e01e2691-exec-1'), ('12:29', 'task-simulation-e7fbc693e01e2691-exec-2'), ('12:29', 'task-simulation-e7fbc693e01e2691-exec-3'), ('12:30', 'task-simulation-e7fbc693e01e2691-exec-4'), ('12:30', 'task-simulation-e7fbc693e01e2691-exec-5'), ('12:30', 'task-simulation-e7fbc693e01e2691-exec-6'), ('12:30', 'task-simulation-e7fbc693e01e2691-exec-7'), ('12:30', 'task-simulation-e7fbc693e01e2691-exec-8'), ('12:31', 'task-simulation-e7fbc693e01e2691-exec-1'), ('12:32', 'task-simulation-e7fbc693e01e2691-exec-2'), ('12:32', 'task-simulation-e7fbc693e01e2691-exec-3'), ('12:32', 'task-simulation-e7fbc693e01e2691-exec-4'), ('12:32', 'task-simulation-e7fbc693e01e2691-exec-5'), ('12:32', 'task-simulation-e7fbc693e01e2691-exec-6'), ('12:32', 'task-simulation-e7fbc693e01e2691-exec-7'), ('12:33', 'task-simulation-e7fbc693e01e2691-exec-8')]"
2,2024-12-19 18:11:29.130436,2024-12-19 18:12:17.753334,47.021666666666675,"[('11:46', 'task-simulation-925f4193e01e45e3-exec-1'), ('11:48', 'task-simulation-925f4193e01e45e3-exec-1'), ('11:52', 'task-simulation-925f4193e01e45e3-exec-1'), ('11:54', 'task-simulation-925f4193e01e45e3-exec-1'), ('11:57', 'task-simulation-925f4193e01e45e3-exec-1'), ('12:00', 'task-simulation-925f4193e01e45e3-exec-1'), ('12:03', 'task-simulation-925f4193e01e45e3-exec-1'), ('12:05', 'task-simulation-925f4193e01e45e3-exec-1'), ('12:08', 'task-simulation-925f4193e01e45e3-exec-1'), ('12:10', 'task-simulation-925f4193e01e45e3-exec-1')]"
3,2024-12-19 18:11:43.811482,2024-12-19 18:12:31.625566,47.021666666666675,"[('12:18', 'task-simulation-4846d093e01eb6d8-exec-1'), ('12:20', 'task-simulation-4846d093e01eb6d8-exec-1'), ('12:21', 'task-simulation-4846d093e01eb6d8-exec-2'), ('12:21', 'task-simulation-4846d093e01eb6d8-exec-4'), ('12:23', 'task-simulation-4846d093e01eb6d8-exec-1'), ('12:23', 'task-simulation-4846d093e01eb6d8-exec-2'), ('12:24', 'task-simulation-4846d093e01eb6d8-exec-4'), ('12:26', 'task-simulation-4846d093e01eb6d8-exec-1'), ('12:26', 'task-simulation-4846d093e01eb6d8-exec-2'), ('12:26', 'task-simulation-4846d093e01eb6d8-exec-4')]"
4,2024-12-19 18:11:48.586454,2024-12-19 18:12:41.760629,14.124,"[('12:34', 'task-simulation-56246093e01ec810-exec-1'), ('12:36', 'task-simulation-56246093e01ec810-exec-1'), ('12:37', 'task-simulation-56246093e01ec810-exec-1')]"
5,2024-12-19 18:11:57.235948,2024-12-19 18:12:50.675778,18.832,"[('12:42', 'task-simulation-a939d693e01eec04-exec-1'), ('12:43', 'task-simulation-a939d693e01eec04-exec-1'), ('12:44', 'task-simulation-a939d693e01eec04-exec-1'), ('12:46', 'task-simulation-a939d693e01eec04-exec-1')]"
6,2024-12-19 18:12:41.766840,2024-12-19 18:13:09.657846,18.832,"[('13:00', 'task-simulation-c3f0aa93e01f6192-exec-1'), ('13:01', 'task-simulation-c3f0aa93e01f6192-exec-1'), ('13:02', 'task-simulation-c3f0aa93e01f6192-exec-1'), ('13:04', 'task-simulation-c3f0aa93e01f6192-exec-1')]"
7,2024-12-19 18:14:46.472113,2024-12-19 18:15:14.698906,18.811333333333334,"[('15:06', 'task-simulation-4d00f593e0214cca-exec-1'), ('15:07', 'task-simulation-4d00f593e0214cca-exec-1'), ('15:08', 'task-simulation-4d00f593e0214cca-exec-1'), ('15:10', 'task-simulation-4d00f593e0214cca-exec-1')]"
8,2024-12-19 18:14:54.487749,2024-12-19 18:15:12.417363,0.0,[]
9,2024-12-19 18:15:36.404818,2024-12-19 18:16:07.198497,77.54666666666665,"[('15:55', 'task-simulation-a5e73593e0220d55-exec-1'), ('15:57', 'task-simulation-a5e73593e0220d55-exec-1'), ('15:57', 'task-simulation-a5e73593e0220d55-exec-2'), ('15:57', 'task-simulation-a5e73593e0220d55-exec-3'), ('15:58', 'task-simulation-a5e73593e0220d55-exec-1'), ('15:58', 'task-simulation-a5e73593e0220d55-exec-2'), ('15:58', 'task-simulation-a5e73593e0220d55-exec-3'), ('15:59', 'task-simulation-a5e73593e0220d55-exec-4'), ('15:59', 'task-simulation-a5e73593e0220d55-exec-5'), ('15:59', 'task-simulation-a5e73593e0220d55-exec-6'), ('16:00', 'task-simulation-a5e73593e0220d55-exec-1'), ('16:00', 'task-simulation-a5e73593e0220d55-exec-2'), ('16:01', 'task-simulation-a5e73593e0220d55-exec-3'), ('16:01', 'task-simulation-a5e73593e0220d55-exec-4'), ('16:01', 'task-simulation-a5e73593e0220d55-exec-5'), ('16:01', 'task-simulation-a5e73593e0220d55-exec-6')]"
