job_id,start_time,end_time,carbon_footprint,executors
0,2024-12-25 06:46:31.387445,2024-12-25 06:47:01.863025,111.28799999999998,"[('46:51', 'task-simulation-7d250393fc915a09-exec-1'), ('46:52', 'task-simulation-7d250393fc915a09-exec-1'), ('46:52', 'task-simulation-7d250393fc915a09-exec-2'), ('46:54', 'task-simulation-7d250393fc915a09-exec-1'), ('46:54', 'task-simulation-7d250393fc915a09-exec-2'), ('46:55', 'task-simulation-7d250393fc915a09-exec-1'), ('46:55', 'task-simulation-7d250393fc915a09-exec-2'), ('46:57', 'task-simulation-7d250393fc915a09-exec-1'), ('46:57', 'task-simulation-7d250393fc915a09-exec-2')]"
1,2024-12-25 06:47:02.967596,2024-12-25 06:48:06.857605,676.953333333334,"[('47:21', 'task-simulation-24a03193fc91d067-exec-1'), ('47:23', 'task-simulation-24a03193fc91d067-exec-1'), ('47:23', 'task-simulation-24a03193fc91d067-exec-2'), ('47:24', 'task-simulation-24a03193fc91d067-exec-3'), ('47:25', 'task-simulation-24a03193fc91d067-exec-1'), ('47:25', 'task-simulation-24a03193fc91d067-exec-2'), ('47:26', 'task-simulation-24a03193fc91d067-exec-3'), ('47:26', 'task-simulation-24a03193fc91d067-exec-4'), ('47:26', 'task-simulation-24a03193fc91d067-exec-5'), ('47:27', 'task-simulation-24a03193fc91d067-exec-1'), ('47:27', 'task-simulation-24a03193fc91d067-exec-2'), ('47:28', 'task-simulation-24a03193fc91d067-exec-3'), ('47:28', 'task-simulation-24a03193fc91d067-exec-4'), ('47:28', 'task-simulation-24a03193fc91d067-exec-5'), ('47:30', 'task-simulation-24a03193fc91d067-exec-1'), ('47:30', 'task-simulation-24a03193fc91d067-exec-2'), ('47:30', 'task-simulation-24a03193fc91d067-exec-3'), ('47:31', 'task-simulation-24a03193fc91d067-exec-4'), ('47:31', 'task-simulation-24a03193fc91d067-exec-5'), ('47:32', 'task-simulation-24a03193fc91d067-exec-1'), ('47:32', 'task-simulation-24a03193fc91d067-exec-2'), ('47:33', 'task-simulation-24a03193fc91d067-exec-3'), ('47:33', 'task-simulation-24a03193fc91d067-exec-4'), ('47:33', 'task-simulation-24a03193fc91d067-exec-5'), ('47:35', 'task-simulation-24a03193fc91d067-exec-1'), ('47:35', 'task-simulation-24a03193fc91d067-exec-2'), ('47:36', 'task-simulation-24a03193fc91d067-exec-3'), ('47:36', 'task-simulation-24a03193fc91d067-exec-4'), ('47:36', 'task-simulation-24a03193fc91d067-exec-5'), ('47:39', 'task-simulation-24a03193fc91d067-exec-1'), ('47:39', 'task-simulation-24a03193fc91d067-exec-2'), ('47:39', 'task-simulation-24a03193fc91d067-exec-3'), ('47:39', 'task-simulation-24a03193fc91d067-exec-4'), ('47:40', 'task-simulation-24a03193fc91d067-exec-5'), ('47:42', 'task-simulation-24a03193fc91d067-exec-1'), ('47:43', 'task-simulation-24a03193fc91d067-exec-2'), ('47:43', 'task-simulation-24a03193fc91d067-exec-3'), ('47:43', 'task-simulation-24a03193fc91d067-exec-4'), ('47:43', 'task-simulation-24a03193fc91d067-exec-5'), ('47:47', 'task-simulation-24a03193fc91d067-exec-1'), ('47:47', 'task-simulation-24a03193fc91d067-exec-2'), ('47:47', 'task-simulation-24a03193fc91d067-exec-3'), ('47:48', 'task-simulation-24a03193fc91d067-exec-4'), ('47:48', 'task-simulation-24a03193fc91d067-exec-5'), ('47:51', 'task-simulation-24a03193fc91d067-exec-1'), ('47:52', 'task-simulation-24a03193fc91d067-exec-2'), ('47:52', 'task-simulation-24a03193fc91d067-exec-3'), ('47:52', 'task-simulation-24a03193fc91d067-exec-4'), ('47:52', 'task-simulation-24a03193fc91d067-exec-5'), ('47:56', 'task-simulation-24a03193fc91d067-exec-1'), ('47:56', 'task-simulation-24a03193fc91d067-exec-2'), ('47:57', 'task-simulation-24a03193fc91d067-exec-3'), ('47:57', 'task-simulation-24a03193fc91d067-exec-4'), ('47:57', 'task-simulation-24a03193fc91d067-exec-5')]"
2,2024-12-25 06:47:12.051633,2024-12-25 06:47:51.443196,227.064,"[('47:33', 'task-simulation-a032e393fc91f3df-exec-1'), ('47:34', 'task-simulation-a032e393fc91f3df-exec-2'), ('47:34', 'task-simulation-a032e393fc91f3df-exec-3'), ('47:36', 'task-simulation-a032e393fc91f3df-exec-1'), ('47:37', 'task-simulation-a032e393fc91f3df-exec-2'), ('47:37', 'task-simulation-a032e393fc91f3df-exec-3'), ('47:37', 'task-simulation-a032e393fc91f3df-exec-4'), ('47:37', 'task-simulation-a032e393fc91f3df-exec-5'), ('47:40', 'task-simulation-a032e393fc91f3df-exec-1'), ('47:40', 'task-simulation-a032e393fc91f3df-exec-2'), ('47:40', 'task-simulation-a032e393fc91f3df-exec-3'), ('47:41', 'task-simulation-a032e393fc91f3df-exec-4'), ('47:41', 'task-simulation-a032e393fc91f3df-exec-5'), ('47:45', 'task-simulation-a032e393fc91f3df-exec-1'), ('47:45', 'task-simulation-a032e393fc91f3df-exec-2'), ('47:45', 'task-simulation-a032e393fc91f3df-exec-3'), ('47:45', 'task-simulation-a032e393fc91f3df-exec-4'), ('47:46', 'task-simulation-a032e393fc91f3df-exec-5')]"
3,2024-12-25 06:47:17.830218,2024-12-25 06:49:18.289309,1895.8013333333313,"[('47:40', 'task-simulation-62c84793fc920f42-exec-1'), ('47:43', 'task-simulation-62c84793fc920f42-exec-1'), ('47:44', 'task-simulation-62c84793fc920f42-exec-2'), ('47:44', 'task-simulation-62c84793fc920f42-exec-3'), ('47:44', 'task-simulation-62c84793fc920f42-exec-4'), ('47:44', 'task-simulation-62c84793fc920f42-exec-5'), ('47:48', 'task-simulation-62c84793fc920f42-exec-1'), ('47:48', 'task-simulation-62c84793fc920f42-exec-2'), ('47:48', 'task-simulation-62c84793fc920f42-exec-3'), ('47:49', 'task-simulation-62c84793fc920f42-exec-4'), ('47:49', 'task-simulation-62c84793fc920f42-exec-5'), ('47:53', 'task-simulation-62c84793fc920f42-exec-1'), ('47:53', 'task-simulation-62c84793fc920f42-exec-2'), ('47:53', 'task-simulation-62c84793fc920f42-exec-3'), ('47:53', 'task-simulation-62c84793fc920f42-exec-4'), ('47:54', 'task-simulation-62c84793fc920f42-exec-5'), ('47:57', 'task-simulation-62c84793fc920f42-exec-1'), ('47:58', 'task-simulation-62c84793fc920f42-exec-2'), ('47:58', 'task-simulation-62c84793fc920f42-exec-3'), ('47:58', 'task-simulation-62c84793fc920f42-exec-4'), ('47:58', 'task-simulation-62c84793fc920f42-exec-5'), ('48:02', 'task-simulation-62c84793fc920f42-exec-1'), ('48:02', 'task-simulation-62c84793fc920f42-exec-2'), ('48:03', 'task-simulation-62c84793fc920f42-exec-3'), ('48:03', 'task-simulation-62c84793fc920f42-exec-4'), ('48:03', 'task-simulation-62c84793fc920f42-exec-5'), ('48:07', 'task-simulation-62c84793fc920f42-exec-1'), ('48:07', 'task-simulation-62c84793fc920f42-exec-2'), ('48:07', 'task-simulation-62c84793fc920f42-exec-3'), ('48:07', 'task-simulation-62c84793fc920f42-exec-4'), ('48:08', 'task-simulation-62c84793fc920f42-exec-5'), ('48:10', 'task-simulation-62c84793fc920f42-exec-1'), ('48:10', 'task-simulation-62c84793fc920f42-exec-2'), ('48:10', 'task-simulation-62c84793fc920f42-exec-3'), ('48:10', 'task-simulation-62c84793fc920f42-exec-4'), ('48:11', 'task-simulation-62c84793fc920f42-exec-5'), ('48:13', 'task-simulation-62c84793fc920f42-exec-1'), ('48:13', 'task-simulation-62c84793fc920f42-exec-2'), ('48:13', 'task-simulation-62c84793fc920f42-exec-3'), ('48:14', 'task-simulation-62c84793fc920f42-exec-4'), ('48:14', 'task-simulation-62c84793fc920f42-exec-5'), ('48:16', 'task-simulation-62c84793fc920f42-exec-1'), ('48:16', 'task-simulation-62c84793fc920f42-exec-2'), ('48:16', 'task-simulation-62c84793fc920f42-exec-3'), ('48:17', 'task-simulation-62c84793fc920f42-exec-4'), ('48:17', 'task-simulation-62c84793fc920f42-exec-5'), ('48:19', 'task-simulation-62c84793fc920f42-exec-1'), ('48:19', 'task-simulation-62c84793fc920f42-exec-2'), ('48:20', 'task-simulation-62c84793fc920f42-exec-3'), ('48:20', 'task-simulation-62c84793fc920f42-exec-4'), ('48:20', 'task-simulation-62c84793fc920f42-exec-5'), ('48:23', 'task-simulation-62c84793fc920f42-exec-1'), ('48:23', 'task-simulation-62c84793fc920f42-exec-2'), ('48:23', 'task-simulation-62c84793fc920f42-exec-3'), ('48:23', 'task-simulation-62c84793fc920f42-exec-4'), ('48:23', 'task-simulation-62c84793fc920f42-exec-5'), ('48:25', 'task-simulation-62c84793fc920f42-exec-1'), ('48:25', 'task-simulation-62c84793fc920f42-exec-2'), ('48:25', 'task-simulation-62c84793fc920f42-exec-3'), ('48:25', 'task-simulation-62c84793fc920f42-exec-4'), ('48:26', 'task-simulation-62c84793fc920f42-exec-5'), ('48:27', 'task-simulation-62c84793fc920f42-exec-1'), ('48:27', 'task-simulation-62c84793fc920f42-exec-2'), ('48:27', 'task-simulation-62c84793fc920f42-exec-3'), ('48:28', 'task-simulation-62c84793fc920f42-exec-4'), ('48:28', 'task-simulation-62c84793fc920f42-exec-5'), ('48:29', 'task-simulation-62c84793fc920f42-exec-1'), ('48:29', 'task-simulation-62c84793fc920f42-exec-2'), ('48:30', 'task-simulation-62c84793fc920f42-exec-3'), ('48:30', 'task-simulation-62c84793fc920f42-exec-4'), ('48:30', 'task-simulation-62c84793fc920f42-exec-5'), ('48:32', 'task-simulation-62c84793fc920f42-exec-1'), ('48:32', 'task-simulation-62c84793fc920f42-exec-2'), ('48:32', 'task-simulation-62c84793fc920f42-exec-3'), ('48:32', 'task-simulation-62c84793fc920f42-exec-4'), ('48:33', 'task-simulation-62c84793fc920f42-exec-5'), ('48:34', 'task-simulation-62c84793fc920f42-exec-1'), ('48:34', 'task-simulation-62c84793fc920f42-exec-2'), ('48:35', 'task-simulation-62c84793fc920f42-exec-3'), ('48:35', 'task-simulation-62c84793fc920f42-exec-4'), ('48:35', 'task-simulation-62c84793fc920f42-exec-5'), ('48:36', 'task-simulation-62c84793fc920f42-exec-1'), ('48:37', 'task-simulation-62c84793fc920f42-exec-2'), ('48:37', 'task-simulation-62c84793fc920f42-exec-3'), ('48:37', 'task-simulation-62c84793fc920f42-exec-4'), ('48:37', 'task-simulation-62c84793fc920f42-exec-5'), ('48:38', 'task-simulation-62c84793fc920f42-exec-1'), ('48:39', 'task-simulation-62c84793fc920f42-exec-2'), ('48:39', 'task-simulation-62c84793fc920f42-exec-3'), ('48:39', 'task-simulation-62c84793fc920f42-exec-4'), ('48:39', 'task-simulation-62c84793fc920f42-exec-5'), ('48:41', 'task-simulation-62c84793fc920f42-exec-1'), ('48:41', 'task-simulation-62c84793fc920f42-exec-2'), ('48:41', 'task-simulation-62c84793fc920f42-exec-3'), ('48:42', 'task-simulation-62c84793fc920f42-exec-4'), ('48:42', 'task-simulation-62c84793fc920f42-exec-5'), ('48:43', 'task-simulation-62c84793fc920f42-exec-1'), ('48:44', 'task-simulation-62c84793fc920f42-exec-2'), ('48:44', 'task-simulation-62c84793fc920f42-exec-3'), ('48:44', 'task-simulation-62c84793fc920f42-exec-4'), ('48:45', 'task-simulation-62c84793fc920f42-exec-5'), ('48:46', 'task-simulation-62c84793fc920f42-exec-1'), ('48:47', 'task-simulation-62c84793fc920f42-exec-2'), ('48:47', 'task-simulation-62c84793fc920f42-exec-3'), ('48:47', 'task-simulation-62c84793fc920f42-exec-4'), ('48:47', 'task-simulation-62c84793fc920f42-exec-5'), ('48:49', 'task-simulation-62c84793fc920f42-exec-1'), ('48:50', 'task-simulation-62c84793fc920f42-exec-2'), ('48:50', 'task-simulation-62c84793fc920f42-exec-3'), ('48:50', 'task-simulation-62c84793fc920f42-exec-4'), ('48:50', 'task-simulation-62c84793fc920f42-exec-5'), ('48:52', 'task-simulation-62c84793fc920f42-exec-1'), ('48:52', 'task-simulation-62c84793fc920f42-exec-2'), ('48:53', 'task-simulation-62c84793fc920f42-exec-3'), ('48:53', 'task-simulation-62c84793fc920f42-exec-4'), ('48:53', 'task-simulation-62c84793fc920f42-exec-5'), ('48:55', 'task-simulation-62c84793fc920f42-exec-1'), ('48:55', 'task-simulation-62c84793fc920f42-exec-2'), ('48:55', 'task-simulation-62c84793fc920f42-exec-3'), ('48:55', 'task-simulation-62c84793fc920f42-exec-4'), ('48:56', 'task-simulation-62c84793fc920f42-exec-5'), ('48:57', 'task-simulation-62c84793fc920f42-exec-1'), ('48:57', 'task-simulation-62c84793fc920f42-exec-2'), ('48:58', 'task-simulation-62c84793fc920f42-exec-3'), ('48:58', 'task-simulation-62c84793fc920f42-exec-4'), ('48:58', 'task-simulation-62c84793fc920f42-exec-5'), ('49:00', 'task-simulation-62c84793fc920f42-exec-1'), ('49:00', 'task-simulation-62c84793fc920f42-exec-2'), ('49:00', 'task-simulation-62c84793fc920f42-exec-3'), ('49:00', 'task-simulation-62c84793fc920f42-exec-4'), ('49:00', 'task-simulation-62c84793fc920f42-exec-5'), ('49:02', 'task-simulation-62c84793fc920f42-exec-1'), ('49:02', 'task-simulation-62c84793fc920f42-exec-2'), ('49:03', 'task-simulation-62c84793fc920f42-exec-3'), ('49:03', 'task-simulation-62c84793fc920f42-exec-4'), ('49:03', 'task-simulation-62c84793fc920f42-exec-5'), ('49:05', 'task-simulation-62c84793fc920f42-exec-1'), ('49:06', 'task-simulation-62c84793fc920f42-exec-2'), ('49:06', 'task-simulation-62c84793fc920f42-exec-3'), ('49:06', 'task-simulation-62c84793fc920f42-exec-4'), ('49:06', 'task-simulation-62c84793fc920f42-exec-5'), ('49:09', 'task-simulation-62c84793fc920f42-exec-1'), ('49:09', 'task-simulation-62c84793fc920f42-exec-2'), ('49:09', 'task-simulation-62c84793fc920f42-exec-3'), ('49:09', 'task-simulation-62c84793fc920f42-exec-4'), ('49:09', 'task-simulation-62c84793fc920f42-exec-5'), ('49:12', 'task-simulation-62c84793fc920f42-exec-1'), ('49:12', 'task-simulation-62c84793fc920f42-exec-2'), ('49:13', 'task-simulation-62c84793fc920f42-exec-3'), ('49:13', 'task-simulation-62c84793fc920f42-exec-4'), ('49:13', 'task-simulation-62c84793fc920f42-exec-5')]"
4,2024-12-25 06:47:21.376511,2024-12-25 06:48:24.913130,592.8893333333336,"[('47:44', 'task-simulation-6396c293fc921f02-exec-1'), ('47:45', 'task-simulation-6396c293fc921f02-exec-2'), ('47:49', 'task-simulation-6396c293fc921f02-exec-1'), ('47:49', 'task-simulation-6396c293fc921f02-exec-2'), ('47:49', 'task-simulation-6396c293fc921f02-exec-3'), ('47:50', 'task-simulation-6396c293fc921f02-exec-4'), ('47:50', 'task-simulation-6396c293fc921f02-exec-5'), ('47:54', 'task-simulation-6396c293fc921f02-exec-1'), ('47:54', 'task-simulation-6396c293fc921f02-exec-2'), ('47:54', 'task-simulation-6396c293fc921f02-exec-3'), ('47:54', 'task-simulation-6396c293fc921f02-exec-4'), ('47:55', 'task-simulation-6396c293fc921f02-exec-5'), ('47:58', 'task-simulation-6396c293fc921f02-exec-1'), ('47:59', 'task-simulation-6396c293fc921f02-exec-2'), ('47:59', 'task-simulation-6396c293fc921f02-exec-3'), ('47:59', 'task-simulation-6396c293fc921f02-exec-4'), ('47:59', 'task-simulation-6396c293fc921f02-exec-5'), ('48:03', 'task-simulation-6396c293fc921f02-exec-1'), ('48:03', 'task-simulation-6396c293fc921f02-exec-2'), ('48:04', 'task-simulation-6396c293fc921f02-exec-3'), ('48:04', 'task-simulation-6396c293fc921f02-exec-4'), ('48:04', 'task-simulation-6396c293fc921f02-exec-5'), ('48:08', 'task-simulation-6396c293fc921f02-exec-1'), ('48:08', 'task-simulation-6396c293fc921f02-exec-2'), ('48:08', 'task-simulation-6396c293fc921f02-exec-3'), ('48:08', 'task-simulation-6396c293fc921f02-exec-4'), ('48:09', 'task-simulation-6396c293fc921f02-exec-5'), ('48:11', 'task-simulation-6396c293fc921f02-exec-1'), ('48:11', 'task-simulation-6396c293fc921f02-exec-2'), ('48:11', 'task-simulation-6396c293fc921f02-exec-3'), ('48:11', 'task-simulation-6396c293fc921f02-exec-4'), ('48:12', 'task-simulation-6396c293fc921f02-exec-5'), ('48:14', 'task-simulation-6396c293fc921f02-exec-1'), ('48:14', 'task-simulation-6396c293fc921f02-exec-2'), ('48:14', 'task-simulation-6396c293fc921f02-exec-3'), ('48:15', 'task-simulation-6396c293fc921f02-exec-4'), ('48:15', 'task-simulation-6396c293fc921f02-exec-5'), ('48:17', 'task-simulation-6396c293fc921f02-exec-1'), ('48:17', 'task-simulation-6396c293fc921f02-exec-2'), ('48:17', 'task-simulation-6396c293fc921f02-exec-3'), ('48:18', 'task-simulation-6396c293fc921f02-exec-4'), ('48:18', 'task-simulation-6396c293fc921f02-exec-5'), ('48:20', 'task-simulation-6396c293fc921f02-exec-1'), ('48:20', 'task-simulation-6396c293fc921f02-exec-2'), ('48:21', 'task-simulation-6396c293fc921f02-exec-3'), ('48:21', 'task-simulation-6396c293fc921f02-exec-4'), ('48:21', 'task-simulation-6396c293fc921f02-exec-5')]"
5,2024-12-25 06:47:29.711614,2024-12-25 06:48:10.055081,113.532,"[('47:55', 'task-simulation-9dc97e93fc923da8-exec-1'), ('48:00', 'task-simulation-9dc97e93fc923da8-exec-1'), ('48:00', 'task-simulation-9dc97e93fc923da8-exec-2'), ('48:00', 'task-simulation-9dc97e93fc923da8-exec-3'), ('48:00', 'task-simulation-9dc97e93fc923da8-exec-4'), ('48:01', 'task-simulation-9dc97e93fc923da8-exec-5'), ('48:05', 'task-simulation-9dc97e93fc923da8-exec-1'), ('48:05', 'task-simulation-9dc97e93fc923da8-exec-4'), ('48:05', 'task-simulation-9dc97e93fc923da8-exec-5')]"
7,2024-12-25 06:48:27.041231,2024-12-25 06:48:57.206571,25.004,"[('48:48', 'task-simulation-7d22f593fc931a63-exec-1'), ('48:51', 'task-simulation-7d22f593fc931a63-exec-1')]"
8,2024-12-25 06:48:38.621138,2024-12-25 06:49:29.679247,525.0840000000002,"[('49:01', 'task-simulation-d295b093fc934c50-exec-1'), ('49:01', 'task-simulation-d295b093fc934c50-exec-3'), ('49:03', 'task-simulation-d295b093fc934c50-exec-1'), ('49:03', 'task-simulation-d295b093fc934c50-exec-2'), ('49:04', 'task-simulation-d295b093fc934c50-exec-3'), ('49:04', 'task-simulation-d295b093fc934c50-exec-4'), ('49:04', 'task-simulation-d295b093fc934c50-exec-5'), ('49:06', 'task-simulation-d295b093fc934c50-exec-1'), ('49:07', 'task-simulation-d295b093fc934c50-exec-2'), ('49:07', 'task-simulation-d295b093fc934c50-exec-3'), ('49:07', 'task-simulation-d295b093fc934c50-exec-4'), ('49:07', 'task-simulation-d295b093fc934c50-exec-5'), ('49:10', 'task-simulation-d295b093fc934c50-exec-1'), ('49:10', 'task-simulation-d295b093fc934c50-exec-2'), ('49:10', 'task-simulation-d295b093fc934c50-exec-3'), ('49:10', 'task-simulation-d295b093fc934c50-exec-4'), ('49:10', 'task-simulation-d295b093fc934c50-exec-5'), ('49:13', 'task-simulation-d295b093fc934c50-exec-1'), ('49:13', 'task-simulation-d295b093fc934c50-exec-2'), ('49:14', 'task-simulation-d295b093fc934c50-exec-3'), ('49:14', 'task-simulation-d295b093fc934c50-exec-4'), ('49:14', 'task-simulation-d295b093fc934c50-exec-5'), ('49:15', 'task-simulation-d295b093fc934c50-exec-1'), ('49:16', 'task-simulation-d295b093fc934c50-exec-2'), ('49:16', 'task-simulation-d295b093fc934c50-exec-3'), ('49:16', 'task-simulation-d295b093fc934c50-exec-4'), ('49:17', 'task-simulation-d295b093fc934c50-exec-5'), ('49:18', 'task-simulation-d295b093fc934c50-exec-1'), ('49:18', 'task-simulation-d295b093fc934c50-exec-2'), ('49:19', 'task-simulation-d295b093fc934c50-exec-3'), ('49:19', 'task-simulation-d295b093fc934c50-exec-4'), ('49:19', 'task-simulation-d295b093fc934c50-exec-5'), ('49:20', 'task-simulation-d295b093fc934c50-exec-1'), ('49:21', 'task-simulation-d295b093fc934c50-exec-2'), ('49:21', 'task-simulation-d295b093fc934c50-exec-3'), ('49:21', 'task-simulation-d295b093fc934c50-exec-4'), ('49:21', 'task-simulation-d295b093fc934c50-exec-5'), ('49:23', 'task-simulation-d295b093fc934c50-exec-1'), ('49:23', 'task-simulation-d295b093fc934c50-exec-2'), ('49:23', 'task-simulation-d295b093fc934c50-exec-3'), ('49:23', 'task-simulation-d295b093fc934c50-exec-4'), ('49:24', 'task-simulation-d295b093fc934c50-exec-5')]"
10,2024-12-25 06:48:46.123217,2024-12-25 06:49:18.289377,25.004,"[('49:08', 'task-simulation-030adc93fc936c1b-exec-1'), ('49:12', 'task-simulation-030adc93fc936c1b-exec-1')]"
11,2024-12-25 06:48:52.095680,2024-12-25 06:49:22.850044,12.502,"[('49:17', 'task-simulation-db00d593fc93839e-exec-1')]"
