job_id,start_time,end_time,carbon_footprint,executors
1,2024-12-21 20:21:50.554021,2024-12-21 20:22:17.075706,1.0739999999999998,"[('22:09', 'task-simulation-54bccc93eae25941-exec-1'), ('22:10', 'task-simulation-54bccc93eae25941-exec-1'), ('22:11', 'task-simulation-54bccc93eae25941-exec-1'), ('22:13', 'task-simulation-54bccc93eae25941-exec-1')]"
2,2024-12-21 20:21:57.023528,2024-12-21 20:22:24.563096,1.0739999999999998,"[('22:14', 'task-simulation-659d9793eae271ac-exec-1'), ('22:16', 'task-simulation-659d9793eae271ac-exec-1'), ('22:17', 'task-simulation-659d9793eae271ac-exec-1'), ('22:18', 'task-simulation-659d9793eae271ac-exec-1')]"
4,2024-12-21 20:22:42.476713,2024-12-21 20:23:14.338755,2.713333333333333,"[('23:01', 'task-simulation-5dcf7893eae32170-exec-1'), ('23:02', 'task-simulation-5dcf7893eae32170-exec-1'), ('23:03', 'task-simulation-5dcf7893eae32170-exec-2'), ('23:04', 'task-simulation-5dcf7893eae32170-exec-1'), ('23:04', 'task-simulation-5dcf7893eae32170-exec-2'), ('23:06', 'task-simulation-5dcf7893eae32170-exec-1'), ('23:06', 'task-simulation-5dcf7893eae32170-exec-2'), ('23:07', 'task-simulation-5dcf7893eae32170-exec-1'), ('23:08', 'task-simulation-5dcf7893eae32170-exec-2'), ('23:09', 'task-simulation-5dcf7893eae32170-exec-1'), ('23:09', 'task-simulation-5dcf7893eae32170-exec-2')]"
6,2024-12-21 20:22:50.749516,2024-12-21 20:23:30.229213,7.400000000000004,"[('23:11', 'task-simulation-d4faeb93eae3446f-exec-1'), ('23:11', 'task-simulation-d4faeb93eae3446f-exec-3'), ('23:12', 'task-simulation-d4faeb93eae3446f-exec-1'), ('23:12', 'task-simulation-d4faeb93eae3446f-exec-2'), ('23:13', 'task-simulation-d4faeb93eae3446f-exec-3'), ('23:13', 'task-simulation-d4faeb93eae3446f-exec-4'), ('23:14', 'task-simulation-d4faeb93eae3446f-exec-1'), ('23:14', 'task-simulation-d4faeb93eae3446f-exec-2'), ('23:15', 'task-simulation-d4faeb93eae3446f-exec-3'), ('23:15', 'task-simulation-d4faeb93eae3446f-exec-4'), ('23:16', 'task-simulation-d4faeb93eae3446f-exec-1'), ('23:16', 'task-simulation-d4faeb93eae3446f-exec-2'), ('23:17', 'task-simulation-d4faeb93eae3446f-exec-3'), ('23:17', 'task-simulation-d4faeb93eae3446f-exec-4'), ('23:18', 'task-simulation-d4faeb93eae3446f-exec-1'), ('23:18', 'task-simulation-d4faeb93eae3446f-exec-2'), ('23:19', 'task-simulation-d4faeb93eae3446f-exec-3'), ('23:19', 'task-simulation-d4faeb93eae3446f-exec-4'), ('23:20', 'task-simulation-d4faeb93eae3446f-exec-1'), ('23:20', 'task-simulation-d4faeb93eae3446f-exec-2'), ('23:21', 'task-simulation-d4faeb93eae3446f-exec-3'), ('23:21', 'task-simulation-d4faeb93eae3446f-exec-4'), ('23:22', 'task-simulation-d4faeb93eae3446f-exec-1'), ('23:23', 'task-simulation-d4faeb93eae3446f-exec-2'), ('23:23', 'task-simulation-d4faeb93eae3446f-exec-3'), ('23:23', 'task-simulation-d4faeb93eae3446f-exec-4'), ('23:25', 'task-simulation-d4faeb93eae3446f-exec-1'), ('23:25', 'task-simulation-d4faeb93eae3446f-exec-2'), ('23:25', 'task-simulation-d4faeb93eae3446f-exec-3'), ('23:25', 'task-simulation-d4faeb93eae3446f-exec-4')]"
7,2024-12-21 20:23:18.295312,2024-12-21 20:23:57.048168,2.6895,"[('23:38', 'task-simulation-04ba9e93eae3b145-exec-1'), ('23:40', 'task-simulation-04ba9e93eae3b145-exec-1'), ('23:41', 'task-simulation-04ba9e93eae3b145-exec-1'), ('23:42', 'task-simulation-04ba9e93eae3b145-exec-1'), ('23:44', 'task-simulation-04ba9e93eae3b145-exec-1'), ('23:45', 'task-simulation-04ba9e93eae3b145-exec-1'), ('23:47', 'task-simulation-04ba9e93eae3b145-exec-1'), ('23:48', 'task-simulation-04ba9e93eae3b145-exec-1'), ('23:49', 'task-simulation-04ba9e93eae3b145-exec-1'), ('23:51', 'task-simulation-04ba9e93eae3b145-exec-1'), ('23:52', 'task-simulation-04ba9e93eae3b145-exec-1')]"
9,2024-12-21 20:24:13.269471,2024-12-21 20:25:19.799368,13.553333333333343,"[('24:31', 'task-simulation-55aabe93eae483ee-exec-1'), ('24:33', 'task-simulation-55aabe93eae483ee-exec-1'), ('24:33', 'task-simulation-55aabe93eae483ee-exec-2'), ('24:33', 'task-simulation-55aabe93eae483ee-exec-3'), ('24:35', 'task-simulation-55aabe93eae483ee-exec-1'), ('24:35', 'task-simulation-55aabe93eae483ee-exec-2'), ('24:35', 'task-simulation-55aabe93eae483ee-exec-3'), ('24:35', 'task-simulation-55aabe93eae483ee-exec-4'), ('24:50', 'task-simulation-55aabe93eae483ee-exec-1'), ('24:50', 'task-simulation-55aabe93eae483ee-exec-2'), ('24:50', 'task-simulation-55aabe93eae483ee-exec-3'), ('24:50', 'task-simulation-55aabe93eae483ee-exec-4'), ('24:52', 'task-simulation-55aabe93eae483ee-exec-1'), ('24:52', 'task-simulation-55aabe93eae483ee-exec-2'), ('24:52', 'task-simulation-55aabe93eae483ee-exec-3'), ('24:53', 'task-simulation-55aabe93eae483ee-exec-4'), ('24:54', 'task-simulation-55aabe93eae483ee-exec-1'), ('24:54', 'task-simulation-55aabe93eae483ee-exec-2'), ('24:54', 'task-simulation-55aabe93eae483ee-exec-3'), ('24:55', 'task-simulation-55aabe93eae483ee-exec-4'), ('24:56', 'task-simulation-55aabe93eae483ee-exec-1'), ('24:56', 'task-simulation-55aabe93eae483ee-exec-2'), ('24:57', 'task-simulation-55aabe93eae483ee-exec-3'), ('24:57', 'task-simulation-55aabe93eae483ee-exec-4'), ('24:58', 'task-simulation-55aabe93eae483ee-exec-1'), ('24:58', 'task-simulation-55aabe93eae483ee-exec-2'), ('24:59', 'task-simulation-55aabe93eae483ee-exec-3'), ('24:59', 'task-simulation-55aabe93eae483ee-exec-4'), ('25:00', 'task-simulation-55aabe93eae483ee-exec-1'), ('25:00', 'task-simulation-55aabe93eae483ee-exec-2'), ('25:01', 'task-simulation-55aabe93eae483ee-exec-3'), ('25:01', 'task-simulation-55aabe93eae483ee-exec-4'), ('25:02', 'task-simulation-55aabe93eae483ee-exec-1'), ('25:02', 'task-simulation-55aabe93eae483ee-exec-2'), ('25:03', 'task-simulation-55aabe93eae483ee-exec-3'), ('25:03', 'task-simulation-55aabe93eae483ee-exec-4'), ('25:04', 'task-simulation-55aabe93eae483ee-exec-1'), ('25:04', 'task-simulation-55aabe93eae483ee-exec-2'), ('25:05', 'task-simulation-55aabe93eae483ee-exec-3'), ('25:05', 'task-simulation-55aabe93eae483ee-exec-4'), ('25:06', 'task-simulation-55aabe93eae483ee-exec-1'), ('25:06', 'task-simulation-55aabe93eae483ee-exec-2'), ('25:07', 'task-simulation-55aabe93eae483ee-exec-3'), ('25:07', 'task-simulation-55aabe93eae483ee-exec-4'), ('25:08', 'task-simulation-55aabe93eae483ee-exec-1'), ('25:08', 'task-simulation-55aabe93eae483ee-exec-2'), ('25:09', 'task-simulation-55aabe93eae483ee-exec-3'), ('25:09', 'task-simulation-55aabe93eae483ee-exec-4'), ('25:11', 'task-simulation-55aabe93eae483ee-exec-1'), ('25:11', 'task-simulation-55aabe93eae483ee-exec-2'), ('25:12', 'task-simulation-55aabe93eae483ee-exec-3'), ('25:12', 'task-simulation-55aabe93eae483ee-exec-4'), ('25:14', 'task-simulation-55aabe93eae483ee-exec-1'), ('25:14', 'task-simulation-55aabe93eae483ee-exec-2'), ('25:14', 'task-simulation-55aabe93eae483ee-exec-3'), ('25:15', 'task-simulation-55aabe93eae483ee-exec-4')]"
12,2024-12-21 20:25:06.239001,2024-12-21 20:27:25.364366,46.412166666666515,"[('25:29', 'task-simulation-c0c11993eae55891-exec-1'), ('25:31', 'task-simulation-c0c11993eae55891-exec-1'), ('25:32', 'task-simulation-c0c11993eae55891-exec-2'), ('25:34', 'task-simulation-c0c11993eae55891-exec-1'), ('25:34', 'task-simulation-c0c11993eae55891-exec-2'), ('25:35', 'task-simulation-c0c11993eae55891-exec-3'), ('25:35', 'task-simulation-c0c11993eae55891-exec-4'), ('25:38', 'task-simulation-c0c11993eae55891-exec-1'), ('25:38', 'task-simulation-c0c11993eae55891-exec-2'), ('25:39', 'task-simulation-c0c11993eae55891-exec-3'), ('25:39', 'task-simulation-c0c11993eae55891-exec-4'), ('25:41', 'task-simulation-c0c11993eae55891-exec-1'), ('25:41', 'task-simulation-c0c11993eae55891-exec-2'), ('25:42', 'task-simulation-c0c11993eae55891-exec-3'), ('25:42', 'task-simulation-c0c11993eae55891-exec-4'), ('25:44', 'task-simulation-c0c11993eae55891-exec-1'), ('25:44', 'task-simulation-c0c11993eae55891-exec-2'), ('25:44', 'task-simulation-c0c11993eae55891-exec-3'), ('25:45', 'task-simulation-c0c11993eae55891-exec-4'), ('25:46', 'task-simulation-c0c11993eae55891-exec-1'), ('25:46', 'task-simulation-c0c11993eae55891-exec-2'), ('25:46', 'task-simulation-c0c11993eae55891-exec-3'), ('25:47', 'task-simulation-c0c11993eae55891-exec-4'), ('25:48', 'task-simulation-c0c11993eae55891-exec-1'), ('25:48', 'task-simulation-c0c11993eae55891-exec-2'), ('25:48', 'task-simulation-c0c11993eae55891-exec-3'), ('25:49', 'task-simulation-c0c11993eae55891-exec-4'), ('25:50', 'task-simulation-c0c11993eae55891-exec-1'), ('25:50', 'task-simulation-c0c11993eae55891-exec-2'), ('25:51', 'task-simulation-c0c11993eae55891-exec-3'), ('25:51', 'task-simulation-c0c11993eae55891-exec-4'), ('25:53', 'task-simulation-c0c11993eae55891-exec-1'), ('25:53', 'task-simulation-c0c11993eae55891-exec-2'), ('25:53', 'task-simulation-c0c11993eae55891-exec-3'), ('25:53', 'task-simulation-c0c11993eae55891-exec-4'), ('25:55', 'task-simulation-c0c11993eae55891-exec-1'), ('25:55', 'task-simulation-c0c11993eae55891-exec-2'), ('25:56', 'task-simulation-c0c11993eae55891-exec-3'), ('25:56', 'task-simulation-c0c11993eae55891-exec-4'), ('25:58', 'task-simulation-c0c11993eae55891-exec-1'), ('25:58', 'task-simulation-c0c11993eae55891-exec-2'), ('25:58', 'task-simulation-c0c11993eae55891-exec-3'), ('25:58', 'task-simulation-c0c11993eae55891-exec-4'), ('26:00', 'task-simulation-c0c11993eae55891-exec-1'), ('26:00', 'task-simulation-c0c11993eae55891-exec-2'), ('26:01', 'task-simulation-c0c11993eae55891-exec-3'), ('26:01', 'task-simulation-c0c11993eae55891-exec-4'), ('26:02', 'task-simulation-c0c11993eae55891-exec-1'), ('26:03', 'task-simulation-c0c11993eae55891-exec-2'), ('26:03', 'task-simulation-c0c11993eae55891-exec-3'), ('26:03', 'task-simulation-c0c11993eae55891-exec-4'), ('26:04', 'task-simulation-c0c11993eae55891-exec-1'), ('26:05', 'task-simulation-c0c11993eae55891-exec-2'), ('26:05', 'task-simulation-c0c11993eae55891-exec-3'), ('26:05', 'task-simulation-c0c11993eae55891-exec-4'), ('26:07', 'task-simulation-c0c11993eae55891-exec-1'), ('26:07', 'task-simulation-c0c11993eae55891-exec-2'), ('26:07', 'task-simulation-c0c11993eae55891-exec-3'), ('26:07', 'task-simulation-c0c11993eae55891-exec-4'), ('26:09', 'task-simulation-c0c11993eae55891-exec-1'), ('26:09', 'task-simulation-c0c11993eae55891-exec-2'), ('26:09', 'task-simulation-c0c11993eae55891-exec-3'), ('26:10', 'task-simulation-c0c11993eae55891-exec-4'), ('26:11', 'task-simulation-c0c11993eae55891-exec-1'), ('26:12', 'task-simulation-c0c11993eae55891-exec-2'), ('26:12', 'task-simulation-c0c11993eae55891-exec-3'), ('26:12', 'task-simulation-c0c11993eae55891-exec-4'), ('26:14', 'task-simulation-c0c11993eae55891-exec-1'), ('26:14', 'task-simulation-c0c11993eae55891-exec-2'), ('26:14', 'task-simulation-c0c11993eae55891-exec-3'), ('26:15', 'task-simulation-c0c11993eae55891-exec-4'), ('26:17', 'task-simulation-c0c11993eae55891-exec-1'), ('26:17', 'task-simulation-c0c11993eae55891-exec-2'), ('26:18', 'task-simulation-c0c11993eae55891-exec-3'), ('26:18', 'task-simulation-c0c11993eae55891-exec-4'), ('26:20', 'task-simulation-c0c11993eae55891-exec-1'), ('26:20', 'task-simulation-c0c11993eae55891-exec-2'), ('26:21', 'task-simulation-c0c11993eae55891-exec-3'), ('26:21', 'task-simulation-c0c11993eae55891-exec-4'), ('26:23', 'task-simulation-c0c11993eae55891-exec-1'), ('26:24', 'task-simulation-c0c11993eae55891-exec-2'), ('26:24', 'task-simulation-c0c11993eae55891-exec-3'), ('26:24', 'task-simulation-c0c11993eae55891-exec-4'), ('26:26', 'task-simulation-c0c11993eae55891-exec-1'), ('26:26', 'task-simulation-c0c11993eae55891-exec-2'), ('26:26', 'task-simulation-c0c11993eae55891-exec-3'), ('26:26', 'task-simulation-c0c11993eae55891-exec-4'), ('26:28', 'task-simulation-c0c11993eae55891-exec-1'), ('26:28', 'task-simulation-c0c11993eae55891-exec-2'), ('26:28', 'task-simulation-c0c11993eae55891-exec-3'), ('26:28', 'task-simulation-c0c11993eae55891-exec-4'), ('26:30', 'task-simulation-c0c11993eae55891-exec-1'), ('26:30', 'task-simulation-c0c11993eae55891-exec-2'), ('26:30', 'task-simulation-c0c11993eae55891-exec-3'), ('26:31', 'task-simulation-c0c11993eae55891-exec-4'), ('26:33', 'task-simulation-c0c11993eae55891-exec-1'), ('26:33', 'task-simulation-c0c11993eae55891-exec-2'), ('26:33', 'task-simulation-c0c11993eae55891-exec-3'), ('26:33', 'task-simulation-c0c11993eae55891-exec-4'), ('26:35', 'task-simulation-c0c11993eae55891-exec-1'), ('26:35', 'task-simulation-c0c11993eae55891-exec-2'), ('26:35', 'task-simulation-c0c11993eae55891-exec-3'), ('26:36', 'task-simulation-c0c11993eae55891-exec-4'), ('26:37', 'task-simulation-c0c11993eae55891-exec-1'), ('26:38', 'task-simulation-c0c11993eae55891-exec-2'), ('26:38', 'task-simulation-c0c11993eae55891-exec-3'), ('26:38', 'task-simulation-c0c11993eae55891-exec-4'), ('26:40', 'task-simulation-c0c11993eae55891-exec-1'), ('26:40', 'task-simulation-c0c11993eae55891-exec-2'), ('26:40', 'task-simulation-c0c11993eae55891-exec-3'), ('26:40', 'task-simulation-c0c11993eae55891-exec-4'), ('26:42', 'task-simulation-c0c11993eae55891-exec-1'), ('26:42', 'task-simulation-c0c11993eae55891-exec-2'), ('26:42', 'task-simulation-c0c11993eae55891-exec-3'), ('26:43', 'task-simulation-c0c11993eae55891-exec-4'), ('26:44', 'task-simulation-c0c11993eae55891-exec-1'), ('26:44', 'task-simulation-c0c11993eae55891-exec-2'), ('26:45', 'task-simulation-c0c11993eae55891-exec-3'), ('26:45', 'task-simulation-c0c11993eae55891-exec-4'), ('26:46', 'task-simulation-c0c11993eae55891-exec-1'), ('26:46', 'task-simulation-c0c11993eae55891-exec-2'), ('26:47', 'task-simulation-c0c11993eae55891-exec-3'), ('26:47', 'task-simulation-c0c11993eae55891-exec-4'), ('26:48', 'task-simulation-c0c11993eae55891-exec-1'), ('26:48', 'task-simulation-c0c11993eae55891-exec-2'), ('26:49', 'task-simulation-c0c11993eae55891-exec-3'), ('26:49', 'task-simulation-c0c11993eae55891-exec-4'), ('26:51', 'task-simulation-c0c11993eae55891-exec-1'), ('26:51', 'task-simulation-c0c11993eae55891-exec-2'), ('26:52', 'task-simulation-c0c11993eae55891-exec-3'), ('26:52', 'task-simulation-c0c11993eae55891-exec-4'), ('26:54', 'task-simulation-c0c11993eae55891-exec-1'), ('26:54', 'task-simulation-c0c11993eae55891-exec-2'), ('26:55', 'task-simulation-c0c11993eae55891-exec-3'), ('26:55', 'task-simulation-c0c11993eae55891-exec-4'), ('26:57', 'task-simulation-c0c11993eae55891-exec-1'), ('26:58', 'task-simulation-c0c11993eae55891-exec-2'), ('26:58', 'task-simulation-c0c11993eae55891-exec-3'), ('26:58', 'task-simulation-c0c11993eae55891-exec-4'), ('27:01', 'task-simulation-c0c11993eae55891-exec-1'), ('27:01', 'task-simulation-c0c11993eae55891-exec-2'), ('27:01', 'task-simulation-c0c11993eae55891-exec-3'), ('27:02', 'task-simulation-c0c11993eae55891-exec-4'), ('27:03', 'task-simulation-c0c11993eae55891-exec-1'), ('27:04', 'task-simulation-c0c11993eae55891-exec-2'), ('27:04', 'task-simulation-c0c11993eae55891-exec-3'), ('27:04', 'task-simulation-c0c11993eae55891-exec-4'), ('27:06', 'task-simulation-c0c11993eae55891-exec-1'), ('27:06', 'task-simulation-c0c11993eae55891-exec-2'), ('27:06', 'task-simulation-c0c11993eae55891-exec-3'), ('27:06', 'task-simulation-c0c11993eae55891-exec-4'), ('27:07', 'task-simulation-c0c11993eae55891-exec-1'), ('27:08', 'task-simulation-c0c11993eae55891-exec-2'), ('27:08', 'task-simulation-c0c11993eae55891-exec-3'), ('27:08', 'task-simulation-c0c11993eae55891-exec-4'), ('27:09', 'task-simulation-c0c11993eae55891-exec-1'), ('27:10', 'task-simulation-c0c11993eae55891-exec-2'), ('27:10', 'task-simulation-c0c11993eae55891-exec-3'), ('27:10', 'task-simulation-c0c11993eae55891-exec-4'), ('27:11', 'task-simulation-c0c11993eae55891-exec-1'), ('27:12', 'task-simulation-c0c11993eae55891-exec-2'), ('27:12', 'task-simulation-c0c11993eae55891-exec-3'), ('27:12', 'task-simulation-c0c11993eae55891-exec-4'), ('27:14', 'task-simulation-c0c11993eae55891-exec-1'), ('27:14', 'task-simulation-c0c11993eae55891-exec-2'), ('27:14', 'task-simulation-c0c11993eae55891-exec-3'), ('27:14', 'task-simulation-c0c11993eae55891-exec-4'), ('27:16', 'task-simulation-c0c11993eae55891-exec-1'), ('27:16', 'task-simulation-c0c11993eae55891-exec-2'), ('27:17', 'task-simulation-c0c11993eae55891-exec-3'), ('27:17', 'task-simulation-c0c11993eae55891-exec-4'), ('27:18', 'task-simulation-c0c11993eae55891-exec-1'), ('27:18', 'task-simulation-c0c11993eae55891-exec-2'), ('27:19', 'task-simulation-c0c11993eae55891-exec-3'), ('27:19', 'task-simulation-c0c11993eae55891-exec-4')]"
13,2024-12-21 20:25:08.383406,2024-12-21 20:25:50.154819,3.7035,"[('25:33', 'task-simulation-5e81f893eae56538-exec-1'), ('25:33', 'task-simulation-5e81f893eae56538-exec-2'), ('25:34', 'task-simulation-5e81f893eae56538-exec-3'), ('25:37', 'task-simulation-5e81f893eae56538-exec-1'), ('25:37', 'task-simulation-5e81f893eae56538-exec-2'), ('25:38', 'task-simulation-5e81f893eae56538-exec-3'), ('25:38', 'task-simulation-5e81f893eae56538-exec-4'), ('25:40', 'task-simulation-5e81f893eae56538-exec-1'), ('25:40', 'task-simulation-5e81f893eae56538-exec-2'), ('25:41', 'task-simulation-5e81f893eae56538-exec-3'), ('25:41', 'task-simulation-5e81f893eae56538-exec-4'), ('25:43', 'task-simulation-5e81f893eae56538-exec-1'), ('25:43', 'task-simulation-5e81f893eae56538-exec-2'), ('25:44', 'task-simulation-5e81f893eae56538-exec-3'), ('25:44', 'task-simulation-5e81f893eae56538-exec-4')]"
15,2024-12-21 20:25:29.032317,2024-12-21 20:26:19.255314,2.7298333333333336,"[('25:50', 'task-simulation-912cd693eae5b576-exec-1'), ('25:52', 'task-simulation-912cd693eae5b576-exec-1'), ('25:55', 'task-simulation-912cd693eae5b576-exec-1'), ('25:57', 'task-simulation-912cd693eae5b576-exec-1'), ('26:00', 'task-simulation-912cd693eae5b576-exec-1'), ('26:02', 'task-simulation-912cd693eae5b576-exec-1'), ('26:04', 'task-simulation-912cd693eae5b576-exec-1'), ('26:06', 'task-simulation-912cd693eae5b576-exec-1'), ('26:09', 'task-simulation-912cd693eae5b576-exec-1'), ('26:11', 'task-simulation-912cd693eae5b576-exec-1'), ('26:14', 'task-simulation-912cd693eae5b576-exec-1')]"
17,2024-12-21 20:25:54.800404,2024-12-21 20:26:29.870030,2.978,"[('26:13', 'task-simulation-1f11c893eae61306-exec-1'), ('26:16', 'task-simulation-1f11c893eae61306-exec-1'), ('26:16', 'task-simulation-1f11c893eae61306-exec-2'), ('26:17', 'task-simulation-1f11c893eae61306-exec-3'), ('26:19', 'task-simulation-1f11c893eae61306-exec-1'), ('26:19', 'task-simulation-1f11c893eae61306-exec-2'), ('26:20', 'task-simulation-1f11c893eae61306-exec-3'), ('26:20', 'task-simulation-1f11c893eae61306-exec-4'), ('26:23', 'task-simulation-1f11c893eae61306-exec-1'), ('26:23', 'task-simulation-1f11c893eae61306-exec-2'), ('26:23', 'task-simulation-1f11c893eae61306-exec-3'), ('26:23', 'task-simulation-1f11c893eae61306-exec-4')]"
