job_id,start_time,end_time,carbon_footprint,executors
0,2024-12-25 00:51:13.482466,2024-12-25 00:52:11.558780,371.2885000000003,"[('51:33', 'task-simulation-92e28093fb4c0f24-exec-1'), ('51:35', 'task-simulation-92e28093fb4c0f24-exec-1'), ('51:35', 'task-simulation-92e28093fb4c0f24-exec-2'), ('51:36', 'task-simulation-92e28093fb4c0f24-exec-3'), ('51:36', 'task-simulation-92e28093fb4c0f24-exec-4'), ('51:36', 'task-simulation-92e28093fb4c0f24-exec-5'), ('51:38', 'task-simulation-92e28093fb4c0f24-exec-1'), ('51:38', 'task-simulation-92e28093fb4c0f24-exec-2'), ('51:38', 'task-simulation-92e28093fb4c0f24-exec-3'), ('51:39', 'task-simulation-92e28093fb4c0f24-exec-4'), ('51:39', 'task-simulation-92e28093fb4c0f24-exec-5'), ('51:40', 'task-simulation-92e28093fb4c0f24-exec-1'), ('51:41', 'task-simulation-92e28093fb4c0f24-exec-2'), ('51:41', 'task-simulation-92e28093fb4c0f24-exec-3'), ('51:41', 'task-simulation-92e28093fb4c0f24-exec-4'), ('51:41', 'task-simulation-92e28093fb4c0f24-exec-5'), ('51:43', 'task-simulation-92e28093fb4c0f24-exec-1'), ('51:43', 'task-simulation-92e28093fb4c0f24-exec-2'), ('51:44', 'task-simulation-92e28093fb4c0f24-exec-3'), ('51:44', 'task-simulation-92e28093fb4c0f24-exec-4'), ('51:44', 'task-simulation-92e28093fb4c0f24-exec-5'), ('51:46', 'task-simulation-92e28093fb4c0f24-exec-1'), ('51:47', 'task-simulation-92e28093fb4c0f24-exec-2'), ('51:47', 'task-simulation-92e28093fb4c0f24-exec-3'), ('51:47', 'task-simulation-92e28093fb4c0f24-exec-4'), ('51:48', 'task-simulation-92e28093fb4c0f24-exec-5'), ('51:51', 'task-simulation-92e28093fb4c0f24-exec-1'), ('51:51', 'task-simulation-92e28093fb4c0f24-exec-2'), ('51:51', 'task-simulation-92e28093fb4c0f24-exec-3'), ('51:52', 'task-simulation-92e28093fb4c0f24-exec-4'), ('51:52', 'task-simulation-92e28093fb4c0f24-exec-5'), ('51:55', 'task-simulation-92e28093fb4c0f24-exec-1'), ('51:55', 'task-simulation-92e28093fb4c0f24-exec-2'), ('51:56', 'task-simulation-92e28093fb4c0f24-exec-3'), ('51:56', 'task-simulation-92e28093fb4c0f24-exec-4'), ('51:56', 'task-simulation-92e28093fb4c0f24-exec-5'), ('51:59', 'task-simulation-92e28093fb4c0f24-exec-1'), ('51:59', 'task-simulation-92e28093fb4c0f24-exec-2'), ('52:00', 'task-simulation-92e28093fb4c0f24-exec-3'), ('52:00', 'task-simulation-92e28093fb4c0f24-exec-4'), ('52:00', 'task-simulation-92e28093fb4c0f24-exec-5'), ('52:02', 'task-simulation-92e28093fb4c0f24-exec-1'), ('52:02', 'task-simulation-92e28093fb4c0f24-exec-2'), ('52:02', 'task-simulation-92e28093fb4c0f24-exec-3'), ('52:03', 'task-simulation-92e28093fb4c0f24-exec-4'), ('52:03', 'task-simulation-92e28093fb4c0f24-exec-5'), ('52:04', 'task-simulation-92e28093fb4c0f24-exec-1'), ('52:05', 'task-simulation-92e28093fb4c0f24-exec-2'), ('52:05', 'task-simulation-92e28093fb4c0f24-exec-3'), ('52:05', 'task-simulation-92e28093fb4c0f24-exec-4'), ('52:06', 'task-simulation-92e28093fb4c0f24-exec-5')]"
1,2024-12-25 00:51:21.626718,2024-12-25 00:51:53.541450,7.280166666666666,"[('51:44', 'task-simulation-9876d693fb4c3076-exec-1')]"
2,2024-12-25 00:51:26.327089,2024-12-25 00:52:04.473287,109.20250000000004,"[('51:46', 'task-simulation-91870d93fb4c42c1-exec-1'), ('51:49', 'task-simulation-91870d93fb4c42c1-exec-1'), ('51:50', 'task-simulation-91870d93fb4c42c1-exec-2'), ('51:50', 'task-simulation-91870d93fb4c42c1-exec-3'), ('51:50', 'task-simulation-91870d93fb4c42c1-exec-4'), ('51:53', 'task-simulation-91870d93fb4c42c1-exec-1'), ('51:54', 'task-simulation-91870d93fb4c42c1-exec-2'), ('51:54', 'task-simulation-91870d93fb4c42c1-exec-3'), ('51:54', 'task-simulation-91870d93fb4c42c1-exec-4'), ('51:55', 'task-simulation-91870d93fb4c42c1-exec-5'), ('51:58', 'task-simulation-91870d93fb4c42c1-exec-1'), ('51:58', 'task-simulation-91870d93fb4c42c1-exec-2'), ('51:58', 'task-simulation-91870d93fb4c42c1-exec-3'), ('51:58', 'task-simulation-91870d93fb4c42c1-exec-4'), ('51:59', 'task-simulation-91870d93fb4c42c1-exec-5')]"
3,2024-12-25 00:51:45.890144,2024-12-25 00:52:30.699213,177.02150000000006,"[('52:07', 'task-simulation-d544f593fb4c8e87-exec-1'), ('52:07', 'task-simulation-d544f593fb4c8e87-exec-2'), ('52:08', 'task-simulation-d544f593fb4c8e87-exec-3'), ('52:09', 'task-simulation-d544f593fb4c8e87-exec-1'), ('52:10', 'task-simulation-d544f593fb4c8e87-exec-2'), ('52:10', 'task-simulation-d544f593fb4c8e87-exec-3'), ('52:12', 'task-simulation-d544f593fb4c8e87-exec-1'), ('52:12', 'task-simulation-d544f593fb4c8e87-exec-2'), ('52:12', 'task-simulation-d544f593fb4c8e87-exec-3'), ('52:14', 'task-simulation-d544f593fb4c8e87-exec-1'), ('52:14', 'task-simulation-d544f593fb4c8e87-exec-2'), ('52:15', 'task-simulation-d544f593fb4c8e87-exec-3'), ('52:16', 'task-simulation-d544f593fb4c8e87-exec-1'), ('52:17', 'task-simulation-d544f593fb4c8e87-exec-2'), ('52:17', 'task-simulation-d544f593fb4c8e87-exec-3'), ('52:18', 'task-simulation-d544f593fb4c8e87-exec-1'), ('52:19', 'task-simulation-d544f593fb4c8e87-exec-2'), ('52:19', 'task-simulation-d544f593fb4c8e87-exec-3'), ('52:21', 'task-simulation-d544f593fb4c8e87-exec-1'), ('52:21', 'task-simulation-d544f593fb4c8e87-exec-2'), ('52:21', 'task-simulation-d544f593fb4c8e87-exec-3'), ('52:23', 'task-simulation-d544f593fb4c8e87-exec-1'), ('52:23', 'task-simulation-d544f593fb4c8e87-exec-2'), ('52:23', 'task-simulation-d544f593fb4c8e87-exec-3')]"
4,2024-12-25 00:52:07.231119,2024-12-25 00:52:36.320957,22.3,"[('52:27', 'task-simulation-85204693fb4ce2e0-exec-1'), ('52:29', 'task-simulation-85204693fb4ce2e0-exec-1'), ('52:31', 'task-simulation-85204693fb4ce2e0-exec-1')]"
5,2024-12-25 00:52:09.305563,2024-12-25 00:52:46.234859,141.23333333333338,"[('52:29', 'task-simulation-e5c34b93fb4cec30-exec-1'), ('52:31', 'task-simulation-e5c34b93fb4cec30-exec-1'), ('52:31', 'task-simulation-e5c34b93fb4cec30-exec-2'), ('52:32', 'task-simulation-e5c34b93fb4cec30-exec-3'), ('52:33', 'task-simulation-e5c34b93fb4cec30-exec-1'), ('52:34', 'task-simulation-e5c34b93fb4cec30-exec-2'), ('52:34', 'task-simulation-e5c34b93fb4cec30-exec-3'), ('52:34', 'task-simulation-e5c34b93fb4cec30-exec-4'), ('52:35', 'task-simulation-e5c34b93fb4cec30-exec-5'), ('52:36', 'task-simulation-e5c34b93fb4cec30-exec-1'), ('52:37', 'task-simulation-e5c34b93fb4cec30-exec-2'), ('52:37', 'task-simulation-e5c34b93fb4cec30-exec-3'), ('52:37', 'task-simulation-e5c34b93fb4cec30-exec-4'), ('52:38', 'task-simulation-e5c34b93fb4cec30-exec-5'), ('52:39', 'task-simulation-e5c34b93fb4cec30-exec-1'), ('52:40', 'task-simulation-e5c34b93fb4cec30-exec-2'), ('52:40', 'task-simulation-e5c34b93fb4cec30-exec-3'), ('52:40', 'task-simulation-e5c34b93fb4cec30-exec-4'), ('52:41', 'task-simulation-e5c34b93fb4cec30-exec-5')]"
6,2024-12-25 00:52:20.569839,2024-12-25 00:52:47.374296,14.866666666666667,"[('52:39', 'task-simulation-9bab2493fb4d1229-exec-1'), ('52:42', 'task-simulation-9bab2493fb4d1229-exec-1')]"
7,2024-12-25 00:52:28.790213,2024-12-25 00:53:20.667539,365.99500000000035,"[('52:49', 'task-simulation-43539893fb4d388f-exec-1'), ('52:50', 'task-simulation-43539893fb4d388f-exec-1'), ('52:50', 'task-simulation-43539893fb4d388f-exec-2'), ('52:51', 'task-simulation-43539893fb4d388f-exec-3'), ('52:52', 'task-simulation-43539893fb4d388f-exec-1'), ('52:52', 'task-simulation-43539893fb4d388f-exec-2'), ('52:53', 'task-simulation-43539893fb4d388f-exec-3'), ('52:53', 'task-simulation-43539893fb4d388f-exec-4'), ('52:53', 'task-simulation-43539893fb4d388f-exec-5'), ('52:55', 'task-simulation-43539893fb4d388f-exec-1'), ('52:55', 'task-simulation-43539893fb4d388f-exec-2'), ('52:55', 'task-simulation-43539893fb4d388f-exec-3'), ('52:56', 'task-simulation-43539893fb4d388f-exec-4'), ('52:56', 'task-simulation-43539893fb4d388f-exec-5'), ('52:57', 'task-simulation-43539893fb4d388f-exec-1'), ('52:58', 'task-simulation-43539893fb4d388f-exec-2'), ('52:58', 'task-simulation-43539893fb4d388f-exec-3'), ('52:58', 'task-simulation-43539893fb4d388f-exec-4'), ('52:59', 'task-simulation-43539893fb4d388f-exec-5'), ('53:00', 'task-simulation-43539893fb4d388f-exec-1'), ('53:01', 'task-simulation-43539893fb4d388f-exec-2'), ('53:01', 'task-simulation-43539893fb4d388f-exec-3'), ('53:01', 'task-simulation-43539893fb4d388f-exec-4'), ('53:02', 'task-simulation-43539893fb4d388f-exec-5'), ('53:03', 'task-simulation-43539893fb4d388f-exec-1'), ('53:04', 'task-simulation-43539893fb4d388f-exec-2'), ('53:04', 'task-simulation-43539893fb4d388f-exec-3'), ('53:04', 'task-simulation-43539893fb4d388f-exec-4'), ('53:05', 'task-simulation-43539893fb4d388f-exec-5'), ('53:06', 'task-simulation-43539893fb4d388f-exec-1'), ('53:07', 'task-simulation-43539893fb4d388f-exec-2'), ('53:07', 'task-simulation-43539893fb4d388f-exec-3'), ('53:08', 'task-simulation-43539893fb4d388f-exec-4'), ('53:08', 'task-simulation-43539893fb4d388f-exec-5'), ('53:10', 'task-simulation-43539893fb4d388f-exec-1'), ('53:10', 'task-simulation-43539893fb4d388f-exec-2'), ('53:10', 'task-simulation-43539893fb4d388f-exec-3'), ('53:11', 'task-simulation-43539893fb4d388f-exec-4'), ('53:11', 'task-simulation-43539893fb4d388f-exec-5'), ('53:13', 'task-simulation-43539893fb4d388f-exec-1'), ('53:13', 'task-simulation-43539893fb4d388f-exec-2'), ('53:13', 'task-simulation-43539893fb4d388f-exec-3'), ('53:14', 'task-simulation-43539893fb4d388f-exec-4'), ('53:14', 'task-simulation-43539893fb4d388f-exec-5'), ('53:16', 'task-simulation-43539893fb4d388f-exec-1'), ('53:16', 'task-simulation-43539893fb4d388f-exec-2'), ('53:16', 'task-simulation-43539893fb4d388f-exec-3'), ('53:16', 'task-simulation-43539893fb4d388f-exec-4'), ('53:17', 'task-simulation-43539893fb4d388f-exec-5')]"
8,2024-12-25 00:52:39.106156,2024-12-25 00:53:18.304188,44.77616666666667,"[('52:59', 'task-simulation-73c32093fb4d5cee-exec-1'), ('53:02', 'task-simulation-73c32093fb4d5cee-exec-1'), ('53:05', 'task-simulation-73c32093fb4d5cee-exec-1'), ('53:08', 'task-simulation-73c32093fb4d5cee-exec-1'), ('53:11', 'task-simulation-73c32093fb4d5cee-exec-1'), ('53:14', 'task-simulation-73c32093fb4d5cee-exec-1')]"
9,2024-12-25 00:53:58.075641,2024-12-25 00:54:24.115866,23.150499999999997,"[('54:16', 'task-simulation-a0494193fb4e8e64-exec-1'), ('54:18', 'task-simulation-a0494193fb4e8e64-exec-1'), ('54:19', 'task-simulation-a0494193fb4e8e64-exec-1')]"
