,job_id,start_time,carbon_footprint,executors,duration
0,0,2024-12-25 07:27:43.758919,713.8000000000008,"[('28:01', 'task-simulation-6b611e93fcb70e54-exec-1'), ('28:03', 'task-simulation-6b611e93fcb70e54-exec-1'), ('28:04', 'task-simulation-6b611e93fcb70e54-exec-1'), ('28:06', 'task-simulation-6b611e93fcb70e54-exec-1')]",0 days 00:00:27.762362
1,1,2024-12-25 07:27:58.780364,1832.8406666666644,"[('28:17', 'task-simulation-621aa193fcb74b4e-exec-1'), ('28:19', 'task-simulation-621aa193fcb74b4e-exec-1'), ('28:20', 'task-simulation-621aa193fcb74b4e-exec-1')]",0 days 00:00:27.304334
2,2,2024-12-25 07:28:12.643715,501.20666666666693,"[('28:32', 'task-simulation-5c416793fcb78170-exec-1'), ('28:33', 'task-simulation-5c416793fcb78170-exec-1'), ('28:34', 'task-simulation-5c416793fcb78170-exec-1')]",0 days 00:00:27.761922
3,3,2024-12-25 07:28:31.702835,25.004,"[('28:49', 'task-simulation-a2d0dd93fcb7c8da-exec-1'), ('28:51', 'task-simulation-a2d0dd93fcb7c8da-exec-1'), ('28:51', 'task-simulation-a2d0dd93fcb7c8da-exec-2'), ('28:51', 'task-simulation-a2d0dd93fcb7c8da-exec-3'), ('28:53', 'task-simulation-a2d0dd93fcb7c8da-exec-1'), ('28:53', 'task-simulation-a2d0dd93fcb7c8da-exec-2'), ('28:53', 'task-simulation-a2d0dd93fcb7c8da-exec-3'), ('28:54', 'task-simulation-a2d0dd93fcb7c8da-exec-4'), ('28:54', 'task-simulation-a2d0dd93fcb7c8da-exec-5'), ('28:55', 'task-simulation-a2d0dd93fcb7c8da-exec-1'), ('28:56', 'task-simulation-a2d0dd93fcb7c8da-exec-2'), ('28:56', 'task-simulation-a2d0dd93fcb7c8da-exec-3'), ('28:56', 'task-simulation-a2d0dd93fcb7c8da-exec-4'), ('28:56', 'task-simulation-a2d0dd93fcb7c8da-exec-5'), ('28:58', 'task-simulation-a2d0dd93fcb7c8da-exec-1'), ('28:58', 'task-simulation-a2d0dd93fcb7c8da-exec-2'), ('28:58', 'task-simulation-a2d0dd93fcb7c8da-exec-3'), ('28:59', 'task-simulation-a2d0dd93fcb7c8da-exec-4'), ('28:59', 'task-simulation-a2d0dd93fcb7c8da-exec-5'), ('29:00', 'task-simulation-a2d0dd93fcb7c8da-exec-1'), ('29:00', 'task-simulation-a2d0dd93fcb7c8da-exec-2'), ('29:01', 'task-simulation-a2d0dd93fcb7c8da-exec-3'), ('29:01', 'task-simulation-a2d0dd93fcb7c8da-exec-4'), ('29:01', 'task-simulation-a2d0dd93fcb7c8da-exec-5'), ('29:03', 'task-simulation-a2d0dd93fcb7c8da-exec-1'), ('29:03', 'task-simulation-a2d0dd93fcb7c8da-exec-2'), ('29:03', 'task-simulation-a2d0dd93fcb7c8da-exec-3'), ('29:03', 'task-simulation-a2d0dd93fcb7c8da-exec-4'), ('29:04', 'task-simulation-a2d0dd93fcb7c8da-exec-5'), ('29:05', 'task-simulation-a2d0dd93fcb7c8da-exec-1'), ('29:05', 'task-simulation-a2d0dd93fcb7c8da-exec-2'), ('29:05', 'task-simulation-a2d0dd93fcb7c8da-exec-3'), ('29:06', 'task-simulation-a2d0dd93fcb7c8da-exec-4'), ('29:06', 'task-simulation-a2d0dd93fcb7c8da-exec-5'), ('29:07', 'task-simulation-a2d0dd93fcb7c8da-exec-1'), ('29:08', 'task-simulation-a2d0dd93fcb7c8da-exec-2'), ('29:08', 'task-simulation-a2d0dd93fcb7c8da-exec-3'), ('29:08', 'task-simulation-a2d0dd93fcb7c8da-exec-4'), ('29:08', 'task-simulation-a2d0dd93fcb7c8da-exec-5'), ('29:10', 'task-simulation-a2d0dd93fcb7c8da-exec-1'), ('29:10', 'task-simulation-a2d0dd93fcb7c8da-exec-2'), ('29:10', 'task-simulation-a2d0dd93fcb7c8da-exec-3'), ('29:11', 'task-simulation-a2d0dd93fcb7c8da-exec-4'), ('29:11', 'task-simulation-a2d0dd93fcb7c8da-exec-5'), ('29:13', 'task-simulation-a2d0dd93fcb7c8da-exec-1'), ('29:14', 'task-simulation-a2d0dd93fcb7c8da-exec-2'), ('29:14', 'task-simulation-a2d0dd93fcb7c8da-exec-3'), ('29:14', 'task-simulation-a2d0dd93fcb7c8da-exec-4'), ('29:14', 'task-simulation-a2d0dd93fcb7c8da-exec-5'), ('29:17', 'task-simulation-a2d0dd93fcb7c8da-exec-1'), ('29:17', 'task-simulation-a2d0dd93fcb7c8da-exec-2'), ('29:17', 'task-simulation-a2d0dd93fcb7c8da-exec-3'), ('29:18', 'task-simulation-a2d0dd93fcb7c8da-exec-4'), ('29:18', 'task-simulation-a2d0dd93fcb7c8da-exec-5')]",0 days 00:00:52.672847
4,4,2024-12-25 07:28:49.551380,87.514,"[('29:10', 'task-simulation-7539a693fcb81379-exec-1'), ('29:12', 'task-simulation-7539a693fcb81379-exec-1'), ('29:13', 'task-simulation-7539a693fcb81379-exec-2'), ('29:13', 'task-simulation-7539a693fcb81379-exec-3'), ('29:13', 'task-simulation-7539a693fcb81379-exec-4'), ('29:13', 'task-simulation-7539a693fcb81379-exec-5'), ('29:16', 'task-simulation-7539a693fcb81379-exec-1'), ('29:16', 'task-simulation-7539a693fcb81379-exec-2'), ('29:16', 'task-simulation-7539a693fcb81379-exec-3'), ('29:17', 'task-simulation-7539a693fcb81379-exec-4'), ('29:17', 'task-simulation-7539a693fcb81379-exec-5'), ('29:19', 'task-simulation-7539a693fcb81379-exec-1'), ('29:20', 'task-simulation-7539a693fcb81379-exec-2'), ('29:20', 'task-simulation-7539a693fcb81379-exec-3'), ('29:20', 'task-simulation-7539a693fcb81379-exec-4'), ('29:20', 'task-simulation-7539a693fcb81379-exec-5'), ('29:22', 'task-simulation-7539a693fcb81379-exec-1'), ('29:22', 'task-simulation-7539a693fcb81379-exec-2'), ('29:22', 'task-simulation-7539a693fcb81379-exec-3'), ('29:22', 'task-simulation-7539a693fcb81379-exec-4'), ('29:23', 'task-simulation-7539a693fcb81379-exec-5'), ('29:24', 'task-simulation-7539a693fcb81379-exec-1'), ('29:24', 'task-simulation-7539a693fcb81379-exec-2'), ('29:25', 'task-simulation-7539a693fcb81379-exec-3'), ('29:25', 'task-simulation-7539a693fcb81379-exec-4'), ('29:25', 'task-simulation-7539a693fcb81379-exec-5'), ('29:27', 'task-simulation-7539a693fcb81379-exec-1'), ('29:27', 'task-simulation-7539a693fcb81379-exec-2'), ('29:27', 'task-simulation-7539a693fcb81379-exec-3'), ('29:27', 'task-simulation-7539a693fcb81379-exec-4'), ('29:28', 'task-simulation-7539a693fcb81379-exec-5'), ('29:29', 'task-simulation-7539a693fcb81379-exec-1'), ('29:29', 'task-simulation-7539a693fcb81379-exec-2'), ('29:29', 'task-simulation-7539a693fcb81379-exec-3'), ('29:30', 'task-simulation-7539a693fcb81379-exec-4'), ('29:30', 'task-simulation-7539a693fcb81379-exec-5'), ('29:31', 'task-simulation-7539a693fcb81379-exec-1'), ('29:32', 'task-simulation-7539a693fcb81379-exec-2'), ('29:32', 'task-simulation-7539a693fcb81379-exec-3'), ('29:32', 'task-simulation-7539a693fcb81379-exec-4'), ('29:32', 'task-simulation-7539a693fcb81379-exec-5'), ('29:34', 'task-simulation-7539a693fcb81379-exec-1'), ('29:34', 'task-simulation-7539a693fcb81379-exec-2'), ('29:34', 'task-simulation-7539a693fcb81379-exec-3'), ('29:34', 'task-simulation-7539a693fcb81379-exec-4'), ('29:35', 'task-simulation-7539a693fcb81379-exec-5'), ('29:36', 'task-simulation-7539a693fcb81379-exec-1'), ('29:36', 'task-simulation-7539a693fcb81379-exec-2'), ('29:36', 'task-simulation-7539a693fcb81379-exec-3'), ('29:37', 'task-simulation-7539a693fcb81379-exec-4'), ('29:37', 'task-simulation-7539a693fcb81379-exec-5'), ('29:38', 'task-simulation-7539a693fcb81379-exec-1'), ('29:38', 'task-simulation-7539a693fcb81379-exec-2'), ('29:39', 'task-simulation-7539a693fcb81379-exec-3'), ('29:39', 'task-simulation-7539a693fcb81379-exec-4'), ('29:39', 'task-simulation-7539a693fcb81379-exec-5'), ('29:40', 'task-simulation-7539a693fcb81379-exec-1'), ('29:41', 'task-simulation-7539a693fcb81379-exec-2'), ('29:41', 'task-simulation-7539a693fcb81379-exec-3'), ('29:41', 'task-simulation-7539a693fcb81379-exec-4'), ('29:41', 'task-simulation-7539a693fcb81379-exec-5'), ('29:43', 'task-simulation-7539a693fcb81379-exec-1'), ('29:43', 'task-simulation-7539a693fcb81379-exec-2'), ('29:43', 'task-simulation-7539a693fcb81379-exec-3'), ('29:43', 'task-simulation-7539a693fcb81379-exec-4'), ('29:43', 'task-simulation-7539a693fcb81379-exec-5'), ('29:45', 'task-simulation-7539a693fcb81379-exec-1'), ('29:45', 'task-simulation-7539a693fcb81379-exec-2'), ('29:45', 'task-simulation-7539a693fcb81379-exec-3'), ('29:45', 'task-simulation-7539a693fcb81379-exec-4'), ('29:46', 'task-simulation-7539a693fcb81379-exec-5'), ('29:47', 'task-simulation-7539a693fcb81379-exec-1'), ('29:47', 'task-simulation-7539a693fcb81379-exec-2'), ('29:47', 'task-simulation-7539a693fcb81379-exec-3'), ('29:48', 'task-simulation-7539a693fcb81379-exec-4'), ('29:48', 'task-simulation-7539a693fcb81379-exec-5'), ('29:49', 'task-simulation-7539a693fcb81379-exec-1'), ('29:49', 'task-simulation-7539a693fcb81379-exec-2'), ('29:50', 'task-simulation-7539a693fcb81379-exec-3'), ('29:50', 'task-simulation-7539a693fcb81379-exec-4'), ('29:50', 'task-simulation-7539a693fcb81379-exec-5'), ('29:52', 'task-simulation-7539a693fcb81379-exec-1'), ('29:52', 'task-simulation-7539a693fcb81379-exec-2'), ('29:52', 'task-simulation-7539a693fcb81379-exec-3'), ('29:52', 'task-simulation-7539a693fcb81379-exec-4'), ('29:52', 'task-simulation-7539a693fcb81379-exec-5')]",0 days 00:01:06.755796
5,5,2024-12-25 07:29:02.514087,37.506,"[('29:23', 'task-simulation-7d9b7b93fcb846f6-exec-1'), ('29:25', 'task-simulation-7d9b7b93fcb846f6-exec-1')]",0 days 00:00:28.834632
6,6,2024-12-25 07:29:09.675778,37.21600000000001,"[('29:29', 'task-simulation-00c43393fcb86253-exec-1'), ('29:31', 'task-simulation-00c43393fcb86253-exec-1'), ('29:34', 'task-simulation-00c43393fcb86253-exec-1')]",0 days 00:00:30.812247
7,7,2024-12-25 07:29:53.977741,372.16,"[('30:12', 'task-simulation-2b07ac93fcb90a39-exec-1'), ('30:13', 'task-simulation-2b07ac93fcb90a39-exec-1'), ('30:15', 'task-simulation-2b07ac93fcb90a39-exec-1')]",0 days 00:00:25.861485
8,8,2024-12-25 07:30:12.229077,434.18666666666655,"[('30:30', 'task-simulation-9ec58993fcb951a9-exec-1'), ('30:31', 'task-simulation-9ec58993fcb951a9-exec-1'), ('30:33', 'task-simulation-9ec58993fcb951a9-exec-1')]",0 days 00:00:26.852163
9,9,2024-12-25 07:30:27.785473,1016.1899999999991,"[('30:45', 'task-simulation-4cec5e93fcb98dc6-exec-1'), ('30:46', 'task-simulation-4cec5e93fcb98dc6-exec-1'), ('30:48', 'task-simulation-4cec5e93fcb98dc6-exec-1'), ('30:49', 'task-simulation-4cec5e93fcb98dc6-exec-1')]",0 days 00:00:26.677454
