job_id,start_time,end_time,carbon_footprint,executors
1,2025-01-01 16:24:56.968253,2025-01-01 16:25:52.172679,279.82166666666683,"[('25:16', 'task-simulation-d6ea4f9422af676f-exec-1'), ('25:16', 'task-simulation-d6ea4f9422af676f-exec-2'), ('25:18', 'task-simulation-d6ea4f9422af676f-exec-1'), ('25:18', 'task-simulation-d6ea4f9422af676f-exec-2'), ('25:18', 'task-simulation-d6ea4f9422af676f-exec-3'), ('25:20', 'task-simulation-d6ea4f9422af676f-exec-1'), ('25:21', 'task-simulation-d6ea4f9422af676f-exec-2'), ('25:21', 'task-simulation-d6ea4f9422af676f-exec-3'), ('25:22', 'task-simulation-d6ea4f9422af676f-exec-1'), ('25:23', 'task-simulation-d6ea4f9422af676f-exec-2'), ('25:23', 'task-simulation-d6ea4f9422af676f-exec-3'), ('25:24', 'task-simulation-d6ea4f9422af676f-exec-1'), ('25:24', 'task-simulation-d6ea4f9422af676f-exec-2'), ('25:25', 'task-simulation-d6ea4f9422af676f-exec-3'), ('25:26', 'task-simulation-d6ea4f9422af676f-exec-1'), ('25:26', 'task-simulation-d6ea4f9422af676f-exec-2'), ('25:26', 'task-simulation-d6ea4f9422af676f-exec-3'), ('25:28', 'task-simulation-d6ea4f9422af676f-exec-1'), ('25:28', 'task-simulation-d6ea4f9422af676f-exec-2'), ('25:28', 'task-simulation-d6ea4f9422af676f-exec-3'), ('25:30', 'task-simulation-d6ea4f9422af676f-exec-1'), ('25:30', 'task-simulation-d6ea4f9422af676f-exec-2'), ('25:30', 'task-simulation-d6ea4f9422af676f-exec-3'), ('25:32', 'task-simulation-d6ea4f9422af676f-exec-1'), ('25:32', 'task-simulation-d6ea4f9422af676f-exec-2'), ('25:32', 'task-simulation-d6ea4f9422af676f-exec-3'), ('25:34', 'task-simulation-d6ea4f9422af676f-exec-1'), ('25:34', 'task-simulation-d6ea4f9422af676f-exec-2'), ('25:34', 'task-simulation-d6ea4f9422af676f-exec-3'), ('25:36', 'task-simulation-d6ea4f9422af676f-exec-1'), ('25:36', 'task-simulation-d6ea4f9422af676f-exec-2'), ('25:36', 'task-simulation-d6ea4f9422af676f-exec-3'), ('25:39', 'task-simulation-d6ea4f9422af676f-exec-1'), ('25:39', 'task-simulation-d6ea4f9422af676f-exec-2'), ('25:39', 'task-simulation-d6ea4f9422af676f-exec-3'), ('25:41', 'task-simulation-d6ea4f9422af676f-exec-1'), ('25:41', 'task-simulation-d6ea4f9422af676f-exec-2'), ('25:41', 'task-simulation-d6ea4f9422af676f-exec-3'), ('25:44', 'task-simulation-d6ea4f9422af676f-exec-1'), ('25:44', 'task-simulation-d6ea4f9422af676f-exec-2'), ('25:44', 'task-simulation-d6ea4f9422af676f-exec-3'), ('25:45', 'task-simulation-d6ea4f9422af676f-exec-1'), ('25:46', 'task-simulation-d6ea4f9422af676f-exec-2'), ('25:46', 'task-simulation-d6ea4f9422af676f-exec-3')]"
3,2025-01-01 16:25:10.670255,2025-01-01 16:25:47.299691,67.79199999999997,"[('25:34', 'task-simulation-fdd2799422afae83-exec-1'), ('25:34', 'task-simulation-fdd2799422afae83-exec-3'), ('25:37', 'task-simulation-fdd2799422afae83-exec-1'), ('25:37', 'task-simulation-fdd2799422afae83-exec-2'), ('25:37', 'task-simulation-fdd2799422afae83-exec-3'), ('25:39', 'task-simulation-fdd2799422afae83-exec-1'), ('25:39', 'task-simulation-fdd2799422afae83-exec-2'), ('25:40', 'task-simulation-fdd2799422afae83-exec-3'), ('25:42', 'task-simulation-fdd2799422afae83-exec-1'), ('25:42', 'task-simulation-fdd2799422afae83-exec-2'), ('25:42', 'task-simulation-fdd2799422afae83-exec-3')]"
4,2025-01-01 16:25:11.841292,2025-01-01 16:25:43.663900,19.578,"[('25:33', 'task-simulation-2dd55e9422afb2cb-exec-1'), ('25:36', 'task-simulation-2dd55e9422afb2cb-exec-1'), ('25:38', 'task-simulation-2dd55e9422afb2cb-exec-1')]"
5,2025-01-01 16:25:43.672272,2025-01-01 16:26:21.080963,52.742999999999995,"[('26:02', 'task-simulation-fbf6f09422b02025-exec-1'), ('26:04', 'task-simulation-fbf6f09422b02025-exec-1'), ('26:05', 'task-simulation-fbf6f09422b02025-exec-1'), ('26:06', 'task-simulation-fbf6f09422b02025-exec-1'), ('26:08', 'task-simulation-fbf6f09422b02025-exec-1'), ('26:10', 'task-simulation-fbf6f09422b02025-exec-1'), ('26:12', 'task-simulation-fbf6f09422b02025-exec-1'), ('26:13', 'task-simulation-fbf6f09422b02025-exec-1'), ('26:16', 'task-simulation-fbf6f09422b02025-exec-1')]"
6,2025-01-01 16:25:48.500833,2025-01-01 16:27:10.743740,540.6319999999994,"[('26:08', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:09', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:09', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:11', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:11', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:11', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:13', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:13', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:13', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:15', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:15', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:15', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:17', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:17', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:18', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:19', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:19', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:20', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:21', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:21', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:21', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:23', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:23', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:23', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:25', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:25', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:25', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:26', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:27', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:27', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:28', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:29', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:29', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:30', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:30', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:31', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:32', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:32', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:32', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:34', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:34', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:34', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:36', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:36', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:36', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:38', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:38', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:39', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:40', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:40', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:40', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:42', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:42', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:42', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:44', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:44', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:44', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:45', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:46', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:46', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:47', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:47', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:47', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:49', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:49', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:49', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:51', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:51', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:51', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:52', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:53', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:53', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:54', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:54', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:54', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:56', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:56', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:56', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:58', 'task-simulation-b1e5ff9422b03508-exec-1'), ('26:58', 'task-simulation-b1e5ff9422b03508-exec-2'), ('26:58', 'task-simulation-b1e5ff9422b03508-exec-3'), ('26:59', 'task-simulation-b1e5ff9422b03508-exec-1'), ('27:00', 'task-simulation-b1e5ff9422b03508-exec-2'), ('27:00', 'task-simulation-b1e5ff9422b03508-exec-3'), ('27:01', 'task-simulation-b1e5ff9422b03508-exec-1'), ('27:01', 'task-simulation-b1e5ff9422b03508-exec-2'), ('27:02', 'task-simulation-b1e5ff9422b03508-exec-3'), ('27:03', 'task-simulation-b1e5ff9422b03508-exec-1'), ('27:03', 'task-simulation-b1e5ff9422b03508-exec-2'), ('27:03', 'task-simulation-b1e5ff9422b03508-exec-3'), ('27:05', 'task-simulation-b1e5ff9422b03508-exec-1'), ('27:05', 'task-simulation-b1e5ff9422b03508-exec-2'), ('27:05', 'task-simulation-b1e5ff9422b03508-exec-3'), ('27:07', 'task-simulation-b1e5ff9422b03508-exec-1'), ('27:07', 'task-simulation-b1e5ff9422b03508-exec-2'), ('27:07', 'task-simulation-b1e5ff9422b03508-exec-3')]"
7,2025-01-01 16:26:14.973683,2025-01-01 16:26:41.875252,17.581,"[('26:33', 'task-simulation-bda4849422b09a10-exec-1'), ('26:34', 'task-simulation-bda4849422b09a10-exec-1'), ('26:37', 'task-simulation-bda4849422b09a10-exec-1')]"
9,2025-01-01 16:27:04.868687,2025-01-01 16:27:31.840416,16.2085,"[('27:23', 'task-simulation-e382889422b15e98-exec-1'), ('27:24', 'task-simulation-e382889422b15e98-exec-1'), ('27:26', 'task-simulation-e382889422b15e98-exec-1')]"
10,2025-01-01 16:27:40.847787,2025-01-01 16:28:15.963392,95.6745,"[('27:59', 'task-simulation-90ef659422b1e6bb-exec-1'), ('28:01', 'task-simulation-90ef659422b1e6bb-exec-1'), ('28:01', 'task-simulation-90ef659422b1e6bb-exec-2'), ('28:01', 'task-simulation-90ef659422b1e6bb-exec-3'), ('28:02', 'task-simulation-90ef659422b1e6bb-exec-1'), ('28:03', 'task-simulation-90ef659422b1e6bb-exec-2'), ('28:03', 'task-simulation-90ef659422b1e6bb-exec-3'), ('28:04', 'task-simulation-90ef659422b1e6bb-exec-1'), ('28:05', 'task-simulation-90ef659422b1e6bb-exec-2'), ('28:05', 'task-simulation-90ef659422b1e6bb-exec-3'), ('28:06', 'task-simulation-90ef659422b1e6bb-exec-1'), ('28:06', 'task-simulation-90ef659422b1e6bb-exec-2'), ('28:07', 'task-simulation-90ef659422b1e6bb-exec-3'), ('28:08', 'task-simulation-90ef659422b1e6bb-exec-1'), ('28:08', 'task-simulation-90ef659422b1e6bb-exec-2'), ('28:09', 'task-simulation-90ef659422b1e6bb-exec-3'), ('28:10', 'task-simulation-90ef659422b1e6bb-exec-1'), ('28:10', 'task-simulation-90ef659422b1e6bb-exec-2'), ('28:11', 'task-simulation-90ef659422b1e6bb-exec-3')]"
11,2025-01-01 16:27:55.744231,2025-01-01 16:28:23.315670,20.142,"[('28:13', 'task-simulation-d3fdfc9422b22340-exec-1'), ('28:14', 'task-simulation-d3fdfc9422b22340-exec-1'), ('28:16', 'task-simulation-d3fdfc9422b22340-exec-1'), ('28:17', 'task-simulation-d3fdfc9422b22340-exec-1')]"
12,2025-01-01 16:28:04.480610,2025-01-01 16:28:30.896401,15.1065,"[('28:23', 'task-simulation-a884339422b24582-exec-1'), ('28:25', 'task-simulation-a884339422b24582-exec-1'), ('28:26', 'task-simulation-a884339422b24582-exec-1')]"
