job_id,start_time,end_time,carbon_footprint,executors
0,2024-12-26 20:32:43.001597,2024-12-26 20:33:34.392819,503.8501666666661,"[('33:03', 'task-simulation-b277729404ac1c96-exec-1'), ('33:04', 'task-simulation-b277729404ac1c96-exec-1'), ('33:04', 'task-simulation-b277729404ac1c96-exec-2'), ('33:05', 'task-simulation-b277729404ac1c96-exec-3'), ('33:06', 'task-simulation-b277729404ac1c96-exec-1'), ('33:06', 'task-simulation-b277729404ac1c96-exec-2'), ('33:06', 'task-simulation-b277729404ac1c96-exec-3'), ('33:07', 'task-simulation-b277729404ac1c96-exec-4'), ('33:07', 'task-simulation-b277729404ac1c96-exec-5'), ('33:08', 'task-simulation-b277729404ac1c96-exec-1'), ('33:09', 'task-simulation-b277729404ac1c96-exec-2'), ('33:09', 'task-simulation-b277729404ac1c96-exec-3'), ('33:09', 'task-simulation-b277729404ac1c96-exec-4'), ('33:09', 'task-simulation-b277729404ac1c96-exec-5'), ('33:11', 'task-simulation-b277729404ac1c96-exec-1'), ('33:11', 'task-simulation-b277729404ac1c96-exec-2'), ('33:11', 'task-simulation-b277729404ac1c96-exec-3'), ('33:11', 'task-simulation-b277729404ac1c96-exec-4'), ('33:12', 'task-simulation-b277729404ac1c96-exec-5'), ('33:13', 'task-simulation-b277729404ac1c96-exec-1'), ('33:13', 'task-simulation-b277729404ac1c96-exec-2'), ('33:13', 'task-simulation-b277729404ac1c96-exec-3'), ('33:14', 'task-simulation-b277729404ac1c96-exec-4'), ('33:14', 'task-simulation-b277729404ac1c96-exec-5'), ('33:15', 'task-simulation-b277729404ac1c96-exec-1'), ('33:16', 'task-simulation-b277729404ac1c96-exec-2'), ('33:16', 'task-simulation-b277729404ac1c96-exec-3'), ('33:16', 'task-simulation-b277729404ac1c96-exec-4'), ('33:16', 'task-simulation-b277729404ac1c96-exec-5'), ('33:18', 'task-simulation-b277729404ac1c96-exec-1'), ('33:18', 'task-simulation-b277729404ac1c96-exec-2'), ('33:18', 'task-simulation-b277729404ac1c96-exec-3'), ('33:18', 'task-simulation-b277729404ac1c96-exec-4'), ('33:18', 'task-simulation-b277729404ac1c96-exec-5'), ('33:20', 'task-simulation-b277729404ac1c96-exec-1'), ('33:20', 'task-simulation-b277729404ac1c96-exec-2'), ('33:20', 'task-simulation-b277729404ac1c96-exec-3'), ('33:21', 'task-simulation-b277729404ac1c96-exec-4'), ('33:21', 'task-simulation-b277729404ac1c96-exec-5'), ('33:22', 'task-simulation-b277729404ac1c96-exec-1'), ('33:23', 'task-simulation-b277729404ac1c96-exec-2'), ('33:23', 'task-simulation-b277729404ac1c96-exec-3'), ('33:23', 'task-simulation-b277729404ac1c96-exec-4'), ('33:23', 'task-simulation-b277729404ac1c96-exec-5'), ('33:25', 'task-simulation-b277729404ac1c96-exec-1'), ('33:25', 'task-simulation-b277729404ac1c96-exec-2'), ('33:25', 'task-simulation-b277729404ac1c96-exec-3'), ('33:25', 'task-simulation-b277729404ac1c96-exec-4'), ('33:26', 'task-simulation-b277729404ac1c96-exec-5'), ('33:27', 'task-simulation-b277729404ac1c96-exec-1'), ('33:27', 'task-simulation-b277729404ac1c96-exec-2'), ('33:28', 'task-simulation-b277729404ac1c96-exec-3'), ('33:28', 'task-simulation-b277729404ac1c96-exec-4'), ('33:28', 'task-simulation-b277729404ac1c96-exec-5'), ('33:30', 'task-simulation-b277729404ac1c96-exec-1'), ('33:30', 'task-simulation-b277729404ac1c96-exec-2'), ('33:30', 'task-simulation-b277729404ac1c96-exec-3'), ('33:30', 'task-simulation-b277729404ac1c96-exec-4'), ('33:30', 'task-simulation-b277729404ac1c96-exec-5')]"
2,2024-12-26 20:33:19.989937,2024-12-26 20:33:56.899789,187.34299999999993,"[('33:39', 'task-simulation-8d0efb9404acaabf-exec-1'), ('33:40', 'task-simulation-8d0efb9404acaabf-exec-2'), ('33:41', 'task-simulation-8d0efb9404acaabf-exec-1'), ('33:41', 'task-simulation-8d0efb9404acaabf-exec-2'), ('33:42', 'task-simulation-8d0efb9404acaabf-exec-3'), ('33:42', 'task-simulation-8d0efb9404acaabf-exec-4'), ('33:42', 'task-simulation-8d0efb9404acaabf-exec-5'), ('33:43', 'task-simulation-8d0efb9404acaabf-exec-1'), ('33:44', 'task-simulation-8d0efb9404acaabf-exec-2'), ('33:44', 'task-simulation-8d0efb9404acaabf-exec-3'), ('33:44', 'task-simulation-8d0efb9404acaabf-exec-4'), ('33:44', 'task-simulation-8d0efb9404acaabf-exec-5'), ('33:46', 'task-simulation-8d0efb9404acaabf-exec-1'), ('33:46', 'task-simulation-8d0efb9404acaabf-exec-2'), ('33:46', 'task-simulation-8d0efb9404acaabf-exec-3'), ('33:46', 'task-simulation-8d0efb9404acaabf-exec-4'), ('33:46', 'task-simulation-8d0efb9404acaabf-exec-5'), ('33:48', 'task-simulation-8d0efb9404acaabf-exec-1'), ('33:48', 'task-simulation-8d0efb9404acaabf-exec-2'), ('33:48', 'task-simulation-8d0efb9404acaabf-exec-3'), ('33:49', 'task-simulation-8d0efb9404acaabf-exec-4'), ('33:49', 'task-simulation-8d0efb9404acaabf-exec-5')]"
3,2024-12-26 20:33:29.572737,2024-12-26 20:34:33.874657,552.9225000000001,"[('33:51', 'task-simulation-6f3a169404acd247-exec-1'), ('33:51', 'task-simulation-6f3a169404acd247-exec-3'), ('33:52', 'task-simulation-6f3a169404acd247-exec-1'), ('33:53', 'task-simulation-6f3a169404acd247-exec-2'), ('33:53', 'task-simulation-6f3a169404acd247-exec-3'), ('33:55', 'task-simulation-6f3a169404acd247-exec-1'), ('33:55', 'task-simulation-6f3a169404acd247-exec-2'), ('33:55', 'task-simulation-6f3a169404acd247-exec-3'), ('33:55', 'task-simulation-6f3a169404acd247-exec-4'), ('33:55', 'task-simulation-6f3a169404acd247-exec-5'), ('33:57', 'task-simulation-6f3a169404acd247-exec-1'), ('33:57', 'task-simulation-6f3a169404acd247-exec-2'), ('33:57', 'task-simulation-6f3a169404acd247-exec-3'), ('33:58', 'task-simulation-6f3a169404acd247-exec-4'), ('33:58', 'task-simulation-6f3a169404acd247-exec-5'), ('33:59', 'task-simulation-6f3a169404acd247-exec-1'), ('33:59', 'task-simulation-6f3a169404acd247-exec-2'), ('34:00', 'task-simulation-6f3a169404acd247-exec-3'), ('34:00', 'task-simulation-6f3a169404acd247-exec-4'), ('34:00', 'task-simulation-6f3a169404acd247-exec-5'), ('34:01', 'task-simulation-6f3a169404acd247-exec-1'), ('34:02', 'task-simulation-6f3a169404acd247-exec-2'), ('34:02', 'task-simulation-6f3a169404acd247-exec-3'), ('34:02', 'task-simulation-6f3a169404acd247-exec-4'), ('34:02', 'task-simulation-6f3a169404acd247-exec-5'), ('34:04', 'task-simulation-6f3a169404acd247-exec-1'), ('34:04', 'task-simulation-6f3a169404acd247-exec-2'), ('34:04', 'task-simulation-6f3a169404acd247-exec-3'), ('34:05', 'task-simulation-6f3a169404acd247-exec-4'), ('34:05', 'task-simulation-6f3a169404acd247-exec-5'), ('34:06', 'task-simulation-6f3a169404acd247-exec-1'), ('34:07', 'task-simulation-6f3a169404acd247-exec-2'), ('34:07', 'task-simulation-6f3a169404acd247-exec-3'), ('34:07', 'task-simulation-6f3a169404acd247-exec-4'), ('34:07', 'task-simulation-6f3a169404acd247-exec-5'), ('34:10', 'task-simulation-6f3a169404acd247-exec-1'), ('34:10', 'task-simulation-6f3a169404acd247-exec-2'), ('34:10', 'task-simulation-6f3a169404acd247-exec-3'), ('34:10', 'task-simulation-6f3a169404acd247-exec-4'), ('34:11', 'task-simulation-6f3a169404acd247-exec-5'), ('34:13', 'task-simulation-6f3a169404acd247-exec-1'), ('34:13', 'task-simulation-6f3a169404acd247-exec-2'), ('34:14', 'task-simulation-6f3a169404acd247-exec-3'), ('34:14', 'task-simulation-6f3a169404acd247-exec-4'), ('34:14', 'task-simulation-6f3a169404acd247-exec-5'), ('34:16', 'task-simulation-6f3a169404acd247-exec-1'), ('34:16', 'task-simulation-6f3a169404acd247-exec-2'), ('34:17', 'task-simulation-6f3a169404acd247-exec-3'), ('34:17', 'task-simulation-6f3a169404acd247-exec-4'), ('34:17', 'task-simulation-6f3a169404acd247-exec-5'), ('34:19', 'task-simulation-6f3a169404acd247-exec-1'), ('34:19', 'task-simulation-6f3a169404acd247-exec-2'), ('34:19', 'task-simulation-6f3a169404acd247-exec-3'), ('34:20', 'task-simulation-6f3a169404acd247-exec-4'), ('34:20', 'task-simulation-6f3a169404acd247-exec-5'), ('34:22', 'task-simulation-6f3a169404acd247-exec-1'), ('34:22', 'task-simulation-6f3a169404acd247-exec-2'), ('34:23', 'task-simulation-6f3a169404acd247-exec-3'), ('34:23', 'task-simulation-6f3a169404acd247-exec-4'), ('34:23', 'task-simulation-6f3a169404acd247-exec-5'), ('34:26', 'task-simulation-6f3a169404acd247-exec-1'), ('34:26', 'task-simulation-6f3a169404acd247-exec-2'), ('34:27', 'task-simulation-6f3a169404acd247-exec-3'), ('34:27', 'task-simulation-6f3a169404acd247-exec-4'), ('34:27', 'task-simulation-6f3a169404acd247-exec-5')]"
4,2024-12-26 20:33:33.130243,2024-12-26 20:34:01.445655,17.012999999999998,"[('33:54', 'task-simulation-19b05a9404ace2e0-exec-1'), ('33:57', 'task-simulation-19b05a9404ace2e0-exec-1')]"
5,2024-12-26 20:33:45.841842,2024-12-26 20:34:30.425426,153.117,"[('34:08', 'task-simulation-ab70e89404ad1164-exec-1'), ('34:08', 'task-simulation-ab70e89404ad1164-exec-2'), ('34:08', 'task-simulation-ab70e89404ad1164-exec-3'), ('34:11', 'task-simulation-ab70e89404ad1164-exec-1'), ('34:11', 'task-simulation-ab70e89404ad1164-exec-2'), ('34:12', 'task-simulation-ab70e89404ad1164-exec-3'), ('34:14', 'task-simulation-ab70e89404ad1164-exec-1'), ('34:14', 'task-simulation-ab70e89404ad1164-exec-2'), ('34:15', 'task-simulation-ab70e89404ad1164-exec-3'), ('34:17', 'task-simulation-ab70e89404ad1164-exec-1'), ('34:17', 'task-simulation-ab70e89404ad1164-exec-2'), ('34:18', 'task-simulation-ab70e89404ad1164-exec-3'), ('34:20', 'task-simulation-ab70e89404ad1164-exec-1'), ('34:20', 'task-simulation-ab70e89404ad1164-exec-2'), ('34:21', 'task-simulation-ab70e89404ad1164-exec-3'), ('34:24', 'task-simulation-ab70e89404ad1164-exec-1'), ('34:24', 'task-simulation-ab70e89404ad1164-exec-2'), ('34:25', 'task-simulation-ab70e89404ad1164-exec-3')]"
6,2024-12-26 20:34:01.453432,2024-12-26 20:34:40.911795,195.64949999999993,"[('34:23', 'task-simulation-7feda09404ad4d5f-exec-1'), ('34:24', 'task-simulation-7feda09404ad4d5f-exec-2'), ('34:24', 'task-simulation-7feda09404ad4d5f-exec-3'), ('34:28', 'task-simulation-7feda09404ad4d5f-exec-1'), ('34:28', 'task-simulation-7feda09404ad4d5f-exec-2'), ('34:28', 'task-simulation-7feda09404ad4d5f-exec-3'), ('34:29', 'task-simulation-7feda09404ad4d5f-exec-4'), ('34:29', 'task-simulation-7feda09404ad4d5f-exec-5'), ('34:30', 'task-simulation-7feda09404ad4d5f-exec-1'), ('34:30', 'task-simulation-7feda09404ad4d5f-exec-2'), ('34:31', 'task-simulation-7feda09404ad4d5f-exec-3'), ('34:31', 'task-simulation-7feda09404ad4d5f-exec-4'), ('34:31', 'task-simulation-7feda09404ad4d5f-exec-5'), ('34:34', 'task-simulation-7feda09404ad4d5f-exec-1'), ('34:34', 'task-simulation-7feda09404ad4d5f-exec-2'), ('34:34', 'task-simulation-7feda09404ad4d5f-exec-3'), ('34:35', 'task-simulation-7feda09404ad4d5f-exec-4'), ('34:35', 'task-simulation-7feda09404ad4d5f-exec-5'), ('34:36', 'task-simulation-7feda09404ad4d5f-exec-1'), ('34:36', 'task-simulation-7feda09404ad4d5f-exec-2'), ('34:37', 'task-simulation-7feda09404ad4d5f-exec-3'), ('34:37', 'task-simulation-7feda09404ad4d5f-exec-4'), ('34:37', 'task-simulation-7feda09404ad4d5f-exec-5')]"
7,2024-12-26 20:34:06.413598,2024-12-26 20:34:38.681160,42.5325,"[('34:31', 'task-simulation-82fa639404ad62c2-exec-1'), ('34:32', 'task-simulation-82fa639404ad62c2-exec-2'), ('34:32', 'task-simulation-82fa639404ad62c2-exec-3'), ('34:32', 'task-simulation-82fa639404ad62c2-exec-4'), ('34:32', 'task-simulation-82fa639404ad62c2-exec-5')]"
8,2024-12-26 20:34:22.058493,2024-12-26 20:35:34.045475,663.3366666666658,"[('34:42', 'task-simulation-833a309404ada20f-exec-1'), ('34:44', 'task-simulation-833a309404ada20f-exec-1'), ('34:44', 'task-simulation-833a309404ada20f-exec-2'), ('34:44', 'task-simulation-833a309404ada20f-exec-3'), ('34:46', 'task-simulation-833a309404ada20f-exec-1'), ('34:46', 'task-simulation-833a309404ada20f-exec-2'), ('34:46', 'task-simulation-833a309404ada20f-exec-3'), ('34:46', 'task-simulation-833a309404ada20f-exec-4'), ('34:47', 'task-simulation-833a309404ada20f-exec-5'), ('34:48', 'task-simulation-833a309404ada20f-exec-1'), ('34:48', 'task-simulation-833a309404ada20f-exec-2'), ('34:48', 'task-simulation-833a309404ada20f-exec-3'), ('34:49', 'task-simulation-833a309404ada20f-exec-4'), ('34:49', 'task-simulation-833a309404ada20f-exec-5'), ('34:50', 'task-simulation-833a309404ada20f-exec-1'), ('34:51', 'task-simulation-833a309404ada20f-exec-2'), ('34:51', 'task-simulation-833a309404ada20f-exec-3'), ('34:51', 'task-simulation-833a309404ada20f-exec-4'), ('34:51', 'task-simulation-833a309404ada20f-exec-5'), ('34:53', 'task-simulation-833a309404ada20f-exec-1'), ('34:53', 'task-simulation-833a309404ada20f-exec-2'), ('34:53', 'task-simulation-833a309404ada20f-exec-3'), ('34:53', 'task-simulation-833a309404ada20f-exec-4'), ('34:53', 'task-simulation-833a309404ada20f-exec-5'), ('34:55', 'task-simulation-833a309404ada20f-exec-1'), ('34:55', 'task-simulation-833a309404ada20f-exec-2'), ('34:55', 'task-simulation-833a309404ada20f-exec-3'), ('34:56', 'task-simulation-833a309404ada20f-exec-4'), ('34:56', 'task-simulation-833a309404ada20f-exec-5'), ('34:57', 'task-simulation-833a309404ada20f-exec-1'), ('34:57', 'task-simulation-833a309404ada20f-exec-2'), ('34:58', 'task-simulation-833a309404ada20f-exec-3'), ('34:58', 'task-simulation-833a309404ada20f-exec-4'), ('34:58', 'task-simulation-833a309404ada20f-exec-5'), ('34:59', 'task-simulation-833a309404ada20f-exec-1'), ('35:00', 'task-simulation-833a309404ada20f-exec-2'), ('35:00', 'task-simulation-833a309404ada20f-exec-3'), ('35:00', 'task-simulation-833a309404ada20f-exec-4'), ('35:01', 'task-simulation-833a309404ada20f-exec-5'), ('35:02', 'task-simulation-833a309404ada20f-exec-1'), ('35:02', 'task-simulation-833a309404ada20f-exec-2'), ('35:02', 'task-simulation-833a309404ada20f-exec-3'), ('35:03', 'task-simulation-833a309404ada20f-exec-4'), ('35:03', 'task-simulation-833a309404ada20f-exec-5'), ('35:05', 'task-simulation-833a309404ada20f-exec-1'), ('35:05', 'task-simulation-833a309404ada20f-exec-2'), ('35:06', 'task-simulation-833a309404ada20f-exec-3'), ('35:06', 'task-simulation-833a309404ada20f-exec-4'), ('35:06', 'task-simulation-833a309404ada20f-exec-5'), ('35:09', 'task-simulation-833a309404ada20f-exec-1'), ('35:09', 'task-simulation-833a309404ada20f-exec-2'), ('35:10', 'task-simulation-833a309404ada20f-exec-3'), ('35:10', 'task-simulation-833a309404ada20f-exec-4'), ('35:10', 'task-simulation-833a309404ada20f-exec-5'), ('35:13', 'task-simulation-833a309404ada20f-exec-1'), ('35:13', 'task-simulation-833a309404ada20f-exec-2'), ('35:13', 'task-simulation-833a309404ada20f-exec-3'), ('35:14', 'task-simulation-833a309404ada20f-exec-4'), ('35:14', 'task-simulation-833a309404ada20f-exec-5'), ('35:16', 'task-simulation-833a309404ada20f-exec-1'), ('35:16', 'task-simulation-833a309404ada20f-exec-2'), ('35:17', 'task-simulation-833a309404ada20f-exec-3'), ('35:17', 'task-simulation-833a309404ada20f-exec-4'), ('35:17', 'task-simulation-833a309404ada20f-exec-5'), ('35:20', 'task-simulation-833a309404ada20f-exec-1'), ('35:20', 'task-simulation-833a309404ada20f-exec-2'), ('35:20', 'task-simulation-833a309404ada20f-exec-3'), ('35:21', 'task-simulation-833a309404ada20f-exec-4'), ('35:21', 'task-simulation-833a309404ada20f-exec-5'), ('35:24', 'task-simulation-833a309404ada20f-exec-1'), ('35:24', 'task-simulation-833a309404ada20f-exec-2'), ('35:24', 'task-simulation-833a309404ada20f-exec-3'), ('35:24', 'task-simulation-833a309404ada20f-exec-4'), ('35:25', 'task-simulation-833a309404ada20f-exec-5'), ('35:27', 'task-simulation-833a309404ada20f-exec-1'), ('35:28', 'task-simulation-833a309404ada20f-exec-2'), ('35:28', 'task-simulation-833a309404ada20f-exec-3'), ('35:28', 'task-simulation-833a309404ada20f-exec-4'), ('35:28', 'task-simulation-833a309404ada20f-exec-5')]"
9,2024-12-26 20:34:40.919633,2024-12-26 20:35:43.122039,419.83333333333303,"[('35:03', 'task-simulation-d8925a9404ade7ce-exec-1'), ('35:04', 'task-simulation-d8925a9404ade7ce-exec-2'), ('35:04', 'task-simulation-d8925a9404ade7ce-exec-3'), ('35:06', 'task-simulation-d8925a9404ade7ce-exec-1'), ('35:07', 'task-simulation-d8925a9404ade7ce-exec-2'), ('35:07', 'task-simulation-d8925a9404ade7ce-exec-3'), ('35:07', 'task-simulation-d8925a9404ade7ce-exec-4'), ('35:08', 'task-simulation-d8925a9404ade7ce-exec-5'), ('35:10', 'task-simulation-d8925a9404ade7ce-exec-1'), ('35:11', 'task-simulation-d8925a9404ade7ce-exec-2'), ('35:11', 'task-simulation-d8925a9404ade7ce-exec-3'), ('35:11', 'task-simulation-d8925a9404ade7ce-exec-4'), ('35:11', 'task-simulation-d8925a9404ade7ce-exec-5'), ('35:14', 'task-simulation-d8925a9404ade7ce-exec-1'), ('35:14', 'task-simulation-d8925a9404ade7ce-exec-2'), ('35:14', 'task-simulation-d8925a9404ade7ce-exec-3'), ('35:15', 'task-simulation-d8925a9404ade7ce-exec-4'), ('35:15', 'task-simulation-d8925a9404ade7ce-exec-5'), ('35:17', 'task-simulation-d8925a9404ade7ce-exec-1'), ('35:18', 'task-simulation-d8925a9404ade7ce-exec-2'), ('35:18', 'task-simulation-d8925a9404ade7ce-exec-3'), ('35:18', 'task-simulation-d8925a9404ade7ce-exec-4'), ('35:19', 'task-simulation-d8925a9404ade7ce-exec-5'), ('35:21', 'task-simulation-d8925a9404ade7ce-exec-1'), ('35:22', 'task-simulation-d8925a9404ade7ce-exec-2'), ('35:22', 'task-simulation-d8925a9404ade7ce-exec-3'), ('35:22', 'task-simulation-d8925a9404ade7ce-exec-4'), ('35:22', 'task-simulation-d8925a9404ade7ce-exec-5'), ('35:25', 'task-simulation-d8925a9404ade7ce-exec-1'), ('35:25', 'task-simulation-d8925a9404ade7ce-exec-2'), ('35:25', 'task-simulation-d8925a9404ade7ce-exec-3'), ('35:26', 'task-simulation-d8925a9404ade7ce-exec-4'), ('35:26', 'task-simulation-d8925a9404ade7ce-exec-5'), ('35:29', 'task-simulation-d8925a9404ade7ce-exec-1'), ('35:29', 'task-simulation-d8925a9404ade7ce-exec-2'), ('35:30', 'task-simulation-d8925a9404ade7ce-exec-3'), ('35:30', 'task-simulation-d8925a9404ade7ce-exec-4'), ('35:30', 'task-simulation-d8925a9404ade7ce-exec-5'), ('35:32', 'task-simulation-d8925a9404ade7ce-exec-1'), ('35:32', 'task-simulation-d8925a9404ade7ce-exec-2'), ('35:32', 'task-simulation-d8925a9404ade7ce-exec-3'), ('35:32', 'task-simulation-d8925a9404ade7ce-exec-4'), ('35:33', 'task-simulation-d8925a9404ade7ce-exec-5'), ('35:34', 'task-simulation-d8925a9404ade7ce-exec-1'), ('35:35', 'task-simulation-d8925a9404ade7ce-exec-2'), ('35:35', 'task-simulation-d8925a9404ade7ce-exec-3'), ('35:35', 'task-simulation-d8925a9404ade7ce-exec-4'), ('35:35', 'task-simulation-d8925a9404ade7ce-exec-5'), ('35:39', 'task-simulation-d8925a9404ade7ce-exec-2'), ('35:39', 'task-simulation-d8925a9404ade7ce-exec-3')]"
10,2024-12-26 20:35:05.261912,2024-12-26 20:35:34.045880,8.396666666666667,"[('35:29', 'task-simulation-b2961f9404ae46c0-exec-1')]"
