,job_id,start_time,carbon_footprint,executors,duration
0,1,2024-12-21 05:34:47.808081,144.05999999999997,"[('35:08', 'task-simulation-4adcd093e7b6430d-exec-1'), ('35:10', 'task-simulation-4adcd093e7b6430d-exec-1'), ('35:10', 'task-simulation-4adcd093e7b6430d-exec-2'), ('35:10', 'task-simulation-4adcd093e7b6430d-exec-3'), ('35:12', 'task-simulation-4adcd093e7b6430d-exec-1'), ('35:12', 'task-simulation-4adcd093e7b6430d-exec-2'), ('35:12', 'task-simulation-4adcd093e7b6430d-exec-3'), ('35:12', 'task-simulation-4adcd093e7b6430d-exec-4'), ('35:12', 'task-simulation-4adcd093e7b6430d-exec-5'), ('35:13', 'task-simulation-4adcd093e7b6430d-exec-6'), ('35:13', 'task-simulation-4adcd093e7b6430d-exec-7'), ('35:13', 'task-simulation-4adcd093e7b6430d-exec-8'), ('35:14', 'task-simulation-4adcd093e7b6430d-exec-1'), ('35:14', 'task-simulation-4adcd093e7b6430d-exec-2'), ('35:15', 'task-simulation-4adcd093e7b6430d-exec-3'), ('35:15', 'task-simulation-4adcd093e7b6430d-exec-4'), ('35:15', 'task-simulation-4adcd093e7b6430d-exec-5'), ('35:15', 'task-simulation-4adcd093e7b6430d-exec-6'), ('35:15', 'task-simulation-4adcd093e7b6430d-exec-7'), ('35:15', 'task-simulation-4adcd093e7b6430d-exec-8'), ('35:17', 'task-simulation-4adcd093e7b6430d-exec-1'), ('35:17', 'task-simulation-4adcd093e7b6430d-exec-2'), ('35:17', 'task-simulation-4adcd093e7b6430d-exec-3'), ('35:17', 'task-simulation-4adcd093e7b6430d-exec-4'), ('35:17', 'task-simulation-4adcd093e7b6430d-exec-5'), ('35:18', 'task-simulation-4adcd093e7b6430d-exec-6'), ('35:18', 'task-simulation-4adcd093e7b6430d-exec-7'), ('35:18', 'task-simulation-4adcd093e7b6430d-exec-8')]",0 days 00:00:34.244085
1,2,2024-12-21 05:35:14.380668,20.58,"[('35:32', 'task-simulation-7b5b0d93e7b6a164-exec-1'), ('35:33', 'task-simulation-7b5b0d93e7b6a164-exec-1'), ('35:35', 'task-simulation-7b5b0d93e7b6a164-exec-1'), ('35:36', 'task-simulation-7b5b0d93e7b6a164-exec-1')]",0 days 00:00:27.185554
2,3,2024-12-21 05:35:31.046475,40.13333333333333,"[('35:48', 'task-simulation-5a7d8f93e7b6e440-exec-1'), ('35:50', 'task-simulation-5a7d8f93e7b6e440-exec-1'), ('35:51', 'task-simulation-5a7d8f93e7b6e440-exec-1'), ('35:51', 'task-simulation-5a7d8f93e7b6e440-exec-2'), ('35:53', 'task-simulation-5a7d8f93e7b6e440-exec-1'), ('35:53', 'task-simulation-5a7d8f93e7b6e440-exec-2'), ('35:54', 'task-simulation-5a7d8f93e7b6e440-exec-1'), ('35:54', 'task-simulation-5a7d8f93e7b6e440-exec-2')]",0 days 00:00:29.169649
3,4,2024-12-21 05:35:33.530872,15.05,"[('35:53', 'task-simulation-bd902093e7b6ef47-exec-1'), ('35:55', 'task-simulation-bd902093e7b6ef47-exec-1'), ('35:56', 'task-simulation-bd902093e7b6ef47-exec-1')]",0 days 00:00:26.685336
4,5,2024-12-21 05:35:37.725206,15.05,"[('35:57', 'task-simulation-b97c0293e7b702f6-exec-1'), ('35:59', 'task-simulation-b97c0293e7b702f6-exec-1'), ('36:00', 'task-simulation-b97c0293e7b702f6-exec-1')]",0 days 00:00:29.512975
5,6,2024-12-21 05:35:40.222851,160.53333333333342,"[('36:00', 'task-simulation-b9b08693e7b70ac2-exec-1'), ('36:00', 'task-simulation-b9b08693e7b70ac2-exec-3'), ('36:02', 'task-simulation-b9b08693e7b70ac2-exec-1'), ('36:02', 'task-simulation-b9b08693e7b70ac2-exec-2'), ('36:02', 'task-simulation-b9b08693e7b70ac2-exec-3'), ('36:03', 'task-simulation-b9b08693e7b70ac2-exec-4'), ('36:03', 'task-simulation-b9b08693e7b70ac2-exec-5'), ('36:03', 'task-simulation-b9b08693e7b70ac2-exec-6'), ('36:04', 'task-simulation-b9b08693e7b70ac2-exec-1'), ('36:05', 'task-simulation-b9b08693e7b70ac2-exec-2'), ('36:05', 'task-simulation-b9b08693e7b70ac2-exec-3'), ('36:05', 'task-simulation-b9b08693e7b70ac2-exec-4'), ('36:06', 'task-simulation-b9b08693e7b70ac2-exec-5'), ('36:06', 'task-simulation-b9b08693e7b70ac2-exec-6'), ('36:07', 'task-simulation-b9b08693e7b70ac2-exec-1'), ('36:07', 'task-simulation-b9b08693e7b70ac2-exec-2'), ('36:08', 'task-simulation-b9b08693e7b70ac2-exec-3'), ('36:08', 'task-simulation-b9b08693e7b70ac2-exec-4'), ('36:08', 'task-simulation-b9b08693e7b70ac2-exec-5'), ('36:08', 'task-simulation-b9b08693e7b70ac2-exec-6'), ('36:10', 'task-simulation-b9b08693e7b70ac2-exec-1'), ('36:10', 'task-simulation-b9b08693e7b70ac2-exec-2'), ('36:10', 'task-simulation-b9b08693e7b70ac2-exec-3'), ('36:10', 'task-simulation-b9b08693e7b70ac2-exec-4'), ('36:10', 'task-simulation-b9b08693e7b70ac2-exec-5'), ('36:10', 'task-simulation-b9b08693e7b70ac2-exec-6'), ('36:12', 'task-simulation-b9b08693e7b70ac2-exec-1'), ('36:12', 'task-simulation-b9b08693e7b70ac2-exec-2'), ('36:12', 'task-simulation-b9b08693e7b70ac2-exec-3'), ('36:13', 'task-simulation-b9b08693e7b70ac2-exec-4'), ('36:13', 'task-simulation-b9b08693e7b70ac2-exec-5'), ('36:13', 'task-simulation-b9b08693e7b70ac2-exec-6')]",0 days 00:00:38.071014
6,7,2024-12-21 05:36:00.222358,65.21666666666667,"[('36:19', 'task-simulation-67383493e7b757eb-exec-1'), ('36:21', 'task-simulation-67383493e7b757eb-exec-1'), ('36:21', 'task-simulation-67383493e7b757eb-exec-2'), ('36:22', 'task-simulation-67383493e7b757eb-exec-1'), ('36:23', 'task-simulation-67383493e7b757eb-exec-2'), ('36:24', 'task-simulation-67383493e7b757eb-exec-1'), ('36:24', 'task-simulation-67383493e7b757eb-exec-2'), ('36:26', 'task-simulation-67383493e7b757eb-exec-1'), ('36:26', 'task-simulation-67383493e7b757eb-exec-2'), ('36:27', 'task-simulation-67383493e7b757eb-exec-1'), ('36:27', 'task-simulation-67383493e7b757eb-exec-2'), ('36:29', 'task-simulation-67383493e7b757eb-exec-1'), ('36:29', 'task-simulation-67383493e7b757eb-exec-2')]",0 days 00:00:35.351702
7,8,2024-12-21 05:36:04.538002,15.05,"[('36:22', 'task-simulation-17045b93e7b768de-exec-1'), ('36:24', 'task-simulation-17045b93e7b768de-exec-1'), ('36:26', 'task-simulation-17045b93e7b768de-exec-1')]",0 days 00:00:27.169638
8,9,2024-12-21 05:36:11.894282,586.0713333333335,"[('36:32', 'task-simulation-62a5da93e7b785ce-exec-1'), ('36:33', 'task-simulation-62a5da93e7b785ce-exec-1'), ('36:33', 'task-simulation-62a5da93e7b785ce-exec-2'), ('36:34', 'task-simulation-62a5da93e7b785ce-exec-3'), ('36:34', 'task-simulation-62a5da93e7b785ce-exec-5'), ('36:34', 'task-simulation-62a5da93e7b785ce-exec-6'), ('36:34', 'task-simulation-62a5da93e7b785ce-exec-7'), ('36:35', 'task-simulation-62a5da93e7b785ce-exec-1'), ('36:36', 'task-simulation-62a5da93e7b785ce-exec-2'), ('36:36', 'task-simulation-62a5da93e7b785ce-exec-3'), ('36:36', 'task-simulation-62a5da93e7b785ce-exec-4'), ('36:36', 'task-simulation-62a5da93e7b785ce-exec-5'), ('36:36', 'task-simulation-62a5da93e7b785ce-exec-6'), ('36:37', 'task-simulation-62a5da93e7b785ce-exec-7'), ('36:37', 'task-simulation-62a5da93e7b785ce-exec-8'), ('36:38', 'task-simulation-62a5da93e7b785ce-exec-1'), ('36:38', 'task-simulation-62a5da93e7b785ce-exec-2'), ('36:39', 'task-simulation-62a5da93e7b785ce-exec-3'), ('36:39', 'task-simulation-62a5da93e7b785ce-exec-4'), ('36:39', 'task-simulation-62a5da93e7b785ce-exec-5'), ('36:39', 'task-simulation-62a5da93e7b785ce-exec-6'), ('36:39', 'task-simulation-62a5da93e7b785ce-exec-7'), ('36:40', 'task-simulation-62a5da93e7b785ce-exec-8'), ('36:41', 'task-simulation-62a5da93e7b785ce-exec-1'), ('36:41', 'task-simulation-62a5da93e7b785ce-exec-2'), ('36:41', 'task-simulation-62a5da93e7b785ce-exec-3'), ('36:41', 'task-simulation-62a5da93e7b785ce-exec-4'), ('36:42', 'task-simulation-62a5da93e7b785ce-exec-5'), ('36:42', 'task-simulation-62a5da93e7b785ce-exec-6'), ('36:42', 'task-simulation-62a5da93e7b785ce-exec-7'), ('36:42', 'task-simulation-62a5da93e7b785ce-exec-8'), ('36:43', 'task-simulation-62a5da93e7b785ce-exec-1'), ('36:44', 'task-simulation-62a5da93e7b785ce-exec-2'), ('36:44', 'task-simulation-62a5da93e7b785ce-exec-3'), ('36:44', 'task-simulation-62a5da93e7b785ce-exec-4'), ('36:44', 'task-simulation-62a5da93e7b785ce-exec-5'), ('36:44', 'task-simulation-62a5da93e7b785ce-exec-6'), ('36:44', 'task-simulation-62a5da93e7b785ce-exec-7'), ('36:45', 'task-simulation-62a5da93e7b785ce-exec-8'), ('36:46', 'task-simulation-62a5da93e7b785ce-exec-1'), ('36:46', 'task-simulation-62a5da93e7b785ce-exec-2'), ('36:47', 'task-simulation-62a5da93e7b785ce-exec-3'), ('36:47', 'task-simulation-62a5da93e7b785ce-exec-4'), ('36:47', 'task-simulation-62a5da93e7b785ce-exec-5'), ('36:47', 'task-simulation-62a5da93e7b785ce-exec-6'), ('36:47', 'task-simulation-62a5da93e7b785ce-exec-7'), ('36:48', 'task-simulation-62a5da93e7b785ce-exec-8'), ('36:49', 'task-simulation-62a5da93e7b785ce-exec-1'), ('36:49', 'task-simulation-62a5da93e7b785ce-exec-2'), ('36:49', 'task-simulation-62a5da93e7b785ce-exec-3'), ('36:50', 'task-simulation-62a5da93e7b785ce-exec-4'), ('36:50', 'task-simulation-62a5da93e7b785ce-exec-5'), ('36:50', 'task-simulation-62a5da93e7b785ce-exec-6'), ('36:50', 'task-simulation-62a5da93e7b785ce-exec-7'), ('36:50', 'task-simulation-62a5da93e7b785ce-exec-8'), ('36:52', 'task-simulation-62a5da93e7b785ce-exec-1'), ('36:52', 'task-simulation-62a5da93e7b785ce-exec-2'), ('36:52', 'task-simulation-62a5da93e7b785ce-exec-3'), ('36:52', 'task-simulation-62a5da93e7b785ce-exec-4'), ('36:52', 'task-simulation-62a5da93e7b785ce-exec-5'), ('36:53', 'task-simulation-62a5da93e7b785ce-exec-6'), ('36:53', 'task-simulation-62a5da93e7b785ce-exec-7'), ('36:53', 'task-simulation-62a5da93e7b785ce-exec-8'), ('36:55', 'task-simulation-62a5da93e7b785ce-exec-1'), ('36:55', 'task-simulation-62a5da93e7b785ce-exec-2'), ('36:55', 'task-simulation-62a5da93e7b785ce-exec-3'), ('36:55', 'task-simulation-62a5da93e7b785ce-exec-4'), ('36:55', 'task-simulation-62a5da93e7b785ce-exec-5'), ('36:55', 'task-simulation-62a5da93e7b785ce-exec-6'), ('36:56', 'task-simulation-62a5da93e7b785ce-exec-7'), ('36:56', 'task-simulation-62a5da93e7b785ce-exec-8'), ('36:57', 'task-simulation-62a5da93e7b785ce-exec-1'), ('36:57', 'task-simulation-62a5da93e7b785ce-exec-2'), ('36:57', 'task-simulation-62a5da93e7b785ce-exec-3'), ('36:58', 'task-simulation-62a5da93e7b785ce-exec-4'), ('36:58', 'task-simulation-62a5da93e7b785ce-exec-5'), ('36:58', 'task-simulation-62a5da93e7b785ce-exec-6'), ('36:58', 'task-simulation-62a5da93e7b785ce-exec-7'), ('36:58', 'task-simulation-62a5da93e7b785ce-exec-8'), ('37:00', 'task-simulation-62a5da93e7b785ce-exec-1'), ('37:00', 'task-simulation-62a5da93e7b785ce-exec-2'), ('37:00', 'task-simulation-62a5da93e7b785ce-exec-3'), ('37:00', 'task-simulation-62a5da93e7b785ce-exec-4'), ('37:00', 'task-simulation-62a5da93e7b785ce-exec-5'), ('37:01', 'task-simulation-62a5da93e7b785ce-exec-6'), ('37:01', 'task-simulation-62a5da93e7b785ce-exec-7'), ('37:01', 'task-simulation-62a5da93e7b785ce-exec-8'), ('37:02', 'task-simulation-62a5da93e7b785ce-exec-1'), ('37:03', 'task-simulation-62a5da93e7b785ce-exec-2'), ('37:03', 'task-simulation-62a5da93e7b785ce-exec-3'), ('37:03', 'task-simulation-62a5da93e7b785ce-exec-4'), ('37:03', 'task-simulation-62a5da93e7b785ce-exec-5'), ('37:03', 'task-simulation-62a5da93e7b785ce-exec-6'), ('37:04', 'task-simulation-62a5da93e7b785ce-exec-7'), ('37:04', 'task-simulation-62a5da93e7b785ce-exec-8'), ('37:05', 'task-simulation-62a5da93e7b785ce-exec-1'), ('37:05', 'task-simulation-62a5da93e7b785ce-exec-2'), ('37:05', 'task-simulation-62a5da93e7b785ce-exec-3'), ('37:06', 'task-simulation-62a5da93e7b785ce-exec-4'), ('37:06', 'task-simulation-62a5da93e7b785ce-exec-5'), ('37:06', 'task-simulation-62a5da93e7b785ce-exec-6'), ('37:06', 'task-simulation-62a5da93e7b785ce-exec-7'), ('37:06', 'task-simulation-62a5da93e7b785ce-exec-8'), ('37:08', 'task-simulation-62a5da93e7b785ce-exec-1'), ('37:08', 'task-simulation-62a5da93e7b785ce-exec-2'), ('37:08', 'task-simulation-62a5da93e7b785ce-exec-3'), ('37:08', 'task-simulation-62a5da93e7b785ce-exec-4'), ('37:08', 'task-simulation-62a5da93e7b785ce-exec-5'), ('37:09', 'task-simulation-62a5da93e7b785ce-exec-6'), ('37:09', 'task-simulation-62a5da93e7b785ce-exec-7'), ('37:09', 'task-simulation-62a5da93e7b785ce-exec-8'), ('37:10', 'task-simulation-62a5da93e7b785ce-exec-1'), ('37:11', 'task-simulation-62a5da93e7b785ce-exec-2'), ('37:11', 'task-simulation-62a5da93e7b785ce-exec-3'), ('37:11', 'task-simulation-62a5da93e7b785ce-exec-4'), ('37:11', 'task-simulation-62a5da93e7b785ce-exec-5'), ('37:11', 'task-simulation-62a5da93e7b785ce-exec-6'), ('37:12', 'task-simulation-62a5da93e7b785ce-exec-7'), ('37:12', 'task-simulation-62a5da93e7b785ce-exec-8')]",0 days 00:01:03.816393
9,10,2024-12-21 05:36:25.782901,9.785333333333334,"[('36:46', 'task-simulation-223bdd93e7b7be28-exec-1'), ('36:49', 'task-simulation-223bdd93e7b7be28-exec-1')]",0 days 00:00:28.922334
