job_id,start_time,end_time,carbon_footprint,executors
0,2024-12-24 23:26:45.097156,2024-12-24 23:27:12.245642,21.8405,"[('27:05', 'task-simulation-e58cf793fafeb8d5-exec-1'), ('27:06', 'task-simulation-e58cf793fafeb8d5-exec-1'), ('27:07', 'task-simulation-e58cf793fafeb8d5-exec-1')]"
1,2024-12-24 23:27:36.871018,2024-12-24 23:28:07.978795,111.50000000000004,"[('27:55', 'task-simulation-e2d47993faff81db-exec-1'), ('27:57', 'task-simulation-e2d47993faff81db-exec-1'), ('27:57', 'task-simulation-e2d47993faff81db-exec-3'), ('27:58', 'task-simulation-e2d47993faff81db-exec-1'), ('27:59', 'task-simulation-e2d47993faff81db-exec-2'), ('27:59', 'task-simulation-e2d47993faff81db-exec-3'), ('27:59', 'task-simulation-e2d47993faff81db-exec-4'), ('27:59', 'task-simulation-e2d47993faff81db-exec-5'), ('27:59', 'task-simulation-e2d47993faff81db-exec-6'), ('28:01', 'task-simulation-e2d47993faff81db-exec-1'), ('28:01', 'task-simulation-e2d47993faff81db-exec-2'), ('28:01', 'task-simulation-e2d47993faff81db-exec-3'), ('28:02', 'task-simulation-e2d47993faff81db-exec-4'), ('28:02', 'task-simulation-e2d47993faff81db-exec-5'), ('28:02', 'task-simulation-e2d47993faff81db-exec-6')]"
2,2024-12-24 23:27:39.127799,2024-12-24 23:28:17.353437,89.20000000000003,"[('28:03', 'task-simulation-f4740893faff8f03-exec-1'), ('28:03', 'task-simulation-f4740893faff8f03-exec-2'), ('28:05', 'task-simulation-f4740893faff8f03-exec-1'), ('28:05', 'task-simulation-f4740893faff8f03-exec-2'), ('28:06', 'task-simulation-f4740893faff8f03-exec-1'), ('28:06', 'task-simulation-f4740893faff8f03-exec-2'), ('28:08', 'task-simulation-f4740893faff8f03-exec-1'), ('28:08', 'task-simulation-f4740893faff8f03-exec-2'), ('28:09', 'task-simulation-f4740893faff8f03-exec-1'), ('28:10', 'task-simulation-f4740893faff8f03-exec-2'), ('28:11', 'task-simulation-f4740893faff8f03-exec-1'), ('28:11', 'task-simulation-f4740893faff8f03-exec-2')]"
3,2024-12-24 23:28:00.986574,2024-12-24 23:29:06.393393,546.332833333334,"[('28:20', 'task-simulation-6baa8493faffe05e-exec-1'), ('28:21', 'task-simulation-6baa8493faffe05e-exec-1'), ('28:22', 'task-simulation-6baa8493faffe05e-exec-2'), ('28:22', 'task-simulation-6baa8493faffe05e-exec-3'), ('28:24', 'task-simulation-6baa8493faffe05e-exec-1'), ('28:24', 'task-simulation-6baa8493faffe05e-exec-2'), ('28:24', 'task-simulation-6baa8493faffe05e-exec-3'), ('28:25', 'task-simulation-6baa8493faffe05e-exec-4'), ('28:25', 'task-simulation-6baa8493faffe05e-exec-5'), ('28:25', 'task-simulation-6baa8493faffe05e-exec-6'), ('28:25', 'task-simulation-6baa8493faffe05e-exec-7'), ('28:26', 'task-simulation-6baa8493faffe05e-exec-8'), ('28:27', 'task-simulation-6baa8493faffe05e-exec-1'), ('28:27', 'task-simulation-6baa8493faffe05e-exec-2'), ('28:28', 'task-simulation-6baa8493faffe05e-exec-3'), ('28:28', 'task-simulation-6baa8493faffe05e-exec-4'), ('28:28', 'task-simulation-6baa8493faffe05e-exec-5'), ('28:29', 'task-simulation-6baa8493faffe05e-exec-6'), ('28:29', 'task-simulation-6baa8493faffe05e-exec-7'), ('28:29', 'task-simulation-6baa8493faffe05e-exec-8'), ('28:31', 'task-simulation-6baa8493faffe05e-exec-1'), ('28:31', 'task-simulation-6baa8493faffe05e-exec-2'), ('28:31', 'task-simulation-6baa8493faffe05e-exec-3'), ('28:31', 'task-simulation-6baa8493faffe05e-exec-4'), ('28:32', 'task-simulation-6baa8493faffe05e-exec-5'), ('28:32', 'task-simulation-6baa8493faffe05e-exec-6'), ('28:32', 'task-simulation-6baa8493faffe05e-exec-7'), ('28:33', 'task-simulation-6baa8493faffe05e-exec-8'), ('28:34', 'task-simulation-6baa8493faffe05e-exec-1'), ('28:34', 'task-simulation-6baa8493faffe05e-exec-2'), ('28:34', 'task-simulation-6baa8493faffe05e-exec-3'), ('28:35', 'task-simulation-6baa8493faffe05e-exec-4'), ('28:35', 'task-simulation-6baa8493faffe05e-exec-5'), ('28:35', 'task-simulation-6baa8493faffe05e-exec-6'), ('28:35', 'task-simulation-6baa8493faffe05e-exec-7'), ('28:36', 'task-simulation-6baa8493faffe05e-exec-8'), ('28:37', 'task-simulation-6baa8493faffe05e-exec-1'), ('28:37', 'task-simulation-6baa8493faffe05e-exec-2'), ('28:38', 'task-simulation-6baa8493faffe05e-exec-3'), ('28:38', 'task-simulation-6baa8493faffe05e-exec-4'), ('28:38', 'task-simulation-6baa8493faffe05e-exec-5'), ('28:38', 'task-simulation-6baa8493faffe05e-exec-6'), ('28:39', 'task-simulation-6baa8493faffe05e-exec-7'), ('28:39', 'task-simulation-6baa8493faffe05e-exec-8'), ('28:40', 'task-simulation-6baa8493faffe05e-exec-1'), ('28:40', 'task-simulation-6baa8493faffe05e-exec-2'), ('28:41', 'task-simulation-6baa8493faffe05e-exec-3'), ('28:41', 'task-simulation-6baa8493faffe05e-exec-4'), ('28:41', 'task-simulation-6baa8493faffe05e-exec-5'), ('28:41', 'task-simulation-6baa8493faffe05e-exec-6'), ('28:42', 'task-simulation-6baa8493faffe05e-exec-7'), ('28:42', 'task-simulation-6baa8493faffe05e-exec-8'), ('28:45', 'task-simulation-6baa8493faffe05e-exec-1'), ('28:45', 'task-simulation-6baa8493faffe05e-exec-2'), ('28:45', 'task-simulation-6baa8493faffe05e-exec-3'), ('28:45', 'task-simulation-6baa8493faffe05e-exec-4'), ('28:46', 'task-simulation-6baa8493faffe05e-exec-5'), ('28:46', 'task-simulation-6baa8493faffe05e-exec-6'), ('28:46', 'task-simulation-6baa8493faffe05e-exec-7'), ('28:47', 'task-simulation-6baa8493faffe05e-exec-8'), ('28:51', 'task-simulation-6baa8493faffe05e-exec-1'), ('28:51', 'task-simulation-6baa8493faffe05e-exec-2'), ('28:51', 'task-simulation-6baa8493faffe05e-exec-3'), ('28:52', 'task-simulation-6baa8493faffe05e-exec-4'), ('28:52', 'task-simulation-6baa8493faffe05e-exec-5'), ('28:52', 'task-simulation-6baa8493faffe05e-exec-6'), ('28:52', 'task-simulation-6baa8493faffe05e-exec-7'), ('28:53', 'task-simulation-6baa8493faffe05e-exec-8'), ('28:58', 'task-simulation-6baa8493faffe05e-exec-1'), ('28:59', 'task-simulation-6baa8493faffe05e-exec-2'), ('28:59', 'task-simulation-6baa8493faffe05e-exec-3'), ('28:59', 'task-simulation-6baa8493faffe05e-exec-4'), ('29:00', 'task-simulation-6baa8493faffe05e-exec-7')]"
4,2024-12-24 23:28:12.750484,2024-12-24 23:28:44.217813,7.433333333333334,"[('28:36', 'task-simulation-a6055f93fb000e91-exec-1')]"
5,2024-12-24 23:28:16.192051,2024-12-24 23:29:51.909686,691.9360000000014,"[('28:42', 'task-simulation-eb3f6a93fb0023cb-exec-1'), ('28:42', 'task-simulation-eb3f6a93fb0023cb-exec-2'), ('28:43', 'task-simulation-eb3f6a93fb0023cb-exec-3'), ('28:47', 'task-simulation-eb3f6a93fb0023cb-exec-1'), ('28:47', 'task-simulation-eb3f6a93fb0023cb-exec-2'), ('28:47', 'task-simulation-eb3f6a93fb0023cb-exec-3'), ('28:48', 'task-simulation-eb3f6a93fb0023cb-exec-4'), ('28:48', 'task-simulation-eb3f6a93fb0023cb-exec-5'), ('28:48', 'task-simulation-eb3f6a93fb0023cb-exec-6'), ('28:49', 'task-simulation-eb3f6a93fb0023cb-exec-7'), ('28:49', 'task-simulation-eb3f6a93fb0023cb-exec-8'), ('28:55', 'task-simulation-eb3f6a93fb0023cb-exec-1'), ('28:55', 'task-simulation-eb3f6a93fb0023cb-exec-2'), ('28:55', 'task-simulation-eb3f6a93fb0023cb-exec-3'), ('28:56', 'task-simulation-eb3f6a93fb0023cb-exec-4'), ('28:56', 'task-simulation-eb3f6a93fb0023cb-exec-5'), ('28:56', 'task-simulation-eb3f6a93fb0023cb-exec-6'), ('28:56', 'task-simulation-eb3f6a93fb0023cb-exec-7'), ('28:57', 'task-simulation-eb3f6a93fb0023cb-exec-8'), ('29:03', 'task-simulation-eb3f6a93fb0023cb-exec-1'), ('29:03', 'task-simulation-eb3f6a93fb0023cb-exec-2'), ('29:03', 'task-simulation-eb3f6a93fb0023cb-exec-3'), ('29:04', 'task-simulation-eb3f6a93fb0023cb-exec-4'), ('29:04', 'task-simulation-eb3f6a93fb0023cb-exec-5'), ('29:04', 'task-simulation-eb3f6a93fb0023cb-exec-6'), ('29:05', 'task-simulation-eb3f6a93fb0023cb-exec-7'), ('29:05', 'task-simulation-eb3f6a93fb0023cb-exec-8'), ('29:08', 'task-simulation-eb3f6a93fb0023cb-exec-1'), ('29:08', 'task-simulation-eb3f6a93fb0023cb-exec-2'), ('29:09', 'task-simulation-eb3f6a93fb0023cb-exec-3'), ('29:09', 'task-simulation-eb3f6a93fb0023cb-exec-4'), ('29:09', 'task-simulation-eb3f6a93fb0023cb-exec-5'), ('29:09', 'task-simulation-eb3f6a93fb0023cb-exec-6'), ('29:10', 'task-simulation-eb3f6a93fb0023cb-exec-7'), ('29:10', 'task-simulation-eb3f6a93fb0023cb-exec-8'), ('29:14', 'task-simulation-eb3f6a93fb0023cb-exec-1'), ('29:14', 'task-simulation-eb3f6a93fb0023cb-exec-2'), ('29:14', 'task-simulation-eb3f6a93fb0023cb-exec-3'), ('29:14', 'task-simulation-eb3f6a93fb0023cb-exec-4'), ('29:14', 'task-simulation-eb3f6a93fb0023cb-exec-5'), ('29:15', 'task-simulation-eb3f6a93fb0023cb-exec-6'), ('29:15', 'task-simulation-eb3f6a93fb0023cb-exec-7'), ('29:15', 'task-simulation-eb3f6a93fb0023cb-exec-8'), ('29:16', 'task-simulation-eb3f6a93fb0023cb-exec-1'), ('29:17', 'task-simulation-eb3f6a93fb0023cb-exec-2'), ('29:17', 'task-simulation-eb3f6a93fb0023cb-exec-3'), ('29:17', 'task-simulation-eb3f6a93fb0023cb-exec-4'), ('29:17', 'task-simulation-eb3f6a93fb0023cb-exec-5'), ('29:18', 'task-simulation-eb3f6a93fb0023cb-exec-6'), ('29:18', 'task-simulation-eb3f6a93fb0023cb-exec-7'), ('29:18', 'task-simulation-eb3f6a93fb0023cb-exec-8'), ('29:21', 'task-simulation-eb3f6a93fb0023cb-exec-1'), ('29:21', 'task-simulation-eb3f6a93fb0023cb-exec-2'), ('29:21', 'task-simulation-eb3f6a93fb0023cb-exec-3'), ('29:21', 'task-simulation-eb3f6a93fb0023cb-exec-4'), ('29:22', 'task-simulation-eb3f6a93fb0023cb-exec-5'), ('29:22', 'task-simulation-eb3f6a93fb0023cb-exec-6'), ('29:22', 'task-simulation-eb3f6a93fb0023cb-exec-7'), ('29:23', 'task-simulation-eb3f6a93fb0023cb-exec-8'), ('29:26', 'task-simulation-eb3f6a93fb0023cb-exec-1'), ('29:26', 'task-simulation-eb3f6a93fb0023cb-exec-2'), ('29:26', 'task-simulation-eb3f6a93fb0023cb-exec-3'), ('29:27', 'task-simulation-eb3f6a93fb0023cb-exec-4'), ('29:27', 'task-simulation-eb3f6a93fb0023cb-exec-5'), ('29:27', 'task-simulation-eb3f6a93fb0023cb-exec-6'), ('29:27', 'task-simulation-eb3f6a93fb0023cb-exec-7'), ('29:27', 'task-simulation-eb3f6a93fb0023cb-exec-8'), ('29:31', 'task-simulation-eb3f6a93fb0023cb-exec-1'), ('29:31', 'task-simulation-eb3f6a93fb0023cb-exec-2'), ('29:31', 'task-simulation-eb3f6a93fb0023cb-exec-3'), ('29:32', 'task-simulation-eb3f6a93fb0023cb-exec-4'), ('29:32', 'task-simulation-eb3f6a93fb0023cb-exec-5'), ('29:32', 'task-simulation-eb3f6a93fb0023cb-exec-6'), ('29:33', 'task-simulation-eb3f6a93fb0023cb-exec-7'), ('29:33', 'task-simulation-eb3f6a93fb0023cb-exec-8'), ('29:36', 'task-simulation-eb3f6a93fb0023cb-exec-1'), ('29:37', 'task-simulation-eb3f6a93fb0023cb-exec-2'), ('29:37', 'task-simulation-eb3f6a93fb0023cb-exec-3'), ('29:37', 'task-simulation-eb3f6a93fb0023cb-exec-4'), ('29:37', 'task-simulation-eb3f6a93fb0023cb-exec-5'), ('29:38', 'task-simulation-eb3f6a93fb0023cb-exec-6'), ('29:38', 'task-simulation-eb3f6a93fb0023cb-exec-7'), ('29:38', 'task-simulation-eb3f6a93fb0023cb-exec-8'), ('29:41', 'task-simulation-eb3f6a93fb0023cb-exec-1'), ('29:41', 'task-simulation-eb3f6a93fb0023cb-exec-2'), ('29:42', 'task-simulation-eb3f6a93fb0023cb-exec-3'), ('29:42', 'task-simulation-eb3f6a93fb0023cb-exec-4'), ('29:42', 'task-simulation-eb3f6a93fb0023cb-exec-5'), ('29:43', 'task-simulation-eb3f6a93fb0023cb-exec-6'), ('29:43', 'task-simulation-eb3f6a93fb0023cb-exec-7'), ('29:43', 'task-simulation-eb3f6a93fb0023cb-exec-8')]"
6,2024-12-24 23:28:21.516532,2024-12-24 23:28:58.174610,30.438,"[('28:44', 'task-simulation-23550a93fb0033f1-exec-1'), ('28:44', 'task-simulation-23550a93fb0033f1-exec-2'), ('28:50', 'task-simulation-23550a93fb0033f1-exec-1'), ('28:50', 'task-simulation-23550a93fb0033f1-exec-2')]"
7,2024-12-24 23:28:27.210029,2024-12-24 23:29:16.591365,220.67549999999994,"[('28:53', 'task-simulation-83a81693fb0049c5-exec-1'), ('28:53', 'task-simulation-83a81693fb0049c5-exec-2'), ('28:53', 'task-simulation-83a81693fb0049c5-exec-3'), ('28:54', 'task-simulation-83a81693fb0049c5-exec-4'), ('28:54', 'task-simulation-83a81693fb0049c5-exec-5'), ('28:54', 'task-simulation-83a81693fb0049c5-exec-6'), ('28:54', 'task-simulation-83a81693fb0049c5-exec-7'), ('28:55', 'task-simulation-83a81693fb0049c5-exec-8'), ('29:01', 'task-simulation-83a81693fb0049c5-exec-1'), ('29:01', 'task-simulation-83a81693fb0049c5-exec-2'), ('29:01', 'task-simulation-83a81693fb0049c5-exec-3'), ('29:01', 'task-simulation-83a81693fb0049c5-exec-4'), ('29:02', 'task-simulation-83a81693fb0049c5-exec-5'), ('29:02', 'task-simulation-83a81693fb0049c5-exec-6'), ('29:02', 'task-simulation-83a81693fb0049c5-exec-7'), ('29:03', 'task-simulation-83a81693fb0049c5-exec-8'), ('29:06', 'task-simulation-83a81693fb0049c5-exec-1'), ('29:07', 'task-simulation-83a81693fb0049c5-exec-2'), ('29:07', 'task-simulation-83a81693fb0049c5-exec-3'), ('29:07', 'task-simulation-83a81693fb0049c5-exec-4'), ('29:07', 'task-simulation-83a81693fb0049c5-exec-5'), ('29:08', 'task-simulation-83a81693fb0049c5-exec-6'), ('29:08', 'task-simulation-83a81693fb0049c5-exec-7'), ('29:08', 'task-simulation-83a81693fb0049c5-exec-8'), ('29:12', 'task-simulation-83a81693fb0049c5-exec-1'), ('29:12', 'task-simulation-83a81693fb0049c5-exec-2'), ('29:12', 'task-simulation-83a81693fb0049c5-exec-3'), ('29:13', 'task-simulation-83a81693fb0049c5-exec-5'), ('29:13', 'task-simulation-83a81693fb0049c5-exec-6')]"
8,2024-12-24 23:28:40.218146,2024-12-24 23:29:11.371705,7.6095,"[('28:58', 'task-simulation-047d3b93fb00777a-exec-1')]"
9,2024-12-24 23:28:50.351824,2024-12-24 23:29:19.833779,7.6095,"[('29:11', 'task-simulation-3f526793fb00a386-exec-1')]"
