job_id,start_time,end_time,carbon_footprint,executors
0,2024-12-27 10:23:59.410075,2024-12-27 10:24:31.506059,92.54916666666668,"[('24:19', 'task-simulation-e111bd9407a52a0b-exec-1'), ('24:20', 'task-simulation-e111bd9407a52a0b-exec-1'), ('24:21', 'task-simulation-e111bd9407a52a0b-exec-2'), ('24:21', 'task-simulation-e111bd9407a52a0b-exec-3'), ('24:21', 'task-simulation-e111bd9407a52a0b-exec-4'), ('24:22', 'task-simulation-e111bd9407a52a0b-exec-1'), ('24:23', 'task-simulation-e111bd9407a52a0b-exec-2'), ('24:23', 'task-simulation-e111bd9407a52a0b-exec-3'), ('24:23', 'task-simulation-e111bd9407a52a0b-exec-4'), ('24:25', 'task-simulation-e111bd9407a52a0b-exec-1'), ('24:25', 'task-simulation-e111bd9407a52a0b-exec-2'), ('24:25', 'task-simulation-e111bd9407a52a0b-exec-3'), ('24:25', 'task-simulation-e111bd9407a52a0b-exec-4')]"
1,2024-12-27 10:24:11.019625,2024-12-27 10:24:39.039852,21.357499999999998,"[('24:30', 'task-simulation-1f09549407a55515-exec-1'), ('24:31', 'task-simulation-1f09549407a55515-exec-1'), ('24:33', 'task-simulation-1f09549407a55515-exec-1')]"
2,2024-12-27 10:24:31.514577,2024-12-27 10:25:10.802776,249.0058333333336,"[('24:50', 'task-simulation-3ea2e19407a5a37e-exec-1'), ('24:51', 'task-simulation-3ea2e19407a5a37e-exec-1'), ('24:52', 'task-simulation-3ea2e19407a5a37e-exec-2'), ('24:52', 'task-simulation-3ea2e19407a5a37e-exec-3'), ('24:52', 'task-simulation-3ea2e19407a5a37e-exec-6'), ('24:54', 'task-simulation-3ea2e19407a5a37e-exec-1'), ('24:54', 'task-simulation-3ea2e19407a5a37e-exec-2'), ('24:54', 'task-simulation-3ea2e19407a5a37e-exec-3'), ('24:54', 'task-simulation-3ea2e19407a5a37e-exec-4'), ('24:54', 'task-simulation-3ea2e19407a5a37e-exec-5'), ('24:55', 'task-simulation-3ea2e19407a5a37e-exec-6'), ('24:56', 'task-simulation-3ea2e19407a5a37e-exec-1'), ('24:56', 'task-simulation-3ea2e19407a5a37e-exec-2'), ('24:56', 'task-simulation-3ea2e19407a5a37e-exec-3'), ('24:57', 'task-simulation-3ea2e19407a5a37e-exec-4'), ('24:57', 'task-simulation-3ea2e19407a5a37e-exec-5'), ('24:57', 'task-simulation-3ea2e19407a5a37e-exec-6'), ('24:58', 'task-simulation-3ea2e19407a5a37e-exec-1'), ('24:59', 'task-simulation-3ea2e19407a5a37e-exec-2'), ('24:59', 'task-simulation-3ea2e19407a5a37e-exec-3'), ('24:59', 'task-simulation-3ea2e19407a5a37e-exec-4'), ('24:59', 'task-simulation-3ea2e19407a5a37e-exec-5'), ('25:00', 'task-simulation-3ea2e19407a5a37e-exec-6'), ('25:01', 'task-simulation-3ea2e19407a5a37e-exec-1'), ('25:01', 'task-simulation-3ea2e19407a5a37e-exec-2'), ('25:01', 'task-simulation-3ea2e19407a5a37e-exec-3'), ('25:02', 'task-simulation-3ea2e19407a5a37e-exec-4'), ('25:02', 'task-simulation-3ea2e19407a5a37e-exec-5'), ('25:02', 'task-simulation-3ea2e19407a5a37e-exec-6'), ('25:03', 'task-simulation-3ea2e19407a5a37e-exec-1'), ('25:04', 'task-simulation-3ea2e19407a5a37e-exec-2'), ('25:04', 'task-simulation-3ea2e19407a5a37e-exec-3'), ('25:04', 'task-simulation-3ea2e19407a5a37e-exec-4'), ('25:04', 'task-simulation-3ea2e19407a5a37e-exec-5'), ('25:04', 'task-simulation-3ea2e19407a5a37e-exec-6')]"
3,2024-12-27 10:25:06.005560,2024-12-27 10:25:41.133434,85.32000000000001,"[('25:24', 'task-simulation-4571cd9407a62b68-exec-1'), ('25:25', 'task-simulation-4571cd9407a62b68-exec-1'), ('25:27', 'task-simulation-4571cd9407a62b68-exec-1'), ('25:27', 'task-simulation-4571cd9407a62b68-exec-2'), ('25:28', 'task-simulation-4571cd9407a62b68-exec-1'), ('25:29', 'task-simulation-4571cd9407a62b68-exec-2'), ('25:30', 'task-simulation-4571cd9407a62b68-exec-1'), ('25:30', 'task-simulation-4571cd9407a62b68-exec-2'), ('25:31', 'task-simulation-4571cd9407a62b68-exec-1'), ('25:32', 'task-simulation-4571cd9407a62b68-exec-2'), ('25:33', 'task-simulation-4571cd9407a62b68-exec-1'), ('25:34', 'task-simulation-4571cd9407a62b68-exec-2')]"
4,2024-12-27 10:25:31.600149,2024-12-27 10:26:38.786727,711.1159999999985,"[('25:51', 'task-simulation-493eaf9407a692df-exec-1'), ('25:53', 'task-simulation-493eaf9407a692df-exec-1'), ('25:53', 'task-simulation-493eaf9407a692df-exec-2'), ('25:53', 'task-simulation-493eaf9407a692df-exec-3'), ('25:55', 'task-simulation-493eaf9407a692df-exec-1'), ('25:55', 'task-simulation-493eaf9407a692df-exec-2'), ('25:55', 'task-simulation-493eaf9407a692df-exec-3'), ('25:55', 'task-simulation-493eaf9407a692df-exec-4'), ('25:55', 'task-simulation-493eaf9407a692df-exec-5'), ('25:56', 'task-simulation-493eaf9407a692df-exec-6'), ('25:56', 'task-simulation-493eaf9407a692df-exec-7'), ('25:56', 'task-simulation-493eaf9407a692df-exec-8'), ('25:58', 'task-simulation-493eaf9407a692df-exec-1'), ('25:58', 'task-simulation-493eaf9407a692df-exec-2'), ('25:59', 'task-simulation-493eaf9407a692df-exec-3'), ('25:59', 'task-simulation-493eaf9407a692df-exec-4'), ('25:59', 'task-simulation-493eaf9407a692df-exec-5'), ('26:00', 'task-simulation-493eaf9407a692df-exec-6'), ('26:00', 'task-simulation-493eaf9407a692df-exec-7'), ('26:00', 'task-simulation-493eaf9407a692df-exec-8'), ('26:03', 'task-simulation-493eaf9407a692df-exec-1'), ('26:03', 'task-simulation-493eaf9407a692df-exec-2'), ('26:03', 'task-simulation-493eaf9407a692df-exec-3'), ('26:03', 'task-simulation-493eaf9407a692df-exec-4'), ('26:04', 'task-simulation-493eaf9407a692df-exec-5'), ('26:04', 'task-simulation-493eaf9407a692df-exec-6'), ('26:04', 'task-simulation-493eaf9407a692df-exec-7'), ('26:04', 'task-simulation-493eaf9407a692df-exec-8'), ('26:06', 'task-simulation-493eaf9407a692df-exec-1'), ('26:06', 'task-simulation-493eaf9407a692df-exec-2'), ('26:07', 'task-simulation-493eaf9407a692df-exec-3'), ('26:07', 'task-simulation-493eaf9407a692df-exec-4'), ('26:07', 'task-simulation-493eaf9407a692df-exec-5'), ('26:07', 'task-simulation-493eaf9407a692df-exec-6'), ('26:08', 'task-simulation-493eaf9407a692df-exec-7'), ('26:08', 'task-simulation-493eaf9407a692df-exec-8'), ('26:09', 'task-simulation-493eaf9407a692df-exec-1'), ('26:09', 'task-simulation-493eaf9407a692df-exec-2'), ('26:10', 'task-simulation-493eaf9407a692df-exec-3'), ('26:10', 'task-simulation-493eaf9407a692df-exec-4'), ('26:10', 'task-simulation-493eaf9407a692df-exec-5'), ('26:10', 'task-simulation-493eaf9407a692df-exec-6'), ('26:10', 'task-simulation-493eaf9407a692df-exec-7'), ('26:11', 'task-simulation-493eaf9407a692df-exec-8'), ('26:12', 'task-simulation-493eaf9407a692df-exec-1'), ('26:12', 'task-simulation-493eaf9407a692df-exec-2'), ('26:13', 'task-simulation-493eaf9407a692df-exec-3'), ('26:13', 'task-simulation-493eaf9407a692df-exec-4'), ('26:13', 'task-simulation-493eaf9407a692df-exec-5'), ('26:13', 'task-simulation-493eaf9407a692df-exec-6'), ('26:13', 'task-simulation-493eaf9407a692df-exec-7'), ('26:14', 'task-simulation-493eaf9407a692df-exec-8'), ('26:15', 'task-simulation-493eaf9407a692df-exec-1'), ('26:15', 'task-simulation-493eaf9407a692df-exec-2'), ('26:16', 'task-simulation-493eaf9407a692df-exec-3'), ('26:16', 'task-simulation-493eaf9407a692df-exec-4'), ('26:16', 'task-simulation-493eaf9407a692df-exec-5'), ('26:16', 'task-simulation-493eaf9407a692df-exec-6'), ('26:16', 'task-simulation-493eaf9407a692df-exec-7'), ('26:17', 'task-simulation-493eaf9407a692df-exec-8'), ('26:18', 'task-simulation-493eaf9407a692df-exec-1'), ('26:19', 'task-simulation-493eaf9407a692df-exec-2'), ('26:19', 'task-simulation-493eaf9407a692df-exec-3'), ('26:19', 'task-simulation-493eaf9407a692df-exec-4'), ('26:19', 'task-simulation-493eaf9407a692df-exec-5'), ('26:19', 'task-simulation-493eaf9407a692df-exec-6'), ('26:20', 'task-simulation-493eaf9407a692df-exec-7'), ('26:20', 'task-simulation-493eaf9407a692df-exec-8'), ('26:22', 'task-simulation-493eaf9407a692df-exec-1'), ('26:22', 'task-simulation-493eaf9407a692df-exec-2'), ('26:22', 'task-simulation-493eaf9407a692df-exec-3'), ('26:22', 'task-simulation-493eaf9407a692df-exec-4'), ('26:23', 'task-simulation-493eaf9407a692df-exec-5'), ('26:23', 'task-simulation-493eaf9407a692df-exec-6'), ('26:23', 'task-simulation-493eaf9407a692df-exec-7'), ('26:23', 'task-simulation-493eaf9407a692df-exec-8'), ('26:25', 'task-simulation-493eaf9407a692df-exec-1'), ('26:25', 'task-simulation-493eaf9407a692df-exec-2'), ('26:26', 'task-simulation-493eaf9407a692df-exec-3'), ('26:26', 'task-simulation-493eaf9407a692df-exec-4'), ('26:26', 'task-simulation-493eaf9407a692df-exec-5'), ('26:26', 'task-simulation-493eaf9407a692df-exec-6'), ('26:26', 'task-simulation-493eaf9407a692df-exec-7'), ('26:27', 'task-simulation-493eaf9407a692df-exec-8'), ('26:28', 'task-simulation-493eaf9407a692df-exec-1'), ('26:28', 'task-simulation-493eaf9407a692df-exec-2'), ('26:28', 'task-simulation-493eaf9407a692df-exec-3'), ('26:29', 'task-simulation-493eaf9407a692df-exec-4'), ('26:29', 'task-simulation-493eaf9407a692df-exec-5'), ('26:29', 'task-simulation-493eaf9407a692df-exec-6'), ('26:29', 'task-simulation-493eaf9407a692df-exec-7'), ('26:30', 'task-simulation-493eaf9407a692df-exec-8'), ('26:31', 'task-simulation-493eaf9407a692df-exec-1'), ('26:31', 'task-simulation-493eaf9407a692df-exec-2'), ('26:31', 'task-simulation-493eaf9407a692df-exec-3'), ('26:32', 'task-simulation-493eaf9407a692df-exec-4'), ('26:32', 'task-simulation-493eaf9407a692df-exec-5'), ('26:32', 'task-simulation-493eaf9407a692df-exec-6'), ('26:32', 'task-simulation-493eaf9407a692df-exec-7'), ('26:33', 'task-simulation-493eaf9407a692df-exec-8')]"
5,2024-12-27 10:25:35.087204,2024-12-27 10:26:09.285907,42.664,"[('25:56', 'task-simulation-b93b5f9407a69c61-exec-1'), ('25:57', 'task-simulation-b93b5f9407a69c61-exec-2'), ('25:57', 'task-simulation-b93b5f9407a69c61-exec-3'), ('26:00', 'task-simulation-b93b5f9407a69c61-exec-1'), ('26:01', 'task-simulation-b93b5f9407a69c61-exec-2'), ('26:01', 'task-simulation-b93b5f9407a69c61-exec-3')]"
6,2024-12-27 10:25:54.692146,2024-12-27 10:26:28.165843,42.668,"[('26:17', 'task-simulation-d928ce9407a6ea43-exec-1'), ('26:17', 'task-simulation-d928ce9407a6ea43-exec-2'), ('26:20', 'task-simulation-d928ce9407a6ea43-exec-1'), ('26:20', 'task-simulation-d928ce9407a6ea43-exec-2'), ('26:23', 'task-simulation-d928ce9407a6ea43-exec-1'), ('26:24', 'task-simulation-d928ce9407a6ea43-exec-2')]"
7,2024-12-27 10:27:16.134846,2024-12-27 10:27:44.239998,21.5485,"[('27:36', 'task-simulation-ed4b4b9407a828d6-exec-1'), ('27:37', 'task-simulation-ed4b4b9407a828d6-exec-1'), ('27:38', 'task-simulation-ed4b4b9407a828d6-exec-1')]"
9,2024-12-27 10:28:27.492303,2024-12-27 10:29:03.685183,179.04583333333332,"[('28:46', 'task-simulation-e657ac9407a93c91-exec-1'), ('28:47', 'task-simulation-e657ac9407a93c91-exec-1'), ('28:48', 'task-simulation-e657ac9407a93c91-exec-2'), ('28:48', 'task-simulation-e657ac9407a93c91-exec-3'), ('28:49', 'task-simulation-e657ac9407a93c91-exec-1'), ('28:50', 'task-simulation-e657ac9407a93c91-exec-2'), ('28:50', 'task-simulation-e657ac9407a93c91-exec-3'), ('28:50', 'task-simulation-e657ac9407a93c91-exec-4'), ('28:51', 'task-simulation-e657ac9407a93c91-exec-5'), ('28:51', 'task-simulation-e657ac9407a93c91-exec-6'), ('28:51', 'task-simulation-e657ac9407a93c91-exec-7'), ('28:53', 'task-simulation-e657ac9407a93c91-exec-1'), ('28:53', 'task-simulation-e657ac9407a93c91-exec-2'), ('28:53', 'task-simulation-e657ac9407a93c91-exec-3'), ('28:54', 'task-simulation-e657ac9407a93c91-exec-4'), ('28:54', 'task-simulation-e657ac9407a93c91-exec-5'), ('28:54', 'task-simulation-e657ac9407a93c91-exec-6'), ('28:55', 'task-simulation-e657ac9407a93c91-exec-7'), ('28:56', 'task-simulation-e657ac9407a93c91-exec-1'), ('28:56', 'task-simulation-e657ac9407a93c91-exec-2'), ('28:57', 'task-simulation-e657ac9407a93c91-exec-3'), ('28:57', 'task-simulation-e657ac9407a93c91-exec-4'), ('28:57', 'task-simulation-e657ac9407a93c91-exec-5'), ('28:57', 'task-simulation-e657ac9407a93c91-exec-6'), ('28:58', 'task-simulation-e657ac9407a93c91-exec-7')]"
11,2024-12-27 10:28:49.298520,2024-12-27 10:29:17.346694,28.727333333333334,"[('29:08', 'task-simulation-e9d6639407a998c9-exec-1'), ('29:10', 'task-simulation-e9d6639407a998c9-exec-1'), ('29:11', 'task-simulation-e9d6639407a998c9-exec-1'), ('29:12', 'task-simulation-e9d6639407a998c9-exec-1')]"
