job_id,start_time,end_time,carbon_footprint,executors
0,2024-12-30 21:22:21.674164,2024-12-30 21:22:52.472856,29.949,"[('22:42', 'task-simulation-bdfe9f941973052c-exec-1'), ('22:44', 'task-simulation-bdfe9f941973052c-exec-1'), ('22:46', 'task-simulation-bdfe9f941973052c-exec-1')]"
1,2024-12-30 21:22:22.800990,2024-12-30 21:24:05.234230,1317.2346666666683,"[('22:46', 'task-simulation-b8e82c9419730c91-exec-1'), ('22:48', 'task-simulation-b8e82c9419730c91-exec-1'), ('22:49', 'task-simulation-b8e82c9419730c91-exec-2'), ('22:49', 'task-simulation-b8e82c9419730c91-exec-3'), ('22:49', 'task-simulation-b8e82c9419730c91-exec-4'), ('22:50', 'task-simulation-b8e82c9419730c91-exec-5'), ('22:50', 'task-simulation-b8e82c9419730c91-exec-6'), ('22:51', 'task-simulation-b8e82c9419730c91-exec-7'), ('22:51', 'task-simulation-b8e82c9419730c91-exec-8'), ('22:53', 'task-simulation-b8e82c9419730c91-exec-1'), ('22:53', 'task-simulation-b8e82c9419730c91-exec-2'), ('22:53', 'task-simulation-b8e82c9419730c91-exec-3'), ('22:54', 'task-simulation-b8e82c9419730c91-exec-4'), ('22:54', 'task-simulation-b8e82c9419730c91-exec-5'), ('22:54', 'task-simulation-b8e82c9419730c91-exec-6'), ('22:54', 'task-simulation-b8e82c9419730c91-exec-7'), ('22:55', 'task-simulation-b8e82c9419730c91-exec-8'), ('22:57', 'task-simulation-b8e82c9419730c91-exec-1'), ('22:57', 'task-simulation-b8e82c9419730c91-exec-2'), ('22:57', 'task-simulation-b8e82c9419730c91-exec-3'), ('22:58', 'task-simulation-b8e82c9419730c91-exec-4'), ('22:58', 'task-simulation-b8e82c9419730c91-exec-5'), ('22:58', 'task-simulation-b8e82c9419730c91-exec-6'), ('22:59', 'task-simulation-b8e82c9419730c91-exec-7'), ('22:59', 'task-simulation-b8e82c9419730c91-exec-8'), ('23:01', 'task-simulation-b8e82c9419730c91-exec-1'), ('23:01', 'task-simulation-b8e82c9419730c91-exec-2'), ('23:01', 'task-simulation-b8e82c9419730c91-exec-3'), ('23:01', 'task-simulation-b8e82c9419730c91-exec-4'), ('23:02', 'task-simulation-b8e82c9419730c91-exec-5'), ('23:02', 'task-simulation-b8e82c9419730c91-exec-6'), ('23:02', 'task-simulation-b8e82c9419730c91-exec-7'), ('23:02', 'task-simulation-b8e82c9419730c91-exec-8'), ('23:06', 'task-simulation-b8e82c9419730c91-exec-1'), ('23:07', 'task-simulation-b8e82c9419730c91-exec-2'), ('23:07', 'task-simulation-b8e82c9419730c91-exec-3'), ('23:07', 'task-simulation-b8e82c9419730c91-exec-4'), ('23:08', 'task-simulation-b8e82c9419730c91-exec-5'), ('23:08', 'task-simulation-b8e82c9419730c91-exec-6'), ('23:08', 'task-simulation-b8e82c9419730c91-exec-7'), ('23:08', 'task-simulation-b8e82c9419730c91-exec-8'), ('23:12', 'task-simulation-b8e82c9419730c91-exec-1'), ('23:12', 'task-simulation-b8e82c9419730c91-exec-2'), ('23:12', 'task-simulation-b8e82c9419730c91-exec-3'), ('23:13', 'task-simulation-b8e82c9419730c91-exec-4'), ('23:13', 'task-simulation-b8e82c9419730c91-exec-5'), ('23:13', 'task-simulation-b8e82c9419730c91-exec-6'), ('23:13', 'task-simulation-b8e82c9419730c91-exec-7'), ('23:14', 'task-simulation-b8e82c9419730c91-exec-8'), ('23:19', 'task-simulation-b8e82c9419730c91-exec-1'), ('23:19', 'task-simulation-b8e82c9419730c91-exec-2'), ('23:19', 'task-simulation-b8e82c9419730c91-exec-3'), ('23:20', 'task-simulation-b8e82c9419730c91-exec-4'), ('23:20', 'task-simulation-b8e82c9419730c91-exec-5'), ('23:20', 'task-simulation-b8e82c9419730c91-exec-6'), ('23:21', 'task-simulation-b8e82c9419730c91-exec-7'), ('23:21', 'task-simulation-b8e82c9419730c91-exec-8'), ('23:22', 'task-simulation-b8e82c9419730c91-exec-1'), ('23:23', 'task-simulation-b8e82c9419730c91-exec-2'), ('23:23', 'task-simulation-b8e82c9419730c91-exec-3'), ('23:23', 'task-simulation-b8e82c9419730c91-exec-4'), ('23:24', 'task-simulation-b8e82c9419730c91-exec-5'), ('23:24', 'task-simulation-b8e82c9419730c91-exec-6'), ('23:24', 'task-simulation-b8e82c9419730c91-exec-7'), ('23:24', 'task-simulation-b8e82c9419730c91-exec-8'), ('23:27', 'task-simulation-b8e82c9419730c91-exec-1'), ('23:27', 'task-simulation-b8e82c9419730c91-exec-2'), ('23:27', 'task-simulation-b8e82c9419730c91-exec-3'), ('23:28', 'task-simulation-b8e82c9419730c91-exec-4'), ('23:28', 'task-simulation-b8e82c9419730c91-exec-5'), ('23:28', 'task-simulation-b8e82c9419730c91-exec-6'), ('23:29', 'task-simulation-b8e82c9419730c91-exec-7'), ('23:29', 'task-simulation-b8e82c9419730c91-exec-8'), ('23:32', 'task-simulation-b8e82c9419730c91-exec-1'), ('23:32', 'task-simulation-b8e82c9419730c91-exec-2'), ('23:32', 'task-simulation-b8e82c9419730c91-exec-3'), ('23:33', 'task-simulation-b8e82c9419730c91-exec-4'), ('23:33', 'task-simulation-b8e82c9419730c91-exec-5'), ('23:33', 'task-simulation-b8e82c9419730c91-exec-6'), ('23:33', 'task-simulation-b8e82c9419730c91-exec-7'), ('23:34', 'task-simulation-b8e82c9419730c91-exec-8'), ('23:37', 'task-simulation-b8e82c9419730c91-exec-1'), ('23:37', 'task-simulation-b8e82c9419730c91-exec-2'), ('23:37', 'task-simulation-b8e82c9419730c91-exec-3'), ('23:38', 'task-simulation-b8e82c9419730c91-exec-4'), ('23:38', 'task-simulation-b8e82c9419730c91-exec-5'), ('23:38', 'task-simulation-b8e82c9419730c91-exec-6'), ('23:38', 'task-simulation-b8e82c9419730c91-exec-7'), ('23:39', 'task-simulation-b8e82c9419730c91-exec-8'), ('23:40', 'task-simulation-b8e82c9419730c91-exec-1'), ('23:41', 'task-simulation-b8e82c9419730c91-exec-2'), ('23:41', 'task-simulation-b8e82c9419730c91-exec-3'), ('23:41', 'task-simulation-b8e82c9419730c91-exec-4'), ('23:41', 'task-simulation-b8e82c9419730c91-exec-5'), ('23:42', 'task-simulation-b8e82c9419730c91-exec-6'), ('23:42', 'task-simulation-b8e82c9419730c91-exec-7'), ('23:42', 'task-simulation-b8e82c9419730c91-exec-8'), ('23:43', 'task-simulation-b8e82c9419730c91-exec-1'), ('23:44', 'task-simulation-b8e82c9419730c91-exec-2'), ('23:44', 'task-simulation-b8e82c9419730c91-exec-3'), ('23:44', 'task-simulation-b8e82c9419730c91-exec-4'), ('23:44', 'task-simulation-b8e82c9419730c91-exec-5'), ('23:45', 'task-simulation-b8e82c9419730c91-exec-6'), ('23:45', 'task-simulation-b8e82c9419730c91-exec-7'), ('23:45', 'task-simulation-b8e82c9419730c91-exec-8'), ('23:47', 'task-simulation-b8e82c9419730c91-exec-1'), ('23:47', 'task-simulation-b8e82c9419730c91-exec-2'), ('23:47', 'task-simulation-b8e82c9419730c91-exec-3'), ('23:48', 'task-simulation-b8e82c9419730c91-exec-4'), ('23:48', 'task-simulation-b8e82c9419730c91-exec-5'), ('23:48', 'task-simulation-b8e82c9419730c91-exec-6'), ('23:49', 'task-simulation-b8e82c9419730c91-exec-7'), ('23:49', 'task-simulation-b8e82c9419730c91-exec-8'), ('23:50', 'task-simulation-b8e82c9419730c91-exec-1'), ('23:51', 'task-simulation-b8e82c9419730c91-exec-2'), ('23:51', 'task-simulation-b8e82c9419730c91-exec-3'), ('23:51', 'task-simulation-b8e82c9419730c91-exec-4'), ('23:51', 'task-simulation-b8e82c9419730c91-exec-5'), ('23:52', 'task-simulation-b8e82c9419730c91-exec-6'), ('23:52', 'task-simulation-b8e82c9419730c91-exec-7'), ('23:52', 'task-simulation-b8e82c9419730c91-exec-8'), ('23:54', 'task-simulation-b8e82c9419730c91-exec-1'), ('23:54', 'task-simulation-b8e82c9419730c91-exec-2'), ('23:54', 'task-simulation-b8e82c9419730c91-exec-3'), ('23:54', 'task-simulation-b8e82c9419730c91-exec-4'), ('23:55', 'task-simulation-b8e82c9419730c91-exec-5'), ('23:55', 'task-simulation-b8e82c9419730c91-exec-6'), ('23:55', 'task-simulation-b8e82c9419730c91-exec-7'), ('23:57', 'task-simulation-b8e82c9419730c91-exec-1'), ('23:57', 'task-simulation-b8e82c9419730c91-exec-2'), ('23:57', 'task-simulation-b8e82c9419730c91-exec-4'), ('23:57', 'task-simulation-b8e82c9419730c91-exec-5'), ('23:58', 'task-simulation-b8e82c9419730c91-exec-6'), ('23:58', 'task-simulation-b8e82c9419730c91-exec-7')]"
2,2024-12-30 21:22:33.809814,2024-12-30 21:23:00.433184,19.966,"[('22:52', 'task-simulation-10b52b9419732f3a-exec-1'), ('22:56', 'task-simulation-10b52b9419732f3a-exec-1')]"
3,2024-12-30 21:22:37.346711,2024-12-30 21:23:22.293793,159.72800000000004,"[('23:00', 'task-simulation-b566eb9419734835-exec-1'), ('23:04', 'task-simulation-b566eb9419734835-exec-1'), ('23:05', 'task-simulation-b566eb9419734835-exec-2'), ('23:05', 'task-simulation-b566eb9419734835-exec-3'), ('23:05', 'task-simulation-b566eb9419734835-exec-4'), ('23:05', 'task-simulation-b566eb9419734835-exec-5'), ('23:06', 'task-simulation-b566eb9419734835-exec-6'), ('23:06', 'task-simulation-b566eb9419734835-exec-7'), ('23:10', 'task-simulation-b566eb9419734835-exec-1'), ('23:10', 'task-simulation-b566eb9419734835-exec-2'), ('23:10', 'task-simulation-b566eb9419734835-exec-3'), ('23:11', 'task-simulation-b566eb9419734835-exec-4'), ('23:11', 'task-simulation-b566eb9419734835-exec-5'), ('23:11', 'task-simulation-b566eb9419734835-exec-6'), ('23:11', 'task-simulation-b566eb9419734835-exec-7'), ('23:17', 'task-simulation-b566eb9419734835-exec-1')]"
4,2024-12-30 21:22:41.031165,2024-12-30 21:23:15.191660,9.983,"[('23:04', 'task-simulation-a3549794197356a7-exec-1')]"
6,2024-12-30 21:22:52.488286,2024-12-30 21:23:26.913199,69.88100000000001,"[('23:15', 'task-simulation-569d9f9419737afb-exec-1'), ('23:15', 'task-simulation-569d9f9419737afb-exec-2'), ('23:16', 'task-simulation-569d9f9419737afb-exec-3'), ('23:16', 'task-simulation-569d9f9419737afb-exec-4'), ('23:16', 'task-simulation-569d9f9419737afb-exec-5'), ('23:17', 'task-simulation-569d9f9419737afb-exec-6'), ('23:17', 'task-simulation-569d9f9419737afb-exec-7')]"
7,2024-12-30 21:23:00.439662,2024-12-30 21:23:43.560686,155.57866666666672,"[('23:25', 'task-simulation-d99a349419739863-exec-1'), ('23:25', 'task-simulation-d99a349419739863-exec-2'), ('23:25', 'task-simulation-d99a349419739863-exec-3'), ('23:25', 'task-simulation-d99a349419739863-exec-5'), ('23:29', 'task-simulation-d99a349419739863-exec-1'), ('23:29', 'task-simulation-d99a349419739863-exec-2'), ('23:30', 'task-simulation-d99a349419739863-exec-3'), ('23:30', 'task-simulation-d99a349419739863-exec-4'), ('23:30', 'task-simulation-d99a349419739863-exec-5'), ('23:30', 'task-simulation-d99a349419739863-exec-6'), ('23:34', 'task-simulation-d99a349419739863-exec-1'), ('23:34', 'task-simulation-d99a349419739863-exec-2'), ('23:35', 'task-simulation-d99a349419739863-exec-3'), ('23:35', 'task-simulation-d99a349419739863-exec-4'), ('23:35', 'task-simulation-d99a349419739863-exec-5'), ('23:35', 'task-simulation-d99a349419739863-exec-6')]"
8,2024-12-30 21:23:26.919270,2024-12-30 21:23:53.647451,9.723666666666666,"[('23:47', 'task-simulation-19070b941973fd31-exec-1')]"
9,2024-12-30 21:24:00.644604,2024-12-30 21:24:57.439458,614.336,"[('24:18', 'task-simulation-01affb9419747d97-exec-1'), ('24:20', 'task-simulation-01affb9419747d97-exec-1'), ('24:20', 'task-simulation-01affb9419747d97-exec-2'), ('24:22', 'task-simulation-01affb9419747d97-exec-1'), ('24:22', 'task-simulation-01affb9419747d97-exec-2'), ('24:23', 'task-simulation-01affb9419747d97-exec-3'), ('24:23', 'task-simulation-01affb9419747d97-exec-4'), ('24:23', 'task-simulation-01affb9419747d97-exec-5'), ('24:24', 'task-simulation-01affb9419747d97-exec-6'), ('24:24', 'task-simulation-01affb9419747d97-exec-7'), ('24:26', 'task-simulation-01affb9419747d97-exec-1'), ('24:26', 'task-simulation-01affb9419747d97-exec-2'), ('24:26', 'task-simulation-01affb9419747d97-exec-3'), ('24:27', 'task-simulation-01affb9419747d97-exec-4'), ('24:27', 'task-simulation-01affb9419747d97-exec-5'), ('24:28', 'task-simulation-01affb9419747d97-exec-6'), ('24:28', 'task-simulation-01affb9419747d97-exec-7'), ('24:28', 'task-simulation-01affb9419747d97-exec-8'), ('24:30', 'task-simulation-01affb9419747d97-exec-1'), ('24:30', 'task-simulation-01affb9419747d97-exec-2'), ('24:31', 'task-simulation-01affb9419747d97-exec-3'), ('24:31', 'task-simulation-01affb9419747d97-exec-4'), ('24:31', 'task-simulation-01affb9419747d97-exec-5'), ('24:32', 'task-simulation-01affb9419747d97-exec-6'), ('24:32', 'task-simulation-01affb9419747d97-exec-7'), ('24:33', 'task-simulation-01affb9419747d97-exec-8'), ('24:34', 'task-simulation-01affb9419747d97-exec-1'), ('24:34', 'task-simulation-01affb9419747d97-exec-2'), ('24:35', 'task-simulation-01affb9419747d97-exec-3'), ('24:35', 'task-simulation-01affb9419747d97-exec-4'), ('24:35', 'task-simulation-01affb9419747d97-exec-5'), ('24:36', 'task-simulation-01affb9419747d97-exec-6'), ('24:36', 'task-simulation-01affb9419747d97-exec-7'), ('24:36', 'task-simulation-01affb9419747d97-exec-8'), ('24:38', 'task-simulation-01affb9419747d97-exec-1'), ('24:38', 'task-simulation-01affb9419747d97-exec-2'), ('24:38', 'task-simulation-01affb9419747d97-exec-3'), ('24:39', 'task-simulation-01affb9419747d97-exec-4'), ('24:39', 'task-simulation-01affb9419747d97-exec-5'), ('24:39', 'task-simulation-01affb9419747d97-exec-6'), ('24:40', 'task-simulation-01affb9419747d97-exec-7'), ('24:40', 'task-simulation-01affb9419747d97-exec-8'), ('24:41', 'task-simulation-01affb9419747d97-exec-1'), ('24:42', 'task-simulation-01affb9419747d97-exec-2'), ('24:42', 'task-simulation-01affb9419747d97-exec-3'), ('24:42', 'task-simulation-01affb9419747d97-exec-4'), ('24:43', 'task-simulation-01affb9419747d97-exec-5'), ('24:43', 'task-simulation-01affb9419747d97-exec-6'), ('24:43', 'task-simulation-01affb9419747d97-exec-7'), ('24:43', 'task-simulation-01affb9419747d97-exec-8'), ('24:45', 'task-simulation-01affb9419747d97-exec-1'), ('24:45', 'task-simulation-01affb9419747d97-exec-2'), ('24:45', 'task-simulation-01affb9419747d97-exec-3'), ('24:46', 'task-simulation-01affb9419747d97-exec-4'), ('24:46', 'task-simulation-01affb9419747d97-exec-5'), ('24:46', 'task-simulation-01affb9419747d97-exec-6'), ('24:47', 'task-simulation-01affb9419747d97-exec-7'), ('24:47', 'task-simulation-01affb9419747d97-exec-8'), ('24:50', 'task-simulation-01affb9419747d97-exec-1'), ('24:50', 'task-simulation-01affb9419747d97-exec-2'), ('24:50', 'task-simulation-01affb9419747d97-exec-3'), ('24:51', 'task-simulation-01affb9419747d97-exec-4'), ('24:51', 'task-simulation-01affb9419747d97-exec-5'), ('24:51', 'task-simulation-01affb9419747d97-exec-6'), ('24:52', 'task-simulation-01affb9419747d97-exec-7'), ('24:52', 'task-simulation-01affb9419747d97-exec-8')]"
10,2024-12-30 21:24:07.548834,2024-12-30 21:24:37.668712,9.288333333333332,"[('24:29', 'task-simulation-7d3cf79419749901-exec-1')]"
