job_id,start_time,end_time,carbon_footprint,executors
0,2025-01-01 16:42:29.756345,2025-01-01 16:43:33.915743,726.2523333333324,"[('42:49', 'task-simulation-64ba0c9422bf7d07-exec-1'), ('42:51', 'task-simulation-64ba0c9422bf7d07-exec-1'), ('42:51', 'task-simulation-64ba0c9422bf7d07-exec-2'), ('42:51', 'task-simulation-64ba0c9422bf7d07-exec-3'), ('42:51', 'task-simulation-64ba0c9422bf7d07-exec-4'), ('42:52', 'task-simulation-64ba0c9422bf7d07-exec-5'), ('42:52', 'task-simulation-64ba0c9422bf7d07-exec-6'), ('42:52', 'task-simulation-64ba0c9422bf7d07-exec-7'), ('42:53', 'task-simulation-64ba0c9422bf7d07-exec-1'), ('42:54', 'task-simulation-64ba0c9422bf7d07-exec-2'), ('42:54', 'task-simulation-64ba0c9422bf7d07-exec-3'), ('42:54', 'task-simulation-64ba0c9422bf7d07-exec-4'), ('42:54', 'task-simulation-64ba0c9422bf7d07-exec-5'), ('42:55', 'task-simulation-64ba0c9422bf7d07-exec-6'), ('42:55', 'task-simulation-64ba0c9422bf7d07-exec-7'), ('42:55', 'task-simulation-64ba0c9422bf7d07-exec-8'), ('42:56', 'task-simulation-64ba0c9422bf7d07-exec-1'), ('42:57', 'task-simulation-64ba0c9422bf7d07-exec-2'), ('42:57', 'task-simulation-64ba0c9422bf7d07-exec-3'), ('42:57', 'task-simulation-64ba0c9422bf7d07-exec-4'), ('42:57', 'task-simulation-64ba0c9422bf7d07-exec-5'), ('42:57', 'task-simulation-64ba0c9422bf7d07-exec-6'), ('42:58', 'task-simulation-64ba0c9422bf7d07-exec-7'), ('42:58', 'task-simulation-64ba0c9422bf7d07-exec-8'), ('42:59', 'task-simulation-64ba0c9422bf7d07-exec-1'), ('42:59', 'task-simulation-64ba0c9422bf7d07-exec-2'), ('43:00', 'task-simulation-64ba0c9422bf7d07-exec-3'), ('43:00', 'task-simulation-64ba0c9422bf7d07-exec-4'), ('43:00', 'task-simulation-64ba0c9422bf7d07-exec-5'), ('43:00', 'task-simulation-64ba0c9422bf7d07-exec-6'), ('43:00', 'task-simulation-64ba0c9422bf7d07-exec-7'), ('43:01', 'task-simulation-64ba0c9422bf7d07-exec-8'), ('43:02', 'task-simulation-64ba0c9422bf7d07-exec-1'), ('43:02', 'task-simulation-64ba0c9422bf7d07-exec-2'), ('43:02', 'task-simulation-64ba0c9422bf7d07-exec-3'), ('43:03', 'task-simulation-64ba0c9422bf7d07-exec-4'), ('43:03', 'task-simulation-64ba0c9422bf7d07-exec-5'), ('43:03', 'task-simulation-64ba0c9422bf7d07-exec-6'), ('43:03', 'task-simulation-64ba0c9422bf7d07-exec-7'), ('43:03', 'task-simulation-64ba0c9422bf7d07-exec-8'), ('43:05', 'task-simulation-64ba0c9422bf7d07-exec-1'), ('43:05', 'task-simulation-64ba0c9422bf7d07-exec-2'), ('43:05', 'task-simulation-64ba0c9422bf7d07-exec-3'), ('43:05', 'task-simulation-64ba0c9422bf7d07-exec-4'), ('43:06', 'task-simulation-64ba0c9422bf7d07-exec-5'), ('43:06', 'task-simulation-64ba0c9422bf7d07-exec-6'), ('43:06', 'task-simulation-64ba0c9422bf7d07-exec-7'), ('43:06', 'task-simulation-64ba0c9422bf7d07-exec-8'), ('43:08', 'task-simulation-64ba0c9422bf7d07-exec-1'), ('43:08', 'task-simulation-64ba0c9422bf7d07-exec-2'), ('43:08', 'task-simulation-64ba0c9422bf7d07-exec-3'), ('43:08', 'task-simulation-64ba0c9422bf7d07-exec-4'), ('43:08', 'task-simulation-64ba0c9422bf7d07-exec-5'), ('43:09', 'task-simulation-64ba0c9422bf7d07-exec-6'), ('43:09', 'task-simulation-64ba0c9422bf7d07-exec-7'), ('43:09', 'task-simulation-64ba0c9422bf7d07-exec-8'), ('43:10', 'task-simulation-64ba0c9422bf7d07-exec-1'), ('43:11', 'task-simulation-64ba0c9422bf7d07-exec-2'), ('43:11', 'task-simulation-64ba0c9422bf7d07-exec-3'), ('43:11', 'task-simulation-64ba0c9422bf7d07-exec-4'), ('43:11', 'task-simulation-64ba0c9422bf7d07-exec-5'), ('43:11', 'task-simulation-64ba0c9422bf7d07-exec-6'), ('43:12', 'task-simulation-64ba0c9422bf7d07-exec-7'), ('43:12', 'task-simulation-64ba0c9422bf7d07-exec-8'), ('43:13', 'task-simulation-64ba0c9422bf7d07-exec-1'), ('43:13', 'task-simulation-64ba0c9422bf7d07-exec-2'), ('43:14', 'task-simulation-64ba0c9422bf7d07-exec-3'), ('43:14', 'task-simulation-64ba0c9422bf7d07-exec-4'), ('43:14', 'task-simulation-64ba0c9422bf7d07-exec-5'), ('43:14', 'task-simulation-64ba0c9422bf7d07-exec-6'), ('43:15', 'task-simulation-64ba0c9422bf7d07-exec-7'), ('43:15', 'task-simulation-64ba0c9422bf7d07-exec-8'), ('43:16', 'task-simulation-64ba0c9422bf7d07-exec-1'), ('43:16', 'task-simulation-64ba0c9422bf7d07-exec-2'), ('43:16', 'task-simulation-64ba0c9422bf7d07-exec-3'), ('43:17', 'task-simulation-64ba0c9422bf7d07-exec-4'), ('43:17', 'task-simulation-64ba0c9422bf7d07-exec-5'), ('43:17', 'task-simulation-64ba0c9422bf7d07-exec-6'), ('43:17', 'task-simulation-64ba0c9422bf7d07-exec-7'), ('43:18', 'task-simulation-64ba0c9422bf7d07-exec-8'), ('43:19', 'task-simulation-64ba0c9422bf7d07-exec-1'), ('43:19', 'task-simulation-64ba0c9422bf7d07-exec-2'), ('43:19', 'task-simulation-64ba0c9422bf7d07-exec-3'), ('43:20', 'task-simulation-64ba0c9422bf7d07-exec-4'), ('43:20', 'task-simulation-64ba0c9422bf7d07-exec-5'), ('43:20', 'task-simulation-64ba0c9422bf7d07-exec-6'), ('43:20', 'task-simulation-64ba0c9422bf7d07-exec-7'), ('43:21', 'task-simulation-64ba0c9422bf7d07-exec-8'), ('43:22', 'task-simulation-64ba0c9422bf7d07-exec-1'), ('43:22', 'task-simulation-64ba0c9422bf7d07-exec-2'), ('43:22', 'task-simulation-64ba0c9422bf7d07-exec-3'), ('43:23', 'task-simulation-64ba0c9422bf7d07-exec-4'), ('43:23', 'task-simulation-64ba0c9422bf7d07-exec-5'), ('43:23', 'task-simulation-64ba0c9422bf7d07-exec-6'), ('43:23', 'task-simulation-64ba0c9422bf7d07-exec-7'), ('43:24', 'task-simulation-64ba0c9422bf7d07-exec-8'), ('43:25', 'task-simulation-64ba0c9422bf7d07-exec-1'), ('43:26', 'task-simulation-64ba0c9422bf7d07-exec-2'), ('43:26', 'task-simulation-64ba0c9422bf7d07-exec-3'), ('43:26', 'task-simulation-64ba0c9422bf7d07-exec-4'), ('43:26', 'task-simulation-64ba0c9422bf7d07-exec-5'), ('43:26', 'task-simulation-64ba0c9422bf7d07-exec-6'), ('43:27', 'task-simulation-64ba0c9422bf7d07-exec-7'), ('43:27', 'task-simulation-64ba0c9422bf7d07-exec-8'), ('43:28', 'task-simulation-64ba0c9422bf7d07-exec-1'), ('43:29', 'task-simulation-64ba0c9422bf7d07-exec-2'), ('43:29', 'task-simulation-64ba0c9422bf7d07-exec-3'), ('43:29', 'task-simulation-64ba0c9422bf7d07-exec-4'), ('43:29', 'task-simulation-64ba0c9422bf7d07-exec-5'), ('43:30', 'task-simulation-64ba0c9422bf7d07-exec-6'), ('43:30', 'task-simulation-64ba0c9422bf7d07-exec-7'), ('43:30', 'task-simulation-64ba0c9422bf7d07-exec-8')]"
1,2025-01-01 16:43:19.059536,2025-01-01 16:43:47.402083,29.301666666666666,"[('43:36', 'task-simulation-bd0bab9422c03a6f-exec-1'), ('43:37', 'task-simulation-bd0bab9422c03a6f-exec-1'), ('43:39', 'task-simulation-bd0bab9422c03a6f-exec-1'), ('43:40', 'task-simulation-bd0bab9422c03a6f-exec-1'), ('43:41', 'task-simulation-bd0bab9422c03a6f-exec-1')]"
3,2025-01-01 16:43:42.823060,2025-01-01 16:44:10.055710,17.581,"[('44:01', 'task-simulation-0141279422c097bf-exec-1'), ('44:02', 'task-simulation-0141279422c097bf-exec-1'), ('44:04', 'task-simulation-0141279422c097bf-exec-1')]"
4,2025-01-01 16:43:56.488116,2025-01-01 16:44:32.075141,181.67033333333325,"[('44:16', 'task-simulation-c68d1f9422c0cdc4-exec-1'), ('44:17', 'task-simulation-c68d1f9422c0cdc4-exec-1'), ('44:17', 'task-simulation-c68d1f9422c0cdc4-exec-2'), ('44:17', 'task-simulation-c68d1f9422c0cdc4-exec-3'), ('44:19', 'task-simulation-c68d1f9422c0cdc4-exec-1'), ('44:19', 'task-simulation-c68d1f9422c0cdc4-exec-2'), ('44:19', 'task-simulation-c68d1f9422c0cdc4-exec-3'), ('44:20', 'task-simulation-c68d1f9422c0cdc4-exec-4'), ('44:20', 'task-simulation-c68d1f9422c0cdc4-exec-5'), ('44:20', 'task-simulation-c68d1f9422c0cdc4-exec-6'), ('44:20', 'task-simulation-c68d1f9422c0cdc4-exec-7'), ('44:20', 'task-simulation-c68d1f9422c0cdc4-exec-8'), ('44:22', 'task-simulation-c68d1f9422c0cdc4-exec-1'), ('44:22', 'task-simulation-c68d1f9422c0cdc4-exec-2'), ('44:22', 'task-simulation-c68d1f9422c0cdc4-exec-3'), ('44:23', 'task-simulation-c68d1f9422c0cdc4-exec-4'), ('44:23', 'task-simulation-c68d1f9422c0cdc4-exec-5'), ('44:23', 'task-simulation-c68d1f9422c0cdc4-exec-6'), ('44:23', 'task-simulation-c68d1f9422c0cdc4-exec-7'), ('44:23', 'task-simulation-c68d1f9422c0cdc4-exec-8'), ('44:25', 'task-simulation-c68d1f9422c0cdc4-exec-1'), ('44:25', 'task-simulation-c68d1f9422c0cdc4-exec-2'), ('44:25', 'task-simulation-c68d1f9422c0cdc4-exec-3'), ('44:25', 'task-simulation-c68d1f9422c0cdc4-exec-4'), ('44:26', 'task-simulation-c68d1f9422c0cdc4-exec-5'), ('44:26', 'task-simulation-c68d1f9422c0cdc4-exec-6'), ('44:26', 'task-simulation-c68d1f9422c0cdc4-exec-7'), ('44:26', 'task-simulation-c68d1f9422c0cdc4-exec-8'), ('44:28', 'task-simulation-c68d1f9422c0cdc4-exec-6'), ('44:28', 'task-simulation-c68d1f9422c0cdc4-exec-7'), ('44:28', 'task-simulation-c68d1f9422c0cdc4-exec-8')]"
5,2025-01-01 16:44:01.055400,2025-01-01 16:44:29.810999,5.860333333333333,"[('44:22', 'task-simulation-24e82f9422c0e2b9-exec-1')]"
6,2025-01-01 16:44:38.879436,2025-01-01 16:45:28.446380,280.94733333333295,"[('44:57', 'task-simulation-eabe7a9422c173b1-exec-1'), ('44:59', 'task-simulation-eabe7a9422c173b1-exec-1'), ('44:59', 'task-simulation-eabe7a9422c173b1-exec-3'), ('45:00', 'task-simulation-eabe7a9422c173b1-exec-1'), ('45:00', 'task-simulation-eabe7a9422c173b1-exec-2'), ('45:01', 'task-simulation-eabe7a9422c173b1-exec-3'), ('45:01', 'task-simulation-eabe7a9422c173b1-exec-4'), ('45:01', 'task-simulation-eabe7a9422c173b1-exec-5'), ('45:01', 'task-simulation-eabe7a9422c173b1-exec-6'), ('45:01', 'task-simulation-eabe7a9422c173b1-exec-7'), ('45:03', 'task-simulation-eabe7a9422c173b1-exec-1'), ('45:03', 'task-simulation-eabe7a9422c173b1-exec-2'), ('45:03', 'task-simulation-eabe7a9422c173b1-exec-3'), ('45:04', 'task-simulation-eabe7a9422c173b1-exec-4'), ('45:04', 'task-simulation-eabe7a9422c173b1-exec-5'), ('45:04', 'task-simulation-eabe7a9422c173b1-exec-6'), ('45:04', 'task-simulation-eabe7a9422c173b1-exec-7'), ('45:04', 'task-simulation-eabe7a9422c173b1-exec-8'), ('45:06', 'task-simulation-eabe7a9422c173b1-exec-1'), ('45:06', 'task-simulation-eabe7a9422c173b1-exec-2'), ('45:06', 'task-simulation-eabe7a9422c173b1-exec-3'), ('45:06', 'task-simulation-eabe7a9422c173b1-exec-4'), ('45:07', 'task-simulation-eabe7a9422c173b1-exec-5'), ('45:07', 'task-simulation-eabe7a9422c173b1-exec-6'), ('45:07', 'task-simulation-eabe7a9422c173b1-exec-7'), ('45:07', 'task-simulation-eabe7a9422c173b1-exec-8'), ('45:09', 'task-simulation-eabe7a9422c173b1-exec-1'), ('45:09', 'task-simulation-eabe7a9422c173b1-exec-2'), ('45:09', 'task-simulation-eabe7a9422c173b1-exec-3'), ('45:10', 'task-simulation-eabe7a9422c173b1-exec-4'), ('45:10', 'task-simulation-eabe7a9422c173b1-exec-5'), ('45:10', 'task-simulation-eabe7a9422c173b1-exec-6'), ('45:10', 'task-simulation-eabe7a9422c173b1-exec-7'), ('45:10', 'task-simulation-eabe7a9422c173b1-exec-8'), ('45:14', 'task-simulation-eabe7a9422c173b1-exec-1'), ('45:14', 'task-simulation-eabe7a9422c173b1-exec-2'), ('45:14', 'task-simulation-eabe7a9422c173b1-exec-3'), ('45:14', 'task-simulation-eabe7a9422c173b1-exec-4'), ('45:15', 'task-simulation-eabe7a9422c173b1-exec-5'), ('45:15', 'task-simulation-eabe7a9422c173b1-exec-6'), ('45:15', 'task-simulation-eabe7a9422c173b1-exec-7'), ('45:15', 'task-simulation-eabe7a9422c173b1-exec-8'), ('45:18', 'task-simulation-eabe7a9422c173b1-exec-1'), ('45:18', 'task-simulation-eabe7a9422c173b1-exec-2'), ('45:19', 'task-simulation-eabe7a9422c173b1-exec-3'), ('45:19', 'task-simulation-eabe7a9422c173b1-exec-4'), ('45:19', 'task-simulation-eabe7a9422c173b1-exec-5'), ('45:19', 'task-simulation-eabe7a9422c173b1-exec-6'), ('45:20', 'task-simulation-eabe7a9422c173b1-exec-7'), ('45:20', 'task-simulation-eabe7a9422c173b1-exec-8'), ('45:23', 'task-simulation-eabe7a9422c173b1-exec-1'), ('45:24', 'task-simulation-eabe7a9422c173b1-exec-4')]"
7,2025-01-01 16:44:50.473175,2025-01-01 16:45:46.995357,374.6780000000004,"[('45:12', 'task-simulation-39145c9422c1a047-exec-1'), ('45:12', 'task-simulation-39145c9422c1a047-exec-2'), ('45:12', 'task-simulation-39145c9422c1a047-exec-3'), ('45:13', 'task-simulation-39145c9422c1a047-exec-4'), ('45:13', 'task-simulation-39145c9422c1a047-exec-5'), ('45:13', 'task-simulation-39145c9422c1a047-exec-6'), ('45:13', 'task-simulation-39145c9422c1a047-exec-7'), ('45:13', 'task-simulation-39145c9422c1a047-exec-8'), ('45:17', 'task-simulation-39145c9422c1a047-exec-1'), ('45:17', 'task-simulation-39145c9422c1a047-exec-2'), ('45:17', 'task-simulation-39145c9422c1a047-exec-3'), ('45:17', 'task-simulation-39145c9422c1a047-exec-4'), ('45:17', 'task-simulation-39145c9422c1a047-exec-5'), ('45:18', 'task-simulation-39145c9422c1a047-exec-6'), ('45:18', 'task-simulation-39145c9422c1a047-exec-7'), ('45:18', 'task-simulation-39145c9422c1a047-exec-8'), ('45:21', 'task-simulation-39145c9422c1a047-exec-1'), ('45:21', 'task-simulation-39145c9422c1a047-exec-2'), ('45:22', 'task-simulation-39145c9422c1a047-exec-3'), ('45:22', 'task-simulation-39145c9422c1a047-exec-4'), ('45:22', 'task-simulation-39145c9422c1a047-exec-5'), ('45:22', 'task-simulation-39145c9422c1a047-exec-6'), ('45:23', 'task-simulation-39145c9422c1a047-exec-7'), ('45:23', 'task-simulation-39145c9422c1a047-exec-8'), ('45:26', 'task-simulation-39145c9422c1a047-exec-1'), ('45:26', 'task-simulation-39145c9422c1a047-exec-2'), ('45:26', 'task-simulation-39145c9422c1a047-exec-3'), ('45:26', 'task-simulation-39145c9422c1a047-exec-4'), ('45:26', 'task-simulation-39145c9422c1a047-exec-5'), ('45:27', 'task-simulation-39145c9422c1a047-exec-6'), ('45:27', 'task-simulation-39145c9422c1a047-exec-7'), ('45:27', 'task-simulation-39145c9422c1a047-exec-8'), ('45:28', 'task-simulation-39145c9422c1a047-exec-1'), ('45:29', 'task-simulation-39145c9422c1a047-exec-2'), ('45:29', 'task-simulation-39145c9422c1a047-exec-3'), ('45:29', 'task-simulation-39145c9422c1a047-exec-4'), ('45:29', 'task-simulation-39145c9422c1a047-exec-5'), ('45:30', 'task-simulation-39145c9422c1a047-exec-6'), ('45:30', 'task-simulation-39145c9422c1a047-exec-7'), ('45:30', 'task-simulation-39145c9422c1a047-exec-8'), ('45:32', 'task-simulation-39145c9422c1a047-exec-1'), ('45:32', 'task-simulation-39145c9422c1a047-exec-2'), ('45:32', 'task-simulation-39145c9422c1a047-exec-3'), ('45:32', 'task-simulation-39145c9422c1a047-exec-4'), ('45:33', 'task-simulation-39145c9422c1a047-exec-5'), ('45:33', 'task-simulation-39145c9422c1a047-exec-6'), ('45:33', 'task-simulation-39145c9422c1a047-exec-7'), ('45:33', 'task-simulation-39145c9422c1a047-exec-8'), ('45:35', 'task-simulation-39145c9422c1a047-exec-1'), ('45:35', 'task-simulation-39145c9422c1a047-exec-2'), ('45:35', 'task-simulation-39145c9422c1a047-exec-3'), ('45:36', 'task-simulation-39145c9422c1a047-exec-4'), ('45:36', 'task-simulation-39145c9422c1a047-exec-5'), ('45:36', 'task-simulation-39145c9422c1a047-exec-6'), ('45:36', 'task-simulation-39145c9422c1a047-exec-7'), ('45:37', 'task-simulation-39145c9422c1a047-exec-8'), ('45:38', 'task-simulation-39145c9422c1a047-exec-1'), ('45:38', 'task-simulation-39145c9422c1a047-exec-2'), ('45:38', 'task-simulation-39145c9422c1a047-exec-3'), ('45:39', 'task-simulation-39145c9422c1a047-exec-4'), ('45:39', 'task-simulation-39145c9422c1a047-exec-5'), ('45:39', 'task-simulation-39145c9422c1a047-exec-6'), ('45:39', 'task-simulation-39145c9422c1a047-exec-7'), ('45:40', 'task-simulation-39145c9422c1a047-exec-8'), ('45:41', 'task-simulation-39145c9422c1a047-exec-1'), ('45:41', 'task-simulation-39145c9422c1a047-exec-2'), ('45:42', 'task-simulation-39145c9422c1a047-exec-3'), ('45:42', 'task-simulation-39145c9422c1a047-exec-4'), ('45:42', 'task-simulation-39145c9422c1a047-exec-5'), ('45:43', 'task-simulation-39145c9422c1a047-exec-6'), ('45:43', 'task-simulation-39145c9422c1a047-exec-7'), ('45:43', 'task-simulation-39145c9422c1a047-exec-8')]"
8,2025-01-01 16:45:28.454688,2025-01-01 16:45:56.839407,15.1065,"[('45:48', 'task-simulation-79b35b9422c23580-exec-1'), ('45:49', 'task-simulation-79b35b9422c23580-exec-1'), ('45:51', 'task-simulation-79b35b9422c23580-exec-1')]"
9,2025-01-01 16:45:38.069022,2025-01-01 16:46:27.882667,337.37850000000054,"[('45:58', 'task-simulation-74bf769422c25cef-exec-1'), ('45:59', 'task-simulation-74bf769422c25cef-exec-1'), ('46:00', 'task-simulation-74bf769422c25cef-exec-2'), ('46:01', 'task-simulation-74bf769422c25cef-exec-1'), ('46:01', 'task-simulation-74bf769422c25cef-exec-2'), ('46:02', 'task-simulation-74bf769422c25cef-exec-3'), ('46:02', 'task-simulation-74bf769422c25cef-exec-4'), ('46:02', 'task-simulation-74bf769422c25cef-exec-5'), ('46:02', 'task-simulation-74bf769422c25cef-exec-6'), ('46:02', 'task-simulation-74bf769422c25cef-exec-7'), ('46:03', 'task-simulation-74bf769422c25cef-exec-8'), ('46:04', 'task-simulation-74bf769422c25cef-exec-1'), ('46:04', 'task-simulation-74bf769422c25cef-exec-2'), ('46:05', 'task-simulation-74bf769422c25cef-exec-3'), ('46:05', 'task-simulation-74bf769422c25cef-exec-4'), ('46:05', 'task-simulation-74bf769422c25cef-exec-5'), ('46:05', 'task-simulation-74bf769422c25cef-exec-6'), ('46:06', 'task-simulation-74bf769422c25cef-exec-7'), ('46:06', 'task-simulation-74bf769422c25cef-exec-8'), ('46:07', 'task-simulation-74bf769422c25cef-exec-1'), ('46:07', 'task-simulation-74bf769422c25cef-exec-2'), ('46:07', 'task-simulation-74bf769422c25cef-exec-3'), ('46:08', 'task-simulation-74bf769422c25cef-exec-4'), ('46:08', 'task-simulation-74bf769422c25cef-exec-5'), ('46:08', 'task-simulation-74bf769422c25cef-exec-6'), ('46:08', 'task-simulation-74bf769422c25cef-exec-7'), ('46:09', 'task-simulation-74bf769422c25cef-exec-8'), ('46:10', 'task-simulation-74bf769422c25cef-exec-1'), ('46:10', 'task-simulation-74bf769422c25cef-exec-2'), ('46:10', 'task-simulation-74bf769422c25cef-exec-3'), ('46:11', 'task-simulation-74bf769422c25cef-exec-4'), ('46:11', 'task-simulation-74bf769422c25cef-exec-5'), ('46:11', 'task-simulation-74bf769422c25cef-exec-6'), ('46:11', 'task-simulation-74bf769422c25cef-exec-7'), ('46:11', 'task-simulation-74bf769422c25cef-exec-8'), ('46:13', 'task-simulation-74bf769422c25cef-exec-1'), ('46:13', 'task-simulation-74bf769422c25cef-exec-2'), ('46:13', 'task-simulation-74bf769422c25cef-exec-3'), ('46:13', 'task-simulation-74bf769422c25cef-exec-4'), ('46:13', 'task-simulation-74bf769422c25cef-exec-5'), ('46:14', 'task-simulation-74bf769422c25cef-exec-6'), ('46:14', 'task-simulation-74bf769422c25cef-exec-7'), ('46:14', 'task-simulation-74bf769422c25cef-exec-8'), ('46:15', 'task-simulation-74bf769422c25cef-exec-1'), ('46:16', 'task-simulation-74bf769422c25cef-exec-2'), ('46:16', 'task-simulation-74bf769422c25cef-exec-3'), ('46:16', 'task-simulation-74bf769422c25cef-exec-4'), ('46:16', 'task-simulation-74bf769422c25cef-exec-5'), ('46:17', 'task-simulation-74bf769422c25cef-exec-6'), ('46:17', 'task-simulation-74bf769422c25cef-exec-7'), ('46:17', 'task-simulation-74bf769422c25cef-exec-8'), ('46:18', 'task-simulation-74bf769422c25cef-exec-1'), ('46:18', 'task-simulation-74bf769422c25cef-exec-2'), ('46:19', 'task-simulation-74bf769422c25cef-exec-3'), ('46:19', 'task-simulation-74bf769422c25cef-exec-4'), ('46:19', 'task-simulation-74bf769422c25cef-exec-5'), ('46:19', 'task-simulation-74bf769422c25cef-exec-6'), ('46:19', 'task-simulation-74bf769422c25cef-exec-7'), ('46:20', 'task-simulation-74bf769422c25cef-exec-8'), ('46:21', 'task-simulation-74bf769422c25cef-exec-1'), ('46:21', 'task-simulation-74bf769422c25cef-exec-2'), ('46:21', 'task-simulation-74bf769422c25cef-exec-3'), ('46:22', 'task-simulation-74bf769422c25cef-exec-4'), ('46:22', 'task-simulation-74bf769422c25cef-exec-5'), ('46:22', 'task-simulation-74bf769422c25cef-exec-6'), ('46:22', 'task-simulation-74bf769422c25cef-exec-7'), ('46:23', 'task-simulation-74bf769422c25cef-exec-8')]"
10,2025-01-01 16:46:24.375884,2025-01-01 16:46:51.623302,14.277500000000002,"[('46:43', 'task-simulation-a04b329422c30f68-exec-1'), ('46:44', 'task-simulation-a04b329422c30f68-exec-1'), ('46:45', 'task-simulation-a04b329422c30f68-exec-1')]"
