job_id,start_time,end_time,carbon_footprint,executors
0,2024-12-27 09:04:38.165040,2024-12-27 09:05:11.632073,113.9066666666667,"[('04:58', 'task-simulation-8914f094075c82a0-exec-1'), ('04:59', 'task-simulation-8914f094075c82a0-exec-1'), ('04:59', 'task-simulation-8914f094075c82a0-exec-2'), ('04:59', 'task-simulation-8914f094075c82a0-exec-3'), ('05:01', 'task-simulation-8914f094075c82a0-exec-1'), ('05:01', 'task-simulation-8914f094075c82a0-exec-2'), ('05:01', 'task-simulation-8914f094075c82a0-exec-3'), ('05:03', 'task-simulation-8914f094075c82a0-exec-1'), ('05:03', 'task-simulation-8914f094075c82a0-exec-2'), ('05:03', 'task-simulation-8914f094075c82a0-exec-3'), ('05:04', 'task-simulation-8914f094075c82a0-exec-1'), ('05:05', 'task-simulation-8914f094075c82a0-exec-2'), ('05:05', 'task-simulation-8914f094075c82a0-exec-3'), ('05:06', 'task-simulation-8914f094075c82a0-exec-1'), ('05:06', 'task-simulation-8914f094075c82a0-exec-2'), ('05:07', 'task-simulation-8914f094075c82a0-exec-3')]"
1,2024-12-27 09:05:44.067265,2024-12-27 09:06:23.018667,255.96000000000024,"[('06:03', 'task-simulation-b7727e94075d8105-exec-1'), ('06:04', 'task-simulation-b7727e94075d8105-exec-3'), ('06:05', 'task-simulation-b7727e94075d8105-exec-1'), ('06:06', 'task-simulation-b7727e94075d8105-exec-2'), ('06:06', 'task-simulation-b7727e94075d8105-exec-3'), ('06:07', 'task-simulation-b7727e94075d8105-exec-4'), ('06:07', 'task-simulation-b7727e94075d8105-exec-5'), ('06:07', 'task-simulation-b7727e94075d8105-exec-6'), ('06:08', 'task-simulation-b7727e94075d8105-exec-7'), ('06:09', 'task-simulation-b7727e94075d8105-exec-1'), ('06:09', 'task-simulation-b7727e94075d8105-exec-2'), ('06:09', 'task-simulation-b7727e94075d8105-exec-3'), ('06:10', 'task-simulation-b7727e94075d8105-exec-4'), ('06:10', 'task-simulation-b7727e94075d8105-exec-5'), ('06:10', 'task-simulation-b7727e94075d8105-exec-6'), ('06:10', 'task-simulation-b7727e94075d8105-exec-7'), ('06:12', 'task-simulation-b7727e94075d8105-exec-1'), ('06:12', 'task-simulation-b7727e94075d8105-exec-2'), ('06:12', 'task-simulation-b7727e94075d8105-exec-3'), ('06:13', 'task-simulation-b7727e94075d8105-exec-4'), ('06:13', 'task-simulation-b7727e94075d8105-exec-5'), ('06:13', 'task-simulation-b7727e94075d8105-exec-6'), ('06:13', 'task-simulation-b7727e94075d8105-exec-7'), ('06:15', 'task-simulation-b7727e94075d8105-exec-1'), ('06:15', 'task-simulation-b7727e94075d8105-exec-2'), ('06:15', 'task-simulation-b7727e94075d8105-exec-3'), ('06:15', 'task-simulation-b7727e94075d8105-exec-4'), ('06:16', 'task-simulation-b7727e94075d8105-exec-5'), ('06:16', 'task-simulation-b7727e94075d8105-exec-6'), ('06:16', 'task-simulation-b7727e94075d8105-exec-7'), ('06:17', 'task-simulation-b7727e94075d8105-exec-1'), ('06:18', 'task-simulation-b7727e94075d8105-exec-2'), ('06:18', 'task-simulation-b7727e94075d8105-exec-3'), ('06:18', 'task-simulation-b7727e94075d8105-exec-4'), ('06:18', 'task-simulation-b7727e94075d8105-exec-5'), ('06:19', 'task-simulation-b7727e94075d8105-exec-7')]"
2,2024-12-27 09:05:58.756564,2024-12-27 09:06:27.072907,14.22,"[('06:20', 'task-simulation-d07bb694075dc25b-exec-1'), ('06:21', 'task-simulation-d07bb694075dc25b-exec-1')]"
3,2024-12-27 09:05:59.876377,2024-12-27 09:06:29.660906,21.330000000000002,"[('06:22', 'task-simulation-f2999694075dcb2f-exec-1'), ('06:23', 'task-simulation-f2999694075dcb2f-exec-1'), ('06:24', 'task-simulation-f2999694075dcb2f-exec-1')]"
4,2024-12-27 09:06:05.374296,2024-12-27 09:06:35.499825,28.44,"[('06:26', 'task-simulation-3745a894075dda94-exec-1'), ('06:27', 'task-simulation-3745a894075dda94-exec-1'), ('06:28', 'task-simulation-3745a894075dda94-exec-1'), ('06:29', 'task-simulation-3745a894075dda94-exec-1')]"
5,2024-12-27 09:06:49.019484,2024-12-27 09:07:16.860686,21.334,"[('07:08', 'task-simulation-5e5a6b94075e7e23-exec-1'), ('07:09', 'task-simulation-5e5a6b94075e7e23-exec-1'), ('07:11', 'task-simulation-5e5a6b94075e7e23-exec-1')]"
6,2024-12-27 09:07:25.805126,2024-12-27 09:08:02.512233,215.48499999999984,"[('07:44', 'task-simulation-bb067194075f0ba6-exec-1'), ('07:45', 'task-simulation-bb067194075f0ba6-exec-1'), ('07:46', 'task-simulation-bb067194075f0ba6-exec-2'), ('07:46', 'task-simulation-bb067194075f0ba6-exec-3'), ('07:46', 'task-simulation-bb067194075f0ba6-exec-5'), ('07:46', 'task-simulation-bb067194075f0ba6-exec-6'), ('07:48', 'task-simulation-bb067194075f0ba6-exec-1'), ('07:48', 'task-simulation-bb067194075f0ba6-exec-2'), ('07:48', 'task-simulation-bb067194075f0ba6-exec-3'), ('07:48', 'task-simulation-bb067194075f0ba6-exec-4'), ('07:49', 'task-simulation-bb067194075f0ba6-exec-5'), ('07:49', 'task-simulation-bb067194075f0ba6-exec-6'), ('07:50', 'task-simulation-bb067194075f0ba6-exec-1'), ('07:50', 'task-simulation-bb067194075f0ba6-exec-2'), ('07:51', 'task-simulation-bb067194075f0ba6-exec-3'), ('07:51', 'task-simulation-bb067194075f0ba6-exec-4'), ('07:51', 'task-simulation-bb067194075f0ba6-exec-5'), ('07:51', 'task-simulation-bb067194075f0ba6-exec-6'), ('07:53', 'task-simulation-bb067194075f0ba6-exec-1'), ('07:53', 'task-simulation-bb067194075f0ba6-exec-2'), ('07:53', 'task-simulation-bb067194075f0ba6-exec-3'), ('07:54', 'task-simulation-bb067194075f0ba6-exec-4'), ('07:54', 'task-simulation-bb067194075f0ba6-exec-5'), ('07:54', 'task-simulation-bb067194075f0ba6-exec-6'), ('07:56', 'task-simulation-bb067194075f0ba6-exec-1'), ('07:56', 'task-simulation-bb067194075f0ba6-exec-2'), ('07:56', 'task-simulation-bb067194075f0ba6-exec-3'), ('07:57', 'task-simulation-bb067194075f0ba6-exec-4'), ('07:57', 'task-simulation-bb067194075f0ba6-exec-5'), ('07:57', 'task-simulation-bb067194075f0ba6-exec-6')]"
7,2024-12-27 09:07:34.987177,2024-12-27 09:08:03.721034,14.365666666666668,"[('07:55', 'task-simulation-bc3e6494075f3203-exec-1'), ('07:57', 'task-simulation-bc3e6494075f3203-exec-1')]"
8,2024-12-27 09:07:47.690276,2024-12-27 09:08:14.411171,28.731333333333335,"[('08:06', 'task-simulation-1f38b194075f65ab-exec-1'), ('08:07', 'task-simulation-1f38b194075f65ab-exec-1'), ('08:09', 'task-simulation-1f38b194075f65ab-exec-1'), ('08:10', 'task-simulation-1f38b194075f65ab-exec-1')]"
9,2024-12-27 09:07:52.892325,2024-12-27 09:09:02.961371,638.5161666666667,"[('08:13', 'task-simulation-22743894075f7a0e-exec-1'), ('08:13', 'task-simulation-22743894075f7a0e-exec-2'), ('08:14', 'task-simulation-22743894075f7a0e-exec-1'), ('08:14', 'task-simulation-22743894075f7a0e-exec-2'), ('08:15', 'task-simulation-22743894075f7a0e-exec-3'), ('08:15', 'task-simulation-22743894075f7a0e-exec-4'), ('08:15', 'task-simulation-22743894075f7a0e-exec-5'), ('08:15', 'task-simulation-22743894075f7a0e-exec-6'), ('08:15', 'task-simulation-22743894075f7a0e-exec-7'), ('08:16', 'task-simulation-22743894075f7a0e-exec-8'), ('08:17', 'task-simulation-22743894075f7a0e-exec-1'), ('08:17', 'task-simulation-22743894075f7a0e-exec-2'), ('08:17', 'task-simulation-22743894075f7a0e-exec-3'), ('08:18', 'task-simulation-22743894075f7a0e-exec-4'), ('08:18', 'task-simulation-22743894075f7a0e-exec-5'), ('08:18', 'task-simulation-22743894075f7a0e-exec-6'), ('08:18', 'task-simulation-22743894075f7a0e-exec-7'), ('08:18', 'task-simulation-22743894075f7a0e-exec-8'), ('08:20', 'task-simulation-22743894075f7a0e-exec-1'), ('08:20', 'task-simulation-22743894075f7a0e-exec-2'), ('08:20', 'task-simulation-22743894075f7a0e-exec-3'), ('08:20', 'task-simulation-22743894075f7a0e-exec-4'), ('08:21', 'task-simulation-22743894075f7a0e-exec-5'), ('08:21', 'task-simulation-22743894075f7a0e-exec-6'), ('08:21', 'task-simulation-22743894075f7a0e-exec-7'), ('08:21', 'task-simulation-22743894075f7a0e-exec-8'), ('08:23', 'task-simulation-22743894075f7a0e-exec-1'), ('08:23', 'task-simulation-22743894075f7a0e-exec-2'), ('08:23', 'task-simulation-22743894075f7a0e-exec-3'), ('08:23', 'task-simulation-22743894075f7a0e-exec-4'), ('08:24', 'task-simulation-22743894075f7a0e-exec-5'), ('08:24', 'task-simulation-22743894075f7a0e-exec-6'), ('08:24', 'task-simulation-22743894075f7a0e-exec-7'), ('08:24', 'task-simulation-22743894075f7a0e-exec-8'), ('08:27', 'task-simulation-22743894075f7a0e-exec-1'), ('08:27', 'task-simulation-22743894075f7a0e-exec-2'), ('08:27', 'task-simulation-22743894075f7a0e-exec-3'), ('08:28', 'task-simulation-22743894075f7a0e-exec-4'), ('08:28', 'task-simulation-22743894075f7a0e-exec-5'), ('08:28', 'task-simulation-22743894075f7a0e-exec-6'), ('08:28', 'task-simulation-22743894075f7a0e-exec-7'), ('08:28', 'task-simulation-22743894075f7a0e-exec-8'), ('08:32', 'task-simulation-22743894075f7a0e-exec-1'), ('08:32', 'task-simulation-22743894075f7a0e-exec-2'), ('08:32', 'task-simulation-22743894075f7a0e-exec-3'), ('08:32', 'task-simulation-22743894075f7a0e-exec-4'), ('08:32', 'task-simulation-22743894075f7a0e-exec-5'), ('08:33', 'task-simulation-22743894075f7a0e-exec-6'), ('08:33', 'task-simulation-22743894075f7a0e-exec-7'), ('08:33', 'task-simulation-22743894075f7a0e-exec-8'), ('08:37', 'task-simulation-22743894075f7a0e-exec-1'), ('08:37', 'task-simulation-22743894075f7a0e-exec-2'), ('08:37', 'task-simulation-22743894075f7a0e-exec-3'), ('08:37', 'task-simulation-22743894075f7a0e-exec-4'), ('08:38', 'task-simulation-22743894075f7a0e-exec-5'), ('08:38', 'task-simulation-22743894075f7a0e-exec-6'), ('08:38', 'task-simulation-22743894075f7a0e-exec-7'), ('08:38', 'task-simulation-22743894075f7a0e-exec-8'), ('08:42', 'task-simulation-22743894075f7a0e-exec-1'), ('08:42', 'task-simulation-22743894075f7a0e-exec-2'), ('08:42', 'task-simulation-22743894075f7a0e-exec-3'), ('08:42', 'task-simulation-22743894075f7a0e-exec-4'), ('08:43', 'task-simulation-22743894075f7a0e-exec-5'), ('08:43', 'task-simulation-22743894075f7a0e-exec-6'), ('08:43', 'task-simulation-22743894075f7a0e-exec-7'), ('08:43', 'task-simulation-22743894075f7a0e-exec-8'), ('08:46', 'task-simulation-22743894075f7a0e-exec-1'), ('08:46', 'task-simulation-22743894075f7a0e-exec-2'), ('08:47', 'task-simulation-22743894075f7a0e-exec-3'), ('08:47', 'task-simulation-22743894075f7a0e-exec-4'), ('08:47', 'task-simulation-22743894075f7a0e-exec-5'), ('08:47', 'task-simulation-22743894075f7a0e-exec-6'), ('08:47', 'task-simulation-22743894075f7a0e-exec-7'), ('08:48', 'task-simulation-22743894075f7a0e-exec-8'), ('08:51', 'task-simulation-22743894075f7a0e-exec-1'), ('08:51', 'task-simulation-22743894075f7a0e-exec-2'), ('08:51', 'task-simulation-22743894075f7a0e-exec-3'), ('08:52', 'task-simulation-22743894075f7a0e-exec-4'), ('08:52', 'task-simulation-22743894075f7a0e-exec-5'), ('08:52', 'task-simulation-22743894075f7a0e-exec-6'), ('08:53', 'task-simulation-22743894075f7a0e-exec-7'), ('08:53', 'task-simulation-22743894075f7a0e-exec-8'), ('08:56', 'task-simulation-22743894075f7a0e-exec-1'), ('08:56', 'task-simulation-22743894075f7a0e-exec-2'), ('08:57', 'task-simulation-22743894075f7a0e-exec-3'), ('08:57', 'task-simulation-22743894075f7a0e-exec-4'), ('08:57', 'task-simulation-22743894075f7a0e-exec-5'), ('08:58', 'task-simulation-22743894075f7a0e-exec-6'), ('08:58', 'task-simulation-22743894075f7a0e-exec-8')]"
