job_id,start_time,end_time,carbon_footprint,executors
0,2024-12-19 21:37:06.260382,2024-12-19 21:37:43.307291,132.5473333333334,"[('37:25', 'task-simulation-ebd67e93e0da8780-exec-1'), ('37:26', 'task-simulation-ebd67e93e0da8780-exec-1'), ('37:26', 'task-simulation-ebd67e93e0da8780-exec-2'), ('37:27', 'task-simulation-ebd67e93e0da8780-exec-3'), ('37:28', 'task-simulation-ebd67e93e0da8780-exec-1'), ('37:28', 'task-simulation-ebd67e93e0da8780-exec-2'), ('37:28', 'task-simulation-ebd67e93e0da8780-exec-3'), ('37:28', 'task-simulation-ebd67e93e0da8780-exec-4'), ('37:30', 'task-simulation-ebd67e93e0da8780-exec-1'), ('37:30', 'task-simulation-ebd67e93e0da8780-exec-2'), ('37:30', 'task-simulation-ebd67e93e0da8780-exec-3'), ('37:30', 'task-simulation-ebd67e93e0da8780-exec-4'), ('37:32', 'task-simulation-ebd67e93e0da8780-exec-1'), ('37:32', 'task-simulation-ebd67e93e0da8780-exec-2'), ('37:32', 'task-simulation-ebd67e93e0da8780-exec-3'), ('37:32', 'task-simulation-ebd67e93e0da8780-exec-4'), ('37:34', 'task-simulation-ebd67e93e0da8780-exec-1'), ('37:34', 'task-simulation-ebd67e93e0da8780-exec-2'), ('37:34', 'task-simulation-ebd67e93e0da8780-exec-3'), ('37:34', 'task-simulation-ebd67e93e0da8780-exec-4'), ('37:36', 'task-simulation-ebd67e93e0da8780-exec-1'), ('37:36', 'task-simulation-ebd67e93e0da8780-exec-2'), ('37:36', 'task-simulation-ebd67e93e0da8780-exec-3'), ('37:36', 'task-simulation-ebd67e93e0da8780-exec-4'), ('37:38', 'task-simulation-ebd67e93e0da8780-exec-1'), ('37:38', 'task-simulation-ebd67e93e0da8780-exec-2'), ('37:38', 'task-simulation-ebd67e93e0da8780-exec-3'), ('37:38', 'task-simulation-ebd67e93e0da8780-exec-4')]"
1,2024-12-19 21:37:54.634806,2024-12-19 21:38:23.710814,56.426000000000016,"[('38:13', 'task-simulation-92c67893e0db4382-exec-1'), ('38:14', 'task-simulation-92c67893e0db4382-exec-1'), ('38:14', 'task-simulation-92c67893e0db4382-exec-2'), ('38:15', 'task-simulation-92c67893e0db4382-exec-3'), ('38:16', 'task-simulation-92c67893e0db4382-exec-1'), ('38:16', 'task-simulation-92c67893e0db4382-exec-2'), ('38:16', 'task-simulation-92c67893e0db4382-exec-3'), ('38:17', 'task-simulation-92c67893e0db4382-exec-4'), ('38:18', 'task-simulation-92c67893e0db4382-exec-1'), ('38:18', 'task-simulation-92c67893e0db4382-exec-2'), ('38:19', 'task-simulation-92c67893e0db4382-exec-3'), ('38:19', 'task-simulation-92c67893e0db4382-exec-4')]"
2,2024-12-19 21:38:14.397864,2024-12-19 21:38:51.197224,84.63900000000004,"[('38:33', 'task-simulation-7ba81793e0db9372-exec-1'), ('38:34', 'task-simulation-7ba81793e0db9372-exec-1'), ('38:35', 'task-simulation-7ba81793e0db9372-exec-1'), ('38:36', 'task-simulation-7ba81793e0db9372-exec-2'), ('38:37', 'task-simulation-7ba81793e0db9372-exec-1'), ('38:37', 'task-simulation-7ba81793e0db9372-exec-2'), ('38:38', 'task-simulation-7ba81793e0db9372-exec-1'), ('38:39', 'task-simulation-7ba81793e0db9372-exec-2'), ('38:40', 'task-simulation-7ba81793e0db9372-exec-1'), ('38:40', 'task-simulation-7ba81793e0db9372-exec-2'), ('38:42', 'task-simulation-7ba81793e0db9372-exec-1'), ('38:42', 'task-simulation-7ba81793e0db9372-exec-2'), ('38:43', 'task-simulation-7ba81793e0db9372-exec-1'), ('38:43', 'task-simulation-7ba81793e0db9372-exec-2'), ('38:45', 'task-simulation-7ba81793e0db9372-exec-1'), ('38:45', 'task-simulation-7ba81793e0db9372-exec-2'), ('38:46', 'task-simulation-7ba81793e0db9372-exec-1'), ('38:46', 'task-simulation-7ba81793e0db9372-exec-2')]"
3,2024-12-19 21:39:17.471507,2024-12-19 21:39:45.421770,14.124,"[('39:37', 'task-simulation-ab773f93e0dc8d93-exec-1'), ('39:38', 'task-simulation-ab773f93e0dc8d93-exec-1'), ('39:40', 'task-simulation-ab773f93e0dc8d93-exec-1')]"
4,2024-12-19 21:39:18.622171,2024-12-19 21:39:47.886896,18.832,"[('39:38', 'task-simulation-d8f5f493e0dc924a-exec-1'), ('39:40', 'task-simulation-d8f5f493e0dc924a-exec-1'), ('39:41', 'task-simulation-d8f5f493e0dc924a-exec-1'), ('39:43', 'task-simulation-d8f5f493e0dc924a-exec-1')]"
5,2024-12-19 21:39:24.655720,2024-12-19 21:40:03.455734,112.99199999999998,"[('39:46', 'task-simulation-b4c19c93e0dcab69-exec-1'), ('39:48', 'task-simulation-b4c19c93e0dcab69-exec-1'), ('39:48', 'task-simulation-b4c19c93e0dcab69-exec-2'), ('39:48', 'task-simulation-b4c19c93e0dcab69-exec-3'), ('39:50', 'task-simulation-b4c19c93e0dcab69-exec-1'), ('39:50', 'task-simulation-b4c19c93e0dcab69-exec-2'), ('39:50', 'task-simulation-b4c19c93e0dcab69-exec-3'), ('39:50', 'task-simulation-b4c19c93e0dcab69-exec-4'), ('39:52', 'task-simulation-b4c19c93e0dcab69-exec-1'), ('39:52', 'task-simulation-b4c19c93e0dcab69-exec-2'), ('39:52', 'task-simulation-b4c19c93e0dcab69-exec-3'), ('39:52', 'task-simulation-b4c19c93e0dcab69-exec-4'), ('39:54', 'task-simulation-b4c19c93e0dcab69-exec-1'), ('39:54', 'task-simulation-b4c19c93e0dcab69-exec-2'), ('39:54', 'task-simulation-b4c19c93e0dcab69-exec-3'), ('39:54', 'task-simulation-b4c19c93e0dcab69-exec-4'), ('39:56', 'task-simulation-b4c19c93e0dcab69-exec-1'), ('39:56', 'task-simulation-b4c19c93e0dcab69-exec-2'), ('39:56', 'task-simulation-b4c19c93e0dcab69-exec-3'), ('39:56', 'task-simulation-b4c19c93e0dcab69-exec-4'), ('39:58', 'task-simulation-b4c19c93e0dcab69-exec-1'), ('39:58', 'task-simulation-b4c19c93e0dcab69-exec-2'), ('39:58', 'task-simulation-b4c19c93e0dcab69-exec-3'), ('39:59', 'task-simulation-b4c19c93e0dcab69-exec-4')]"
6,2024-12-19 21:39:28.457269,2024-12-19 21:39:55.986903,9.416,"[('39:48', 'task-simulation-c83c6993e0dcb474-exec-1'), ('39:50', 'task-simulation-c83c6993e0dcb474-exec-1')]"
7,2024-12-19 21:40:03.464458,2024-12-19 21:40:30.776082,18.875999999999998,"[('40:21', 'task-simulation-de9b5493e0dd3c29-exec-1'), ('40:23', 'task-simulation-de9b5493e0dd3c29-exec-1'), ('40:24', 'task-simulation-de9b5493e0dd3c29-exec-1'), ('40:25', 'task-simulation-de9b5493e0dd3c29-exec-1')]"
8,2024-12-19 21:40:08.168231,2024-12-19 21:40:37.104759,14.156999999999998,"[('40:29', 'task-simulation-5aa26393e0dd56d8-exec-1'), ('40:31', 'task-simulation-5aa26393e0dd56d8-exec-1'), ('40:32', 'task-simulation-5aa26393e0dd56d8-exec-1')]"
9,2024-12-19 21:40:10.575292,2024-12-19 21:40:46.751086,75.50399999999999,"[('40:29', 'task-simulation-aa949093e0dd5bb2-exec-1'), ('40:31', 'task-simulation-aa949093e0dd5bb2-exec-1'), ('40:32', 'task-simulation-aa949093e0dd5bb2-exec-1'), ('40:33', 'task-simulation-aa949093e0dd5bb2-exec-2'), ('40:34', 'task-simulation-aa949093e0dd5bb2-exec-1'), ('40:34', 'task-simulation-aa949093e0dd5bb2-exec-2'), ('40:35', 'task-simulation-aa949093e0dd5bb2-exec-1'), ('40:36', 'task-simulation-aa949093e0dd5bb2-exec-2'), ('40:37', 'task-simulation-aa949093e0dd5bb2-exec-1'), ('40:37', 'task-simulation-aa949093e0dd5bb2-exec-2'), ('40:38', 'task-simulation-aa949093e0dd5bb2-exec-1'), ('40:39', 'task-simulation-aa949093e0dd5bb2-exec-2'), ('40:40', 'task-simulation-aa949093e0dd5bb2-exec-1'), ('40:40', 'task-simulation-aa949093e0dd5bb2-exec-2'), ('40:42', 'task-simulation-aa949093e0dd5bb2-exec-1'), ('40:42', 'task-simulation-aa949093e0dd5bb2-exec-2')]"
10,2024-12-19 21:41:32.318360,2024-12-19 21:42:11.823299,132.25466666666662,"[('41:52', 'task-simulation-f3b17493e0de99a9-exec-1'), ('41:53', 'task-simulation-f3b17493e0de99a9-exec-1'), ('41:54', 'task-simulation-f3b17493e0de99a9-exec-2'), ('41:54', 'task-simulation-f3b17493e0de99a9-exec-3'), ('41:55', 'task-simulation-f3b17493e0de99a9-exec-1'), ('41:55', 'task-simulation-f3b17493e0de99a9-exec-2'), ('41:56', 'task-simulation-f3b17493e0de99a9-exec-3'), ('41:56', 'task-simulation-f3b17493e0de99a9-exec-4'), ('41:57', 'task-simulation-f3b17493e0de99a9-exec-1'), ('41:57', 'task-simulation-f3b17493e0de99a9-exec-2'), ('41:58', 'task-simulation-f3b17493e0de99a9-exec-3'), ('41:58', 'task-simulation-f3b17493e0de99a9-exec-4'), ('41:59', 'task-simulation-f3b17493e0de99a9-exec-1'), ('41:59', 'task-simulation-f3b17493e0de99a9-exec-2'), ('42:00', 'task-simulation-f3b17493e0de99a9-exec-3'), ('42:00', 'task-simulation-f3b17493e0de99a9-exec-4'), ('42:01', 'task-simulation-f3b17493e0de99a9-exec-1'), ('42:01', 'task-simulation-f3b17493e0de99a9-exec-2'), ('42:01', 'task-simulation-f3b17493e0de99a9-exec-3'), ('42:02', 'task-simulation-f3b17493e0de99a9-exec-4'), ('42:03', 'task-simulation-f3b17493e0de99a9-exec-1'), ('42:03', 'task-simulation-f3b17493e0de99a9-exec-2'), ('42:04', 'task-simulation-f3b17493e0de99a9-exec-3'), ('42:04', 'task-simulation-f3b17493e0de99a9-exec-4'), ('42:06', 'task-simulation-f3b17493e0de99a9-exec-1'), ('42:06', 'task-simulation-f3b17493e0de99a9-exec-2'), ('42:06', 'task-simulation-f3b17493e0de99a9-exec-3'), ('42:06', 'task-simulation-f3b17493e0de99a9-exec-4')]"
11,2024-12-19 21:41:44.997748,2024-12-19 21:42:21.434747,116.0323333333333,"[('42:03', 'task-simulation-47293693e0dec711-exec-1'), ('42:05', 'task-simulation-47293693e0dec711-exec-1'), ('42:05', 'task-simulation-47293693e0dec711-exec-2'), ('42:06', 'task-simulation-47293693e0dec711-exec-3'), ('42:08', 'task-simulation-47293693e0dec711-exec-1'), ('42:08', 'task-simulation-47293693e0dec711-exec-2'), ('42:08', 'task-simulation-47293693e0dec711-exec-3'), ('42:08', 'task-simulation-47293693e0dec711-exec-4'), ('42:10', 'task-simulation-47293693e0dec711-exec-1'), ('42:10', 'task-simulation-47293693e0dec711-exec-2'), ('42:10', 'task-simulation-47293693e0dec711-exec-3'), ('42:10', 'task-simulation-47293693e0dec711-exec-4'), ('42:12', 'task-simulation-47293693e0dec711-exec-1'), ('42:12', 'task-simulation-47293693e0dec711-exec-2'), ('42:12', 'task-simulation-47293693e0dec711-exec-3'), ('42:12', 'task-simulation-47293693e0dec711-exec-4'), ('42:14', 'task-simulation-47293693e0dec711-exec-1'), ('42:14', 'task-simulation-47293693e0dec711-exec-2'), ('42:14', 'task-simulation-47293693e0dec711-exec-3'), ('42:14', 'task-simulation-47293693e0dec711-exec-4'), ('42:16', 'task-simulation-47293693e0dec711-exec-1'), ('42:16', 'task-simulation-47293693e0dec711-exec-2'), ('42:16', 'task-simulation-47293693e0dec711-exec-3'), ('42:16', 'task-simulation-47293693e0dec711-exec-4')]"
12,2024-12-19 21:43:12.797138,2024-12-19 21:43:40.207427,19.156666666666666,"[('43:31', 'task-simulation-bc5e3393e0e02064-exec-1'), ('43:32', 'task-simulation-bc5e3393e0e02064-exec-1'), ('43:34', 'task-simulation-bc5e3393e0e02064-exec-1'), ('43:35', 'task-simulation-bc5e3393e0e02064-exec-1')]"
13,2024-12-19 21:44:40.912760,2024-12-19 21:45:09.598853,17.506666666666668,"[('44:59', 'task-simulation-2fb3a293e0e17821-exec-1'), ('45:01', 'task-simulation-2fb3a293e0e17821-exec-1'), ('45:02', 'task-simulation-2fb3a293e0e17821-exec-1'), ('45:03', 'task-simulation-2fb3a293e0e17821-exec-1'), ('45:05', 'task-simulation-2fb3a293e0e17821-exec-1')]"
14,2024-12-19 21:45:42.897873,2024-12-19 21:46:16.203745,29.58600000000001,"[('46:03', 'task-simulation-4a887293e0e26a55-exec-1'), ('46:04', 'task-simulation-4a887293e0e26a55-exec-1'), ('46:04', 'task-simulation-4a887293e0e26a55-exec-2'), ('46:04', 'task-simulation-4a887293e0e26a55-exec-3'), ('46:06', 'task-simulation-4a887293e0e26a55-exec-1'), ('46:06', 'task-simulation-4a887293e0e26a55-exec-2'), ('46:06', 'task-simulation-4a887293e0e26a55-exec-3'), ('46:07', 'task-simulation-4a887293e0e26a55-exec-1'), ('46:08', 'task-simulation-4a887293e0e26a55-exec-2'), ('46:08', 'task-simulation-4a887293e0e26a55-exec-3'), ('46:09', 'task-simulation-4a887293e0e26a55-exec-1'), ('46:09', 'task-simulation-4a887293e0e26a55-exec-2'), ('46:10', 'task-simulation-4a887293e0e26a55-exec-3')]"
15,2024-12-19 21:45:49.898860,2024-12-19 21:46:17.381149,6.614000000000001,"[('46:08', 'task-simulation-a118f693e0e28335-exec-1'), ('46:10', 'task-simulation-a118f693e0e28335-exec-1'), ('46:11', 'task-simulation-a118f693e0e28335-exec-1')]"
16,2024-12-19 21:46:21.957182,2024-12-19 21:46:49.081719,6.614000000000001,"[('46:40', 'task-simulation-7a087a93e0e3013d-exec-1'), ('46:42', 'task-simulation-7a087a93e0e3013d-exec-1'), ('46:43', 'task-simulation-7a087a93e0e3013d-exec-1')]"
17,2024-12-19 21:47:54.564449,2024-12-19 21:48:21.491226,8.629999999999999,"[('48:12', 'task-simulation-9b4dbe93e0e46a3c-exec-1'), ('48:13', 'task-simulation-9b4dbe93e0e46a3c-exec-1'), ('48:15', 'task-simulation-9b4dbe93e0e46a3c-exec-1'), ('48:16', 'task-simulation-9b4dbe93e0e46a3c-exec-1')]"
18,2024-12-19 21:48:13.414293,2024-12-19 21:48:41.834431,6.472499999999999,"[('48:32', 'task-simulation-5e690c93e0e4b809-exec-1'), ('48:34', 'task-simulation-5e690c93e0e4b809-exec-1'), ('48:35', 'task-simulation-5e690c93e0e4b809-exec-1')]"
