,job_id,start_time,carbon_footprint,executors,duration
0,0,2024-12-31 00:14:34.219981,32.333333333333336,"[('27:59', 'task-simulation-a24507941a1caa0a-exec-1'), ('28:01', 'task-simulation-a24507941a1caa0a-exec-1'), ('28:02', 'task-simulation-a24507941a1caa0a-exec-1'), ('28:04', 'task-simulation-a24507941a1caa0a-exec-1')]",0 days 00:00:36.492529
1,1,2024-12-31 00:14:55.120597,32.333333333333336,"[('28:06', 'task-simulation-db6b6c941a1cc23e-exec-1'), ('28:07', 'task-simulation-db6b6c941a1cc23e-exec-1'), ('28:09', 'task-simulation-db6b6c941a1cc23e-exec-1'), ('28:10', 'task-simulation-db6b6c941a1cc23e-exec-1')]",0 days 00:00:28.281295
2,2,2024-12-31 00:15:00.308624,683.9798333333323,"[('28:53', 'task-simulation-73526f941a1d7bd1-exec-1'), ('28:55', 'task-simulation-73526f941a1d7bd1-exec-1'), ('28:55', 'task-simulation-73526f941a1d7bd1-exec-2'), ('28:57', 'task-simulation-73526f941a1d7bd1-exec-1'), ('28:57', 'task-simulation-73526f941a1d7bd1-exec-2'), ('28:57', 'task-simulation-73526f941a1d7bd1-exec-3'), ('28:57', 'task-simulation-73526f941a1d7bd1-exec-5'), ('28:58', 'task-simulation-73526f941a1d7bd1-exec-6'), ('28:58', 'task-simulation-73526f941a1d7bd1-exec-7'), ('28:59', 'task-simulation-73526f941a1d7bd1-exec-1'), ('29:00', 'task-simulation-73526f941a1d7bd1-exec-2'), ('29:00', 'task-simulation-73526f941a1d7bd1-exec-3'), ('29:00', 'task-simulation-73526f941a1d7bd1-exec-4'), ('29:01', 'task-simulation-73526f941a1d7bd1-exec-5'), ('29:01', 'task-simulation-73526f941a1d7bd1-exec-6'), ('29:01', 'task-simulation-73526f941a1d7bd1-exec-7'), ('29:01', 'task-simulation-73526f941a1d7bd1-exec-8'), ('29:03', 'task-simulation-73526f941a1d7bd1-exec-1'), ('29:03', 'task-simulation-73526f941a1d7bd1-exec-2'), ('29:04', 'task-simulation-73526f941a1d7bd1-exec-3'), ('29:04', 'task-simulation-73526f941a1d7bd1-exec-4'), ('29:04', 'task-simulation-73526f941a1d7bd1-exec-5'), ('29:04', 'task-simulation-73526f941a1d7bd1-exec-6'), ('29:05', 'task-simulation-73526f941a1d7bd1-exec-7'), ('29:05', 'task-simulation-73526f941a1d7bd1-exec-8'), ('29:06', 'task-simulation-73526f941a1d7bd1-exec-1'), ('29:07', 'task-simulation-73526f941a1d7bd1-exec-2'), ('29:07', 'task-simulation-73526f941a1d7bd1-exec-3'), ('29:07', 'task-simulation-73526f941a1d7bd1-exec-4'), ('29:07', 'task-simulation-73526f941a1d7bd1-exec-5'), ('29:08', 'task-simulation-73526f941a1d7bd1-exec-6'), ('29:08', 'task-simulation-73526f941a1d7bd1-exec-7'), ('29:08', 'task-simulation-73526f941a1d7bd1-exec-8'), ('29:10', 'task-simulation-73526f941a1d7bd1-exec-1'), ('29:10', 'task-simulation-73526f941a1d7bd1-exec-2'), ('29:10', 'task-simulation-73526f941a1d7bd1-exec-3'), ('29:11', 'task-simulation-73526f941a1d7bd1-exec-4'), ('29:11', 'task-simulation-73526f941a1d7bd1-exec-5'), ('29:11', 'task-simulation-73526f941a1d7bd1-exec-6'), ('29:11', 'task-simulation-73526f941a1d7bd1-exec-7'), ('29:12', 'task-simulation-73526f941a1d7bd1-exec-8'), ('29:13', 'task-simulation-73526f941a1d7bd1-exec-1'), ('29:13', 'task-simulation-73526f941a1d7bd1-exec-2'), ('29:14', 'task-simulation-73526f941a1d7bd1-exec-3'), ('29:14', 'task-simulation-73526f941a1d7bd1-exec-4'), ('29:14', 'task-simulation-73526f941a1d7bd1-exec-5'), ('29:15', 'task-simulation-73526f941a1d7bd1-exec-6'), ('29:15', 'task-simulation-73526f941a1d7bd1-exec-7'), ('29:15', 'task-simulation-73526f941a1d7bd1-exec-8'), ('29:17', 'task-simulation-73526f941a1d7bd1-exec-1'), ('29:17', 'task-simulation-73526f941a1d7bd1-exec-2'), ('29:17', 'task-simulation-73526f941a1d7bd1-exec-3'), ('29:18', 'task-simulation-73526f941a1d7bd1-exec-4'), ('29:18', 'task-simulation-73526f941a1d7bd1-exec-5'), ('29:19', 'task-simulation-73526f941a1d7bd1-exec-6'), ('29:19', 'task-simulation-73526f941a1d7bd1-exec-7'), ('29:19', 'task-simulation-73526f941a1d7bd1-exec-8'), ('29:21', 'task-simulation-73526f941a1d7bd1-exec-1'), ('29:21', 'task-simulation-73526f941a1d7bd1-exec-2'), ('29:21', 'task-simulation-73526f941a1d7bd1-exec-3'), ('29:22', 'task-simulation-73526f941a1d7bd1-exec-4'), ('29:22', 'task-simulation-73526f941a1d7bd1-exec-5'), ('29:22', 'task-simulation-73526f941a1d7bd1-exec-6'), ('29:23', 'task-simulation-73526f941a1d7bd1-exec-7'), ('29:23', 'task-simulation-73526f941a1d7bd1-exec-8'), ('29:26', 'task-simulation-73526f941a1d7bd1-exec-1'), ('29:26', 'task-simulation-73526f941a1d7bd1-exec-2'), ('29:26', 'task-simulation-73526f941a1d7bd1-exec-3'), ('29:26', 'task-simulation-73526f941a1d7bd1-exec-4'), ('29:27', 'task-simulation-73526f941a1d7bd1-exec-5'), ('29:27', 'task-simulation-73526f941a1d7bd1-exec-6'), ('29:27', 'task-simulation-73526f941a1d7bd1-exec-7'), ('29:27', 'task-simulation-73526f941a1d7bd1-exec-8'), ('29:30', 'task-simulation-73526f941a1d7bd1-exec-1'), ('29:31', 'task-simulation-73526f941a1d7bd1-exec-2'), ('29:31', 'task-simulation-73526f941a1d7bd1-exec-3'), ('29:31', 'task-simulation-73526f941a1d7bd1-exec-4'), ('29:31', 'task-simulation-73526f941a1d7bd1-exec-5'), ('29:32', 'task-simulation-73526f941a1d7bd1-exec-6'), ('29:32', 'task-simulation-73526f941a1d7bd1-exec-7'), ('29:32', 'task-simulation-73526f941a1d7bd1-exec-8'), ('29:36', 'task-simulation-73526f941a1d7bd1-exec-1'), ('29:36', 'task-simulation-73526f941a1d7bd1-exec-2'), ('29:36', 'task-simulation-73526f941a1d7bd1-exec-3'), ('29:37', 'task-simulation-73526f941a1d7bd1-exec-4'), ('29:37', 'task-simulation-73526f941a1d7bd1-exec-5'), ('29:38', 'task-simulation-73526f941a1d7bd1-exec-6'), ('29:38', 'task-simulation-73526f941a1d7bd1-exec-7'), ('29:38', 'task-simulation-73526f941a1d7bd1-exec-8')]",0 days 00:00:27.004927
3,3,2024-12-31 00:15:09.594004,7.685166666666667,"[('29:13', 'task-simulation-0b631d941a1dbb92-exec-1')]",0 days 00:00:27.803857
4,4,2024-12-31 00:15:20.346265,122.96266666666662,"[('29:23', 'task-simulation-f9a5fe941a1ddc69-exec-1'), ('29:24', 'task-simulation-f9a5fe941a1ddc69-exec-2'), ('29:24', 'task-simulation-f9a5fe941a1ddc69-exec-3'), ('29:24', 'task-simulation-f9a5fe941a1ddc69-exec-5'), ('29:28', 'task-simulation-f9a5fe941a1ddc69-exec-1'), ('29:28', 'task-simulation-f9a5fe941a1ddc69-exec-2'), ('29:28', 'task-simulation-f9a5fe941a1ddc69-exec-3'), ('29:29', 'task-simulation-f9a5fe941a1ddc69-exec-4'), ('29:29', 'task-simulation-f9a5fe941a1ddc69-exec-5'), ('29:29', 'task-simulation-f9a5fe941a1ddc69-exec-6'), ('29:32', 'task-simulation-f9a5fe941a1ddc69-exec-1'), ('29:33', 'task-simulation-f9a5fe941a1ddc69-exec-2'), ('29:33', 'task-simulation-f9a5fe941a1ddc69-exec-3'), ('29:33', 'task-simulation-f9a5fe941a1ddc69-exec-4'), ('29:33', 'task-simulation-f9a5fe941a1ddc69-exec-5'), ('29:34', 'task-simulation-f9a5fe941a1ddc69-exec-6')]",0 days 00:00:40.285328
5,5,2024-12-31 00:15:47.964252,147.82516666666672,"[('29:39', 'task-simulation-d62b28941a1e1a6f-exec-1'), ('29:41', 'task-simulation-d62b28941a1e1a6f-exec-1'), ('29:42', 'task-simulation-d62b28941a1e1a6f-exec-2'), ('29:42', 'task-simulation-d62b28941a1e1a6f-exec-3'), ('29:42', 'task-simulation-d62b28941a1e1a6f-exec-4'), ('29:42', 'task-simulation-d62b28941a1e1a6f-exec-5'), ('29:43', 'task-simulation-d62b28941a1e1a6f-exec-6'), ('29:43', 'task-simulation-d62b28941a1e1a6f-exec-7'), ('29:45', 'task-simulation-d62b28941a1e1a6f-exec-1'), ('29:45', 'task-simulation-d62b28941a1e1a6f-exec-2'), ('29:45', 'task-simulation-d62b28941a1e1a6f-exec-3'), ('29:46', 'task-simulation-d62b28941a1e1a6f-exec-4'), ('29:46', 'task-simulation-d62b28941a1e1a6f-exec-5'), ('29:46', 'task-simulation-d62b28941a1e1a6f-exec-6'), ('29:47', 'task-simulation-d62b28941a1e1a6f-exec-7'), ('29:48', 'task-simulation-d62b28941a1e1a6f-exec-1'), ('29:49', 'task-simulation-d62b28941a1e1a6f-exec-2'), ('29:49', 'task-simulation-d62b28941a1e1a6f-exec-3'), ('29:50', 'task-simulation-d62b28941a1e1a6f-exec-4'), ('29:50', 'task-simulation-d62b28941a1e1a6f-exec-5'), ('29:50', 'task-simulation-d62b28941a1e1a6f-exec-6')]",0 days 00:00:28.323499
6,6,2024-12-31 00:15:50.285758,7.685166666666667,"[('29:36', 'task-simulation-2c896d941a1e22a6-exec-1')]",0 days 00:00:50.169057
7,7,2024-12-31 00:16:04.036419,217.2170000000001,"[('29:52', 'task-simulation-94196e941a1e5a35-exec-1'), ('29:53', 'task-simulation-94196e941a1e5a35-exec-2'), ('29:53', 'task-simulation-94196e941a1e5a35-exec-3'), ('29:54', 'task-simulation-94196e941a1e5a35-exec-1'), ('29:54', 'task-simulation-94196e941a1e5a35-exec-2'), ('29:55', 'task-simulation-94196e941a1e5a35-exec-3'), ('29:55', 'task-simulation-94196e941a1e5a35-exec-4'), ('29:55', 'task-simulation-94196e941a1e5a35-exec-5'), ('29:56', 'task-simulation-94196e941a1e5a35-exec-6'), ('29:56', 'task-simulation-94196e941a1e5a35-exec-7'), ('29:57', 'task-simulation-94196e941a1e5a35-exec-1'), ('29:57', 'task-simulation-94196e941a1e5a35-exec-2'), ('29:58', 'task-simulation-94196e941a1e5a35-exec-3'), ('29:58', 'task-simulation-94196e941a1e5a35-exec-4'), ('29:58', 'task-simulation-94196e941a1e5a35-exec-5'), ('29:58', 'task-simulation-94196e941a1e5a35-exec-6'), ('29:59', 'task-simulation-94196e941a1e5a35-exec-7'), ('30:00', 'task-simulation-94196e941a1e5a35-exec-1'), ('30:00', 'task-simulation-94196e941a1e5a35-exec-2'), ('30:01', 'task-simulation-94196e941a1e5a35-exec-3'), ('30:01', 'task-simulation-94196e941a1e5a35-exec-4'), ('30:01', 'task-simulation-94196e941a1e5a35-exec-5'), ('30:01', 'task-simulation-94196e941a1e5a35-exec-6'), ('30:01', 'task-simulation-94196e941a1e5a35-exec-7'), ('30:03', 'task-simulation-94196e941a1e5a35-exec-1'), ('30:03', 'task-simulation-94196e941a1e5a35-exec-2'), ('30:04', 'task-simulation-94196e941a1e5a35-exec-3'), ('30:04', 'task-simulation-94196e941a1e5a35-exec-4'), ('30:04', 'task-simulation-94196e941a1e5a35-exec-5'), ('30:04', 'task-simulation-94196e941a1e5a35-exec-6'), ('30:05', 'task-simulation-94196e941a1e5a35-exec-7')]",0 days 00:00:27.891419
8,8,2024-12-31 00:16:06.301699,615.4629999999996,"[('30:03', 'task-simulation-7be17b941a1e828e-exec-1'), ('30:06', 'task-simulation-7be17b941a1e828e-exec-1'), ('30:06', 'task-simulation-7be17b941a1e828e-exec-2'), ('30:07', 'task-simulation-7be17b941a1e828e-exec-3'), ('30:07', 'task-simulation-7be17b941a1e828e-exec-4'), ('30:07', 'task-simulation-7be17b941a1e828e-exec-5'), ('30:07', 'task-simulation-7be17b941a1e828e-exec-6'), ('30:08', 'task-simulation-7be17b941a1e828e-exec-7'), ('30:08', 'task-simulation-7be17b941a1e828e-exec-8'), ('30:10', 'task-simulation-7be17b941a1e828e-exec-1'), ('30:10', 'task-simulation-7be17b941a1e828e-exec-2'), ('30:11', 'task-simulation-7be17b941a1e828e-exec-3'), ('30:11', 'task-simulation-7be17b941a1e828e-exec-4'), ('30:11', 'task-simulation-7be17b941a1e828e-exec-5'), ('30:11', 'task-simulation-7be17b941a1e828e-exec-6'), ('30:12', 'task-simulation-7be17b941a1e828e-exec-7'), ('30:12', 'task-simulation-7be17b941a1e828e-exec-8'), ('30:15', 'task-simulation-7be17b941a1e828e-exec-1'), ('30:15', 'task-simulation-7be17b941a1e828e-exec-2'), ('30:16', 'task-simulation-7be17b941a1e828e-exec-3'), ('30:16', 'task-simulation-7be17b941a1e828e-exec-4'), ('30:16', 'task-simulation-7be17b941a1e828e-exec-5'), ('30:16', 'task-simulation-7be17b941a1e828e-exec-6'), ('30:17', 'task-simulation-7be17b941a1e828e-exec-7'), ('30:17', 'task-simulation-7be17b941a1e828e-exec-8'), ('30:20', 'task-simulation-7be17b941a1e828e-exec-1'), ('30:20', 'task-simulation-7be17b941a1e828e-exec-2'), ('30:20', 'task-simulation-7be17b941a1e828e-exec-3'), ('30:21', 'task-simulation-7be17b941a1e828e-exec-4'), ('30:21', 'task-simulation-7be17b941a1e828e-exec-5'), ('30:21', 'task-simulation-7be17b941a1e828e-exec-6'), ('30:21', 'task-simulation-7be17b941a1e828e-exec-7'), ('30:22', 'task-simulation-7be17b941a1e828e-exec-8'), ('30:24', 'task-simulation-7be17b941a1e828e-exec-1'), ('30:25', 'task-simulation-7be17b941a1e828e-exec-2'), ('30:25', 'task-simulation-7be17b941a1e828e-exec-3'), ('30:25', 'task-simulation-7be17b941a1e828e-exec-4'), ('30:25', 'task-simulation-7be17b941a1e828e-exec-5'), ('30:26', 'task-simulation-7be17b941a1e828e-exec-6'), ('30:26', 'task-simulation-7be17b941a1e828e-exec-7'), ('30:26', 'task-simulation-7be17b941a1e828e-exec-8'), ('30:28', 'task-simulation-7be17b941a1e828e-exec-1'), ('30:28', 'task-simulation-7be17b941a1e828e-exec-2'), ('30:28', 'task-simulation-7be17b941a1e828e-exec-3'), ('30:28', 'task-simulation-7be17b941a1e828e-exec-4'), ('30:29', 'task-simulation-7be17b941a1e828e-exec-5'), ('30:29', 'task-simulation-7be17b941a1e828e-exec-6'), ('30:29', 'task-simulation-7be17b941a1e828e-exec-7'), ('30:29', 'task-simulation-7be17b941a1e828e-exec-8'), ('30:31', 'task-simulation-7be17b941a1e828e-exec-1'), ('30:31', 'task-simulation-7be17b941a1e828e-exec-2'), ('30:31', 'task-simulation-7be17b941a1e828e-exec-3'), ('30:32', 'task-simulation-7be17b941a1e828e-exec-4'), ('30:32', 'task-simulation-7be17b941a1e828e-exec-5'), ('30:32', 'task-simulation-7be17b941a1e828e-exec-6'), ('30:33', 'task-simulation-7be17b941a1e828e-exec-7'), ('30:33', 'task-simulation-7be17b941a1e828e-exec-8'), ('30:34', 'task-simulation-7be17b941a1e828e-exec-1'), ('30:35', 'task-simulation-7be17b941a1e828e-exec-2'), ('30:35', 'task-simulation-7be17b941a1e828e-exec-3'), ('30:35', 'task-simulation-7be17b941a1e828e-exec-4'), ('30:35', 'task-simulation-7be17b941a1e828e-exec-5'), ('30:36', 'task-simulation-7be17b941a1e828e-exec-6'), ('30:36', 'task-simulation-7be17b941a1e828e-exec-7'), ('30:36', 'task-simulation-7be17b941a1e828e-exec-8'), ('30:38', 'task-simulation-7be17b941a1e828e-exec-1'), ('30:38', 'task-simulation-7be17b941a1e828e-exec-2'), ('30:38', 'task-simulation-7be17b941a1e828e-exec-3'), ('30:38', 'task-simulation-7be17b941a1e828e-exec-4'), ('30:39', 'task-simulation-7be17b941a1e828e-exec-5'), ('30:39', 'task-simulation-7be17b941a1e828e-exec-6'), ('30:39', 'task-simulation-7be17b941a1e828e-exec-7'), ('30:40', 'task-simulation-7be17b941a1e828e-exec-8'), ('30:41', 'task-simulation-7be17b941a1e828e-exec-1'), ('30:41', 'task-simulation-7be17b941a1e828e-exec-2'), ('30:42', 'task-simulation-7be17b941a1e828e-exec-3'), ('30:42', 'task-simulation-7be17b941a1e828e-exec-4'), ('30:42', 'task-simulation-7be17b941a1e828e-exec-5'), ('30:42', 'task-simulation-7be17b941a1e828e-exec-6'), ('30:43', 'task-simulation-7be17b941a1e828e-exec-7'), ('30:43', 'task-simulation-7be17b941a1e828e-exec-8'), ('30:44', 'task-simulation-7be17b941a1e828e-exec-1'), ('30:44', 'task-simulation-7be17b941a1e828e-exec-2'), ('30:45', 'task-simulation-7be17b941a1e828e-exec-3'), ('30:45', 'task-simulation-7be17b941a1e828e-exec-4'), ('30:45', 'task-simulation-7be17b941a1e828e-exec-5'), ('30:45', 'task-simulation-7be17b941a1e828e-exec-6'), ('30:46', 'task-simulation-7be17b941a1e828e-exec-7'), ('30:46', 'task-simulation-7be17b941a1e828e-exec-8')]",0 days 00:00:43.781138
9,9,2024-12-31 00:16:13.940198,133.13300000000004,"[('30:08', 'task-simulation-c00ab8941a1e914f-exec-1'), ('30:08', 'task-simulation-c00ab8941a1e914f-exec-2'), ('30:09', 'task-simulation-c00ab8941a1e914f-exec-3'), ('30:12', 'task-simulation-c00ab8941a1e914f-exec-1'), ('30:12', 'task-simulation-c00ab8941a1e914f-exec-2'), ('30:13', 'task-simulation-c00ab8941a1e914f-exec-3'), ('30:13', 'task-simulation-c00ab8941a1e914f-exec-4'), ('30:13', 'task-simulation-c00ab8941a1e914f-exec-5'), ('30:13', 'task-simulation-c00ab8941a1e914f-exec-6'), ('30:14', 'task-simulation-c00ab8941a1e914f-exec-7'), ('30:17', 'task-simulation-c00ab8941a1e914f-exec-1'), ('30:17', 'task-simulation-c00ab8941a1e914f-exec-2'), ('30:18', 'task-simulation-c00ab8941a1e914f-exec-3'), ('30:18', 'task-simulation-c00ab8941a1e914f-exec-4'), ('30:18', 'task-simulation-c00ab8941a1e914f-exec-5'), ('30:18', 'task-simulation-c00ab8941a1e914f-exec-6'), ('30:19', 'task-simulation-c00ab8941a1e914f-exec-7'), ('30:22', 'task-simulation-c00ab8941a1e914f-exec-1'), ('30:22', 'task-simulation-c00ab8941a1e914f-exec-2')]",0 days 00:01:07.690095
