,job_id,start_time,end_time,carbon_footprint,executors,duration
0,1,2024-12-31 21:27:17.830154,2024-12-31 19:35:04.318377,37.53733333333333,"[('34:54', 'task-simulation-aaf03b941e36af6c-exec-1'), ('34:55', 'task-simulation-aaf03b941e36af6c-exec-1'), ('34:57', 'task-simulation-aaf03b941e36af6c-exec-1'), ('34:59', 'task-simulation-aaf03b941e36af6c-exec-1')]",0 days 00:00:35.450339
1,2,2024-12-31 21:27:50.280867,2024-12-31 19:35:14.893365,96.39933333333332,"[('34:56', 'task-simulation-be0015941e36b7ba-exec-1'), ('34:57', 'task-simulation-be0015941e36b7ba-exec-1'), ('34:59', 'task-simulation-be0015941e36b7ba-exec-1'), ('34:59', 'task-simulation-be0015941e36b7ba-exec-2'), ('35:03', 'task-simulation-be0015941e36b7ba-exec-1'), ('35:03', 'task-simulation-be0015941e36b7ba-exec-2'), ('35:05', 'task-simulation-be0015941e36b7ba-exec-1'), ('35:06', 'task-simulation-be0015941e36b7ba-exec-2'), ('35:08', 'task-simulation-be0015941e36b7ba-exec-1'), ('35:08', 'task-simulation-be0015941e36b7ba-exec-2')]",0 days 00:01:08.912094
2,3,2024-12-31 21:28:16.266620,2024-12-31 19:35:17.739632,350.61600000000027,"[('34:59', 'task-simulation-5d2694941e36bdf5-exec-1'), ('35:01', 'task-simulation-5d2694941e36bdf5-exec-1'), ('35:02', 'task-simulation-5d2694941e36bdf5-exec-2'), ('35:02', 'task-simulation-5d2694941e36bdf5-exec-3'), ('35:02', 'task-simulation-5d2694941e36bdf5-exec-4'), ('35:02', 'task-simulation-5d2694941e36bdf5-exec-5'), ('35:02', 'task-simulation-5d2694941e36bdf5-exec-6'), ('35:02', 'task-simulation-5d2694941e36bdf5-exec-7'), ('35:04', 'task-simulation-5d2694941e36bdf5-exec-1'), ('35:04', 'task-simulation-5d2694941e36bdf5-exec-2'), ('35:05', 'task-simulation-5d2694941e36bdf5-exec-3'), ('35:05', 'task-simulation-5d2694941e36bdf5-exec-4'), ('35:05', 'task-simulation-5d2694941e36bdf5-exec-5'), ('35:05', 'task-simulation-5d2694941e36bdf5-exec-6'), ('35:05', 'task-simulation-5d2694941e36bdf5-exec-7'), ('35:07', 'task-simulation-5d2694941e36bdf5-exec-1'), ('35:07', 'task-simulation-5d2694941e36bdf5-exec-2'), ('35:07', 'task-simulation-5d2694941e36bdf5-exec-3'), ('35:08', 'task-simulation-5d2694941e36bdf5-exec-4'), ('35:08', 'task-simulation-5d2694941e36bdf5-exec-5'), ('35:08', 'task-simulation-5d2694941e36bdf5-exec-6'), ('35:08', 'task-simulation-5d2694941e36bdf5-exec-7'), ('35:10', 'task-simulation-5d2694941e36bdf5-exec-1'), ('35:10', 'task-simulation-5d2694941e36bdf5-exec-2'), ('35:10', 'task-simulation-5d2694941e36bdf5-exec-3'), ('35:10', 'task-simulation-5d2694941e36bdf5-exec-4'), ('35:10', 'task-simulation-5d2694941e36bdf5-exec-5'), ('35:11', 'task-simulation-5d2694941e36bdf5-exec-6'), ('35:11', 'task-simulation-5d2694941e36bdf5-exec-7'), ('35:12', 'task-simulation-5d2694941e36bdf5-exec-1'), ('35:12', 'task-simulation-5d2694941e36bdf5-exec-2'), ('35:12', 'task-simulation-5d2694941e36bdf5-exec-3'), ('35:13', 'task-simulation-5d2694941e36bdf5-exec-4'), ('35:13', 'task-simulation-5d2694941e36bdf5-exec-5'), ('35:13', 'task-simulation-5d2694941e36bdf5-exec-6'), ('35:13', 'task-simulation-5d2694941e36bdf5-exec-7')]",0 days 00:00:37.503433
3,4,2024-12-31 21:28:41.573106,2024-12-31 19:35:09.935267,19.194666666666663,"[('35:01', 'task-simulation-24b90e941e36c9a3-exec-1'), ('35:04', 'task-simulation-24b90e941e36c9a3-exec-1')]",0 days 00:00:27.508481
4,5,2024-12-31 21:29:01.683273,2024-12-31 19:35:35.781916,343.3616666666669,"[('35:16', 'task-simulation-9db67a941e36ff51-exec-1'), ('35:16', 'task-simulation-9db67a941e36ff51-exec-2'), ('35:16', 'task-simulation-9db67a941e36ff51-exec-3'), ('35:18', 'task-simulation-9db67a941e36ff51-exec-1'), ('35:18', 'task-simulation-9db67a941e36ff51-exec-2'), ('35:18', 'task-simulation-9db67a941e36ff51-exec-3'), ('35:18', 'task-simulation-9db67a941e36ff51-exec-4'), ('35:19', 'task-simulation-9db67a941e36ff51-exec-1'), ('35:20', 'task-simulation-9db67a941e36ff51-exec-2'), ('35:20', 'task-simulation-9db67a941e36ff51-exec-3'), ('35:20', 'task-simulation-9db67a941e36ff51-exec-4'), ('35:21', 'task-simulation-9db67a941e36ff51-exec-1'), ('35:21', 'task-simulation-9db67a941e36ff51-exec-2'), ('35:22', 'task-simulation-9db67a941e36ff51-exec-3'), ('35:22', 'task-simulation-9db67a941e36ff51-exec-4'), ('35:23', 'task-simulation-9db67a941e36ff51-exec-1'), ('35:23', 'task-simulation-9db67a941e36ff51-exec-2'), ('35:23', 'task-simulation-9db67a941e36ff51-exec-3'), ('35:24', 'task-simulation-9db67a941e36ff51-exec-4'), ('35:25', 'task-simulation-9db67a941e36ff51-exec-1'), ('35:25', 'task-simulation-9db67a941e36ff51-exec-2'), ('35:25', 'task-simulation-9db67a941e36ff51-exec-3'), ('35:25', 'task-simulation-9db67a941e36ff51-exec-4'), ('35:27', 'task-simulation-9db67a941e36ff51-exec-1'), ('35:27', 'task-simulation-9db67a941e36ff51-exec-2'), ('35:27', 'task-simulation-9db67a941e36ff51-exec-3'), ('35:27', 'task-simulation-9db67a941e36ff51-exec-4'), ('35:28', 'task-simulation-9db67a941e36ff51-exec-1'), ('35:29', 'task-simulation-9db67a941e36ff51-exec-2'), ('35:29', 'task-simulation-9db67a941e36ff51-exec-3'), ('35:29', 'task-simulation-9db67a941e36ff51-exec-4'), ('35:30', 'task-simulation-9db67a941e36ff51-exec-1'), ('35:31', 'task-simulation-9db67a941e36ff51-exec-2'), ('35:31', 'task-simulation-9db67a941e36ff51-exec-3'), ('35:31', 'task-simulation-9db67a941e36ff51-exec-4')]",0 days 00:01:04.856925
5,6,2024-12-31 21:29:23.908564,2024-12-31 19:36:55.677677,29.573,"[('36:48', 'task-simulation-197255941e386c6a-exec-1'), ('36:49', 'task-simulation-197255941e386c6a-exec-1'), ('36:51', 'task-simulation-197255941e386c6a-exec-1')]",0 days 00:01:08.372761
6,7,2024-12-31 21:31:02.413310,2024-12-31 19:37:57.941877,40.01133333333333,"[('37:49', 'task-simulation-c917db941e395a02-exec-1'), ('37:50', 'task-simulation-c917db941e395a02-exec-1'), ('37:52', 'task-simulation-c917db941e395a02-exec-1'), ('37:53', 'task-simulation-c917db941e395a02-exec-1')]",0 days 00:00:59.459824
7,8,2024-12-31 21:32:18.163662,2024-12-31 19:38:43.156963,772.8946666666669,"[('38:14', 'task-simulation-8325c5941e39b9b1-exec-1'), ('38:15', 'task-simulation-8325c5941e39b9b1-exec-1'), ('38:15', 'task-simulation-8325c5941e39b9b1-exec-2'), ('38:15', 'task-simulation-8325c5941e39b9b1-exec-3'), ('38:17', 'task-simulation-8325c5941e39b9b1-exec-1'), ('38:17', 'task-simulation-8325c5941e39b9b1-exec-2'), ('38:17', 'task-simulation-8325c5941e39b9b1-exec-3'), ('38:17', 'task-simulation-8325c5941e39b9b1-exec-4'), ('38:17', 'task-simulation-8325c5941e39b9b1-exec-5'), ('38:18', 'task-simulation-8325c5941e39b9b1-exec-6'), ('38:18', 'task-simulation-8325c5941e39b9b1-exec-7'), ('38:18', 'task-simulation-8325c5941e39b9b1-exec-8'), ('38:19', 'task-simulation-8325c5941e39b9b1-exec-1'), ('38:19', 'task-simulation-8325c5941e39b9b1-exec-2'), ('38:20', 'task-simulation-8325c5941e39b9b1-exec-3'), ('38:20', 'task-simulation-8325c5941e39b9b1-exec-4'), ('38:20', 'task-simulation-8325c5941e39b9b1-exec-5'), ('38:20', 'task-simulation-8325c5941e39b9b1-exec-6'), ('38:20', 'task-simulation-8325c5941e39b9b1-exec-7'), ('38:21', 'task-simulation-8325c5941e39b9b1-exec-8'), ('38:22', 'task-simulation-8325c5941e39b9b1-exec-1'), ('38:22', 'task-simulation-8325c5941e39b9b1-exec-2'), ('38:22', 'task-simulation-8325c5941e39b9b1-exec-3'), ('38:22', 'task-simulation-8325c5941e39b9b1-exec-4'), ('38:23', 'task-simulation-8325c5941e39b9b1-exec-5'), ('38:23', 'task-simulation-8325c5941e39b9b1-exec-6'), ('38:23', 'task-simulation-8325c5941e39b9b1-exec-7'), ('38:23', 'task-simulation-8325c5941e39b9b1-exec-8'), ('38:24', 'task-simulation-8325c5941e39b9b1-exec-1'), ('38:25', 'task-simulation-8325c5941e39b9b1-exec-2'), ('38:25', 'task-simulation-8325c5941e39b9b1-exec-3'), ('38:25', 'task-simulation-8325c5941e39b9b1-exec-4'), ('38:25', 'task-simulation-8325c5941e39b9b1-exec-5'), ('38:25', 'task-simulation-8325c5941e39b9b1-exec-6'), ('38:25', 'task-simulation-8325c5941e39b9b1-exec-7'), ('38:26', 'task-simulation-8325c5941e39b9b1-exec-8'), ('38:27', 'task-simulation-8325c5941e39b9b1-exec-1'), ('38:27', 'task-simulation-8325c5941e39b9b1-exec-2'), ('38:27', 'task-simulation-8325c5941e39b9b1-exec-3'), ('38:28', 'task-simulation-8325c5941e39b9b1-exec-4'), ('38:28', 'task-simulation-8325c5941e39b9b1-exec-5'), ('38:28', 'task-simulation-8325c5941e39b9b1-exec-6'), ('38:28', 'task-simulation-8325c5941e39b9b1-exec-7'), ('38:29', 'task-simulation-8325c5941e39b9b1-exec-8'), ('38:30', 'task-simulation-8325c5941e39b9b1-exec-1'), ('38:30', 'task-simulation-8325c5941e39b9b1-exec-2'), ('38:30', 'task-simulation-8325c5941e39b9b1-exec-3'), ('38:31', 'task-simulation-8325c5941e39b9b1-exec-4'), ('38:31', 'task-simulation-8325c5941e39b9b1-exec-5'), ('38:31', 'task-simulation-8325c5941e39b9b1-exec-6'), ('38:31', 'task-simulation-8325c5941e39b9b1-exec-7'), ('38:31', 'task-simulation-8325c5941e39b9b1-exec-8'), ('38:33', 'task-simulation-8325c5941e39b9b1-exec-1'), ('38:33', 'task-simulation-8325c5941e39b9b1-exec-2'), ('38:33', 'task-simulation-8325c5941e39b9b1-exec-3'), ('38:33', 'task-simulation-8325c5941e39b9b1-exec-4'), ('38:33', 'task-simulation-8325c5941e39b9b1-exec-5'), ('38:34', 'task-simulation-8325c5941e39b9b1-exec-6'), ('38:34', 'task-simulation-8325c5941e39b9b1-exec-7'), ('38:34', 'task-simulation-8325c5941e39b9b1-exec-8'), ('38:35', 'task-simulation-8325c5941e39b9b1-exec-1'), ('38:35', 'task-simulation-8325c5941e39b9b1-exec-2'), ('38:36', 'task-simulation-8325c5941e39b9b1-exec-3'), ('38:36', 'task-simulation-8325c5941e39b9b1-exec-4'), ('38:36', 'task-simulation-8325c5941e39b9b1-exec-5'), ('38:36', 'task-simulation-8325c5941e39b9b1-exec-6'), ('38:36', 'task-simulation-8325c5941e39b9b1-exec-7'), ('38:36', 'task-simulation-8325c5941e39b9b1-exec-8'), ('38:38', 'task-simulation-8325c5941e39b9b1-exec-1'), ('38:38', 'task-simulation-8325c5941e39b9b1-exec-2'), ('38:38', 'task-simulation-8325c5941e39b9b1-exec-3'), ('38:38', 'task-simulation-8325c5941e39b9b1-exec-4'), ('38:39', 'task-simulation-8325c5941e39b9b1-exec-5'), ('38:39', 'task-simulation-8325c5941e39b9b1-exec-6'), ('38:39', 'task-simulation-8325c5941e39b9b1-exec-7'), ('38:39', 'task-simulation-8325c5941e39b9b1-exec-8')]",0 days 00:00:36.232830
8,9,2024-12-31 21:32:21.709313,2024-12-31 19:38:55.005459,30.509,"[('38:46', 'task-simulation-c6fb4b941e3a39fc-exec-1'), ('38:48', 'task-simulation-c6fb4b941e3a39fc-exec-1'), ('38:49', 'task-simulation-c6fb4b941e3a39fc-exec-1')]",0 days 00:00:28.808495
9,10,2024-12-31 21:32:54.698530,2024-12-31 19:39:18.713545,41.00533333333333,"[('39:10', 'task-simulation-7045f5941e3a9732-exec-1'), ('39:11', 'task-simulation-7045f5941e3a9732-exec-1'), ('39:12', 'task-simulation-7045f5941e3a9732-exec-1'), ('39:14', 'task-simulation-7045f5941e3a9732-exec-1')]",0 days 00:01:11.230878
