job_id,start_time,end_time,carbon_footprint,executors
0,2024-12-25 15:58:54.552734,2024-12-25 15:59:41.961840,651.7145,"[('59:13', 'task-simulation-ab917b93fe8b0edf-exec-1'), ('59:15', 'task-simulation-ab917b93fe8b0edf-exec-1'), ('59:15', 'task-simulation-ab917b93fe8b0edf-exec-2'), ('59:15', 'task-simulation-ab917b93fe8b0edf-exec-3'), ('59:15', 'task-simulation-ab917b93fe8b0edf-exec-4'), ('59:16', 'task-simulation-ab917b93fe8b0edf-exec-5'), ('59:17', 'task-simulation-ab917b93fe8b0edf-exec-1'), ('59:17', 'task-simulation-ab917b93fe8b0edf-exec-2'), ('59:17', 'task-simulation-ab917b93fe8b0edf-exec-3'), ('59:18', 'task-simulation-ab917b93fe8b0edf-exec-4'), ('59:18', 'task-simulation-ab917b93fe8b0edf-exec-5'), ('59:18', 'task-simulation-ab917b93fe8b0edf-exec-6'), ('59:18', 'task-simulation-ab917b93fe8b0edf-exec-7'), ('59:19', 'task-simulation-ab917b93fe8b0edf-exec-8'), ('59:20', 'task-simulation-ab917b93fe8b0edf-exec-1'), ('59:20', 'task-simulation-ab917b93fe8b0edf-exec-2'), ('59:20', 'task-simulation-ab917b93fe8b0edf-exec-3'), ('59:21', 'task-simulation-ab917b93fe8b0edf-exec-4'), ('59:21', 'task-simulation-ab917b93fe8b0edf-exec-5'), ('59:21', 'task-simulation-ab917b93fe8b0edf-exec-6'), ('59:21', 'task-simulation-ab917b93fe8b0edf-exec-7'), ('59:22', 'task-simulation-ab917b93fe8b0edf-exec-8'), ('59:23', 'task-simulation-ab917b93fe8b0edf-exec-1'), ('59:23', 'task-simulation-ab917b93fe8b0edf-exec-2'), ('59:23', 'task-simulation-ab917b93fe8b0edf-exec-3'), ('59:24', 'task-simulation-ab917b93fe8b0edf-exec-4'), ('59:24', 'task-simulation-ab917b93fe8b0edf-exec-5'), ('59:24', 'task-simulation-ab917b93fe8b0edf-exec-6'), ('59:24', 'task-simulation-ab917b93fe8b0edf-exec-7'), ('59:24', 'task-simulation-ab917b93fe8b0edf-exec-8'), ('59:27', 'task-simulation-ab917b93fe8b0edf-exec-1'), ('59:27', 'task-simulation-ab917b93fe8b0edf-exec-2'), ('59:27', 'task-simulation-ab917b93fe8b0edf-exec-3'), ('59:27', 'task-simulation-ab917b93fe8b0edf-exec-4'), ('59:27', 'task-simulation-ab917b93fe8b0edf-exec-5'), ('59:28', 'task-simulation-ab917b93fe8b0edf-exec-6'), ('59:28', 'task-simulation-ab917b93fe8b0edf-exec-7'), ('59:28', 'task-simulation-ab917b93fe8b0edf-exec-8'), ('59:31', 'task-simulation-ab917b93fe8b0edf-exec-1'), ('59:32', 'task-simulation-ab917b93fe8b0edf-exec-2'), ('59:32', 'task-simulation-ab917b93fe8b0edf-exec-3'), ('59:32', 'task-simulation-ab917b93fe8b0edf-exec-4'), ('59:32', 'task-simulation-ab917b93fe8b0edf-exec-5'), ('59:33', 'task-simulation-ab917b93fe8b0edf-exec-6'), ('59:33', 'task-simulation-ab917b93fe8b0edf-exec-7'), ('59:33', 'task-simulation-ab917b93fe8b0edf-exec-8'), ('59:36', 'task-simulation-ab917b93fe8b0edf-exec-1'), ('59:36', 'task-simulation-ab917b93fe8b0edf-exec-2'), ('59:37', 'task-simulation-ab917b93fe8b0edf-exec-3'), ('59:37', 'task-simulation-ab917b93fe8b0edf-exec-4'), ('59:37', 'task-simulation-ab917b93fe8b0edf-exec-5'), ('59:37', 'task-simulation-ab917b93fe8b0edf-exec-6'), ('59:37', 'task-simulation-ab917b93fe8b0edf-exec-7')]"
1,2024-12-25 15:59:01.466982,2024-12-25 15:59:29.649964,12.2965,"[('59:25', 'task-simulation-c385c493fe8b2e60-exec-1')]"
2,2024-12-25 15:59:05.092890,2024-12-25 15:59:53.843872,614.8249999999999,"[('59:26', 'task-simulation-8d06b893fe8b3c72-exec-1'), ('59:26', 'task-simulation-8d06b893fe8b3c72-exec-2'), ('59:30', 'task-simulation-8d06b893fe8b3c72-exec-1'), ('59:30', 'task-simulation-8d06b893fe8b3c72-exec-2'), ('59:30', 'task-simulation-8d06b893fe8b3c72-exec-3'), ('59:30', 'task-simulation-8d06b893fe8b3c72-exec-4'), ('59:31', 'task-simulation-8d06b893fe8b3c72-exec-5'), ('59:31', 'task-simulation-8d06b893fe8b3c72-exec-6'), ('59:31', 'task-simulation-8d06b893fe8b3c72-exec-7'), ('59:31', 'task-simulation-8d06b893fe8b3c72-exec-8'), ('59:34', 'task-simulation-8d06b893fe8b3c72-exec-1'), ('59:35', 'task-simulation-8d06b893fe8b3c72-exec-2'), ('59:35', 'task-simulation-8d06b893fe8b3c72-exec-3'), ('59:35', 'task-simulation-8d06b893fe8b3c72-exec-4'), ('59:35', 'task-simulation-8d06b893fe8b3c72-exec-5'), ('59:35', 'task-simulation-8d06b893fe8b3c72-exec-6'), ('59:36', 'task-simulation-8d06b893fe8b3c72-exec-7'), ('59:36', 'task-simulation-8d06b893fe8b3c72-exec-8'), ('59:39', 'task-simulation-8d06b893fe8b3c72-exec-1'), ('59:39', 'task-simulation-8d06b893fe8b3c72-exec-2'), ('59:39', 'task-simulation-8d06b893fe8b3c72-exec-3'), ('59:40', 'task-simulation-8d06b893fe8b3c72-exec-4'), ('59:40', 'task-simulation-8d06b893fe8b3c72-exec-5'), ('59:40', 'task-simulation-8d06b893fe8b3c72-exec-6'), ('59:40', 'task-simulation-8d06b893fe8b3c72-exec-7'), ('59:40', 'task-simulation-8d06b893fe8b3c72-exec-8'), ('59:42', 'task-simulation-8d06b893fe8b3c72-exec-1'), ('59:42', 'task-simulation-8d06b893fe8b3c72-exec-2'), ('59:42', 'task-simulation-8d06b893fe8b3c72-exec-3'), ('59:42', 'task-simulation-8d06b893fe8b3c72-exec-4'), ('59:43', 'task-simulation-8d06b893fe8b3c72-exec-5'), ('59:43', 'task-simulation-8d06b893fe8b3c72-exec-6'), ('59:43', 'task-simulation-8d06b893fe8b3c72-exec-7'), ('59:43', 'task-simulation-8d06b893fe8b3c72-exec-8'), ('59:45', 'task-simulation-8d06b893fe8b3c72-exec-1'), ('59:45', 'task-simulation-8d06b893fe8b3c72-exec-2'), ('59:45', 'task-simulation-8d06b893fe8b3c72-exec-3'), ('59:45', 'task-simulation-8d06b893fe8b3c72-exec-4'), ('59:45', 'task-simulation-8d06b893fe8b3c72-exec-5'), ('59:46', 'task-simulation-8d06b893fe8b3c72-exec-6'), ('59:46', 'task-simulation-8d06b893fe8b3c72-exec-7'), ('59:46', 'task-simulation-8d06b893fe8b3c72-exec-8'), ('59:47', 'task-simulation-8d06b893fe8b3c72-exec-1'), ('59:48', 'task-simulation-8d06b893fe8b3c72-exec-2'), ('59:48', 'task-simulation-8d06b893fe8b3c72-exec-3'), ('59:48', 'task-simulation-8d06b893fe8b3c72-exec-4'), ('59:48', 'task-simulation-8d06b893fe8b3c72-exec-5'), ('59:49', 'task-simulation-8d06b893fe8b3c72-exec-6'), ('59:49', 'task-simulation-8d06b893fe8b3c72-exec-7'), ('59:49', 'task-simulation-8d06b893fe8b3c72-exec-8')]"
3,2024-12-25 16:00:00.537341,2024-12-25 16:00:27.853879,36.8625,"[('00:19', 'task-simulation-2b540093fe8c10d6-exec-1'), ('00:20', 'task-simulation-2b540093fe8c10d6-exec-1'), ('00:22', 'task-simulation-2b540093fe8c10d6-exec-1')]"
4,2024-12-25 16:00:16.533284,2024-12-25 16:01:23.223548,1383.4960000000008,"[('00:34', 'task-simulation-3b53be93fe8c4ffb-exec-1'), ('00:36', 'task-simulation-3b53be93fe8c4ffb-exec-1'), ('00:37', 'task-simulation-3b53be93fe8c4ffb-exec-1'), ('00:37', 'task-simulation-3b53be93fe8c4ffb-exec-2'), ('00:38', 'task-simulation-3b53be93fe8c4ffb-exec-3'), ('00:38', 'task-simulation-3b53be93fe8c4ffb-exec-4'), ('00:38', 'task-simulation-3b53be93fe8c4ffb-exec-5'), ('00:38', 'task-simulation-3b53be93fe8c4ffb-exec-7'), ('00:40', 'task-simulation-3b53be93fe8c4ffb-exec-1'), ('00:40', 'task-simulation-3b53be93fe8c4ffb-exec-2'), ('00:40', 'task-simulation-3b53be93fe8c4ffb-exec-3'), ('00:40', 'task-simulation-3b53be93fe8c4ffb-exec-4'), ('00:41', 'task-simulation-3b53be93fe8c4ffb-exec-5'), ('00:41', 'task-simulation-3b53be93fe8c4ffb-exec-6'), ('00:41', 'task-simulation-3b53be93fe8c4ffb-exec-7'), ('00:41', 'task-simulation-3b53be93fe8c4ffb-exec-8'), ('00:43', 'task-simulation-3b53be93fe8c4ffb-exec-1'), ('00:43', 'task-simulation-3b53be93fe8c4ffb-exec-2'), ('00:43', 'task-simulation-3b53be93fe8c4ffb-exec-3'), ('00:43', 'task-simulation-3b53be93fe8c4ffb-exec-4'), ('00:44', 'task-simulation-3b53be93fe8c4ffb-exec-5'), ('00:44', 'task-simulation-3b53be93fe8c4ffb-exec-6'), ('00:44', 'task-simulation-3b53be93fe8c4ffb-exec-7'), ('00:44', 'task-simulation-3b53be93fe8c4ffb-exec-8'), ('00:46', 'task-simulation-3b53be93fe8c4ffb-exec-1'), ('00:46', 'task-simulation-3b53be93fe8c4ffb-exec-2'), ('00:46', 'task-simulation-3b53be93fe8c4ffb-exec-3'), ('00:47', 'task-simulation-3b53be93fe8c4ffb-exec-4'), ('00:47', 'task-simulation-3b53be93fe8c4ffb-exec-5'), ('00:47', 'task-simulation-3b53be93fe8c4ffb-exec-6'), ('00:47', 'task-simulation-3b53be93fe8c4ffb-exec-7'), ('00:48', 'task-simulation-3b53be93fe8c4ffb-exec-8'), ('00:49', 'task-simulation-3b53be93fe8c4ffb-exec-1'), ('00:49', 'task-simulation-3b53be93fe8c4ffb-exec-2'), ('00:49', 'task-simulation-3b53be93fe8c4ffb-exec-3'), ('00:50', 'task-simulation-3b53be93fe8c4ffb-exec-4'), ('00:50', 'task-simulation-3b53be93fe8c4ffb-exec-5'), ('00:50', 'task-simulation-3b53be93fe8c4ffb-exec-6'), ('00:50', 'task-simulation-3b53be93fe8c4ffb-exec-7'), ('00:50', 'task-simulation-3b53be93fe8c4ffb-exec-8'), ('00:52', 'task-simulation-3b53be93fe8c4ffb-exec-1'), ('00:52', 'task-simulation-3b53be93fe8c4ffb-exec-2'), ('00:52', 'task-simulation-3b53be93fe8c4ffb-exec-3'), ('00:53', 'task-simulation-3b53be93fe8c4ffb-exec-4'), ('00:53', 'task-simulation-3b53be93fe8c4ffb-exec-5'), ('00:53', 'task-simulation-3b53be93fe8c4ffb-exec-6'), ('00:53', 'task-simulation-3b53be93fe8c4ffb-exec-7'), ('00:53', 'task-simulation-3b53be93fe8c4ffb-exec-8'), ('00:55', 'task-simulation-3b53be93fe8c4ffb-exec-1'), ('00:55', 'task-simulation-3b53be93fe8c4ffb-exec-2'), ('00:55', 'task-simulation-3b53be93fe8c4ffb-exec-3'), ('00:56', 'task-simulation-3b53be93fe8c4ffb-exec-4'), ('00:56', 'task-simulation-3b53be93fe8c4ffb-exec-5'), ('00:56', 'task-simulation-3b53be93fe8c4ffb-exec-6'), ('00:56', 'task-simulation-3b53be93fe8c4ffb-exec-7'), ('00:57', 'task-simulation-3b53be93fe8c4ffb-exec-8'), ('00:58', 'task-simulation-3b53be93fe8c4ffb-exec-1'), ('00:58', 'task-simulation-3b53be93fe8c4ffb-exec-2'), ('00:58', 'task-simulation-3b53be93fe8c4ffb-exec-3'), ('00:59', 'task-simulation-3b53be93fe8c4ffb-exec-4'), ('00:59', 'task-simulation-3b53be93fe8c4ffb-exec-5'), ('00:59', 'task-simulation-3b53be93fe8c4ffb-exec-6'), ('00:59', 'task-simulation-3b53be93fe8c4ffb-exec-7'), ('01:00', 'task-simulation-3b53be93fe8c4ffb-exec-8'), ('01:01', 'task-simulation-3b53be93fe8c4ffb-exec-1'), ('01:01', 'task-simulation-3b53be93fe8c4ffb-exec-2'), ('01:02', 'task-simulation-3b53be93fe8c4ffb-exec-3'), ('01:02', 'task-simulation-3b53be93fe8c4ffb-exec-4'), ('01:02', 'task-simulation-3b53be93fe8c4ffb-exec-5'), ('01:02', 'task-simulation-3b53be93fe8c4ffb-exec-6'), ('01:02', 'task-simulation-3b53be93fe8c4ffb-exec-7'), ('01:03', 'task-simulation-3b53be93fe8c4ffb-exec-8'), ('01:04', 'task-simulation-3b53be93fe8c4ffb-exec-1'), ('01:04', 'task-simulation-3b53be93fe8c4ffb-exec-2'), ('01:04', 'task-simulation-3b53be93fe8c4ffb-exec-3'), ('01:05', 'task-simulation-3b53be93fe8c4ffb-exec-4'), ('01:05', 'task-simulation-3b53be93fe8c4ffb-exec-5'), ('01:05', 'task-simulation-3b53be93fe8c4ffb-exec-6'), ('01:05', 'task-simulation-3b53be93fe8c4ffb-exec-7'), ('01:06', 'task-simulation-3b53be93fe8c4ffb-exec-8'), ('01:07', 'task-simulation-3b53be93fe8c4ffb-exec-1'), ('01:07', 'task-simulation-3b53be93fe8c4ffb-exec-2'), ('01:07', 'task-simulation-3b53be93fe8c4ffb-exec-3'), ('01:08', 'task-simulation-3b53be93fe8c4ffb-exec-4'), ('01:08', 'task-simulation-3b53be93fe8c4ffb-exec-5'), ('01:08', 'task-simulation-3b53be93fe8c4ffb-exec-6'), ('01:09', 'task-simulation-3b53be93fe8c4ffb-exec-7'), ('01:09', 'task-simulation-3b53be93fe8c4ffb-exec-8'), ('01:10', 'task-simulation-3b53be93fe8c4ffb-exec-1'), ('01:10', 'task-simulation-3b53be93fe8c4ffb-exec-2'), ('01:11', 'task-simulation-3b53be93fe8c4ffb-exec-3'), ('01:11', 'task-simulation-3b53be93fe8c4ffb-exec-4'), ('01:11', 'task-simulation-3b53be93fe8c4ffb-exec-5'), ('01:11', 'task-simulation-3b53be93fe8c4ffb-exec-6'), ('01:11', 'task-simulation-3b53be93fe8c4ffb-exec-7'), ('01:12', 'task-simulation-3b53be93fe8c4ffb-exec-8'), ('01:13', 'task-simulation-3b53be93fe8c4ffb-exec-1'), ('01:13', 'task-simulation-3b53be93fe8c4ffb-exec-2'), ('01:13', 'task-simulation-3b53be93fe8c4ffb-exec-3'), ('01:14', 'task-simulation-3b53be93fe8c4ffb-exec-4'), ('01:14', 'task-simulation-3b53be93fe8c4ffb-exec-5'), ('01:14', 'task-simulation-3b53be93fe8c4ffb-exec-6'), ('01:14', 'task-simulation-3b53be93fe8c4ffb-exec-7'), ('01:14', 'task-simulation-3b53be93fe8c4ffb-exec-8'), ('01:16', 'task-simulation-3b53be93fe8c4ffb-exec-1'), ('01:16', 'task-simulation-3b53be93fe8c4ffb-exec-2'), ('01:16', 'task-simulation-3b53be93fe8c4ffb-exec-3'), ('01:16', 'task-simulation-3b53be93fe8c4ffb-exec-4'), ('01:17', 'task-simulation-3b53be93fe8c4ffb-exec-5'), ('01:17', 'task-simulation-3b53be93fe8c4ffb-exec-6'), ('01:17', 'task-simulation-3b53be93fe8c4ffb-exec-7'), ('01:17', 'task-simulation-3b53be93fe8c4ffb-exec-8')]"
5,2024-12-25 16:00:39.810787,2024-12-25 16:01:07.105153,12.4015,"[('01:00', 'task-simulation-615fa593fe8ca9d3-exec-1')]"
7,2024-12-25 16:01:04.050740,2024-12-25 16:01:32.127919,49.606,"[('01:23', 'task-simulation-6cc37f93fe8d0bff-exec-1'), ('01:24', 'task-simulation-6cc37f93fe8d0bff-exec-1'), ('01:26', 'task-simulation-6cc37f93fe8d0bff-exec-1'), ('01:27', 'task-simulation-6cc37f93fe8d0bff-exec-1')]"
8,2024-12-25 16:01:20.867447,2024-12-25 16:01:55.151907,384.4465,"[('01:39', 'task-simulation-bc329393fe8d48d3-exec-1'), ('01:40', 'task-simulation-bc329393fe8d48d3-exec-1'), ('01:40', 'task-simulation-bc329393fe8d48d3-exec-2'), ('01:41', 'task-simulation-bc329393fe8d48d3-exec-3'), ('01:42', 'task-simulation-bc329393fe8d48d3-exec-1'), ('01:42', 'task-simulation-bc329393fe8d48d3-exec-2'), ('01:42', 'task-simulation-bc329393fe8d48d3-exec-3'), ('01:43', 'task-simulation-bc329393fe8d48d3-exec-4'), ('01:43', 'task-simulation-bc329393fe8d48d3-exec-5'), ('01:43', 'task-simulation-bc329393fe8d48d3-exec-6'), ('01:43', 'task-simulation-bc329393fe8d48d3-exec-7'), ('01:45', 'task-simulation-bc329393fe8d48d3-exec-1'), ('01:45', 'task-simulation-bc329393fe8d48d3-exec-2'), ('01:45', 'task-simulation-bc329393fe8d48d3-exec-3'), ('01:45', 'task-simulation-bc329393fe8d48d3-exec-4'), ('01:46', 'task-simulation-bc329393fe8d48d3-exec-5'), ('01:46', 'task-simulation-bc329393fe8d48d3-exec-6'), ('01:46', 'task-simulation-bc329393fe8d48d3-exec-7'), ('01:47', 'task-simulation-bc329393fe8d48d3-exec-1'), ('01:48', 'task-simulation-bc329393fe8d48d3-exec-2'), ('01:48', 'task-simulation-bc329393fe8d48d3-exec-3'), ('01:48', 'task-simulation-bc329393fe8d48d3-exec-4'), ('01:48', 'task-simulation-bc329393fe8d48d3-exec-5'), ('01:48', 'task-simulation-bc329393fe8d48d3-exec-6'), ('01:49', 'task-simulation-bc329393fe8d48d3-exec-7'), ('01:50', 'task-simulation-bc329393fe8d48d3-exec-1'), ('01:50', 'task-simulation-bc329393fe8d48d3-exec-2'), ('01:51', 'task-simulation-bc329393fe8d48d3-exec-3'), ('01:51', 'task-simulation-bc329393fe8d48d3-exec-4'), ('01:51', 'task-simulation-bc329393fe8d48d3-exec-5'), ('01:51', 'task-simulation-bc329393fe8d48d3-exec-7')]"
9,2024-12-25 16:02:01.919596,2024-12-25 16:03:08.030529,1329.6936666666672,"[('02:21', 'task-simulation-86cd4593fe8deba7-exec-1'), ('02:22', 'task-simulation-86cd4593fe8deba7-exec-2'), ('02:22', 'task-simulation-86cd4593fe8deba7-exec-3'), ('02:23', 'task-simulation-86cd4593fe8deba7-exec-1'), ('02:24', 'task-simulation-86cd4593fe8deba7-exec-2'), ('02:24', 'task-simulation-86cd4593fe8deba7-exec-3'), ('02:24', 'task-simulation-86cd4593fe8deba7-exec-4'), ('02:24', 'task-simulation-86cd4593fe8deba7-exec-5'), ('02:24', 'task-simulation-86cd4593fe8deba7-exec-6'), ('02:25', 'task-simulation-86cd4593fe8deba7-exec-7'), ('02:26', 'task-simulation-86cd4593fe8deba7-exec-1'), ('02:26', 'task-simulation-86cd4593fe8deba7-exec-2'), ('02:26', 'task-simulation-86cd4593fe8deba7-exec-3'), ('02:27', 'task-simulation-86cd4593fe8deba7-exec-4'), ('02:27', 'task-simulation-86cd4593fe8deba7-exec-5'), ('02:27', 'task-simulation-86cd4593fe8deba7-exec-6'), ('02:28', 'task-simulation-86cd4593fe8deba7-exec-7'), ('02:28', 'task-simulation-86cd4593fe8deba7-exec-8'), ('02:30', 'task-simulation-86cd4593fe8deba7-exec-1'), ('02:30', 'task-simulation-86cd4593fe8deba7-exec-2'), ('02:30', 'task-simulation-86cd4593fe8deba7-exec-3'), ('02:30', 'task-simulation-86cd4593fe8deba7-exec-4'), ('02:31', 'task-simulation-86cd4593fe8deba7-exec-5'), ('02:31', 'task-simulation-86cd4593fe8deba7-exec-6'), ('02:31', 'task-simulation-86cd4593fe8deba7-exec-7'), ('02:31', 'task-simulation-86cd4593fe8deba7-exec-8'), ('02:33', 'task-simulation-86cd4593fe8deba7-exec-1'), ('02:34', 'task-simulation-86cd4593fe8deba7-exec-2'), ('02:34', 'task-simulation-86cd4593fe8deba7-exec-3'), ('02:34', 'task-simulation-86cd4593fe8deba7-exec-4'), ('02:34', 'task-simulation-86cd4593fe8deba7-exec-5'), ('02:35', 'task-simulation-86cd4593fe8deba7-exec-6'), ('02:35', 'task-simulation-86cd4593fe8deba7-exec-7'), ('02:35', 'task-simulation-86cd4593fe8deba7-exec-8'), ('02:37', 'task-simulation-86cd4593fe8deba7-exec-1'), ('02:37', 'task-simulation-86cd4593fe8deba7-exec-2'), ('02:37', 'task-simulation-86cd4593fe8deba7-exec-3'), ('02:38', 'task-simulation-86cd4593fe8deba7-exec-4'), ('02:38', 'task-simulation-86cd4593fe8deba7-exec-5'), ('02:38', 'task-simulation-86cd4593fe8deba7-exec-6'), ('02:38', 'task-simulation-86cd4593fe8deba7-exec-7'), ('02:39', 'task-simulation-86cd4593fe8deba7-exec-8'), ('02:40', 'task-simulation-86cd4593fe8deba7-exec-1'), ('02:40', 'task-simulation-86cd4593fe8deba7-exec-2'), ('02:40', 'task-simulation-86cd4593fe8deba7-exec-3'), ('02:41', 'task-simulation-86cd4593fe8deba7-exec-4'), ('02:41', 'task-simulation-86cd4593fe8deba7-exec-5'), ('02:41', 'task-simulation-86cd4593fe8deba7-exec-6'), ('02:41', 'task-simulation-86cd4593fe8deba7-exec-7'), ('02:41', 'task-simulation-86cd4593fe8deba7-exec-8'), ('02:43', 'task-simulation-86cd4593fe8deba7-exec-1'), ('02:43', 'task-simulation-86cd4593fe8deba7-exec-2'), ('02:43', 'task-simulation-86cd4593fe8deba7-exec-3'), ('02:43', 'task-simulation-86cd4593fe8deba7-exec-4'), ('02:44', 'task-simulation-86cd4593fe8deba7-exec-5'), ('02:44', 'task-simulation-86cd4593fe8deba7-exec-6'), ('02:44', 'task-simulation-86cd4593fe8deba7-exec-7'), ('02:44', 'task-simulation-86cd4593fe8deba7-exec-8'), ('02:46', 'task-simulation-86cd4593fe8deba7-exec-1'), ('02:46', 'task-simulation-86cd4593fe8deba7-exec-2'), ('02:46', 'task-simulation-86cd4593fe8deba7-exec-3'), ('02:46', 'task-simulation-86cd4593fe8deba7-exec-4'), ('02:46', 'task-simulation-86cd4593fe8deba7-exec-5'), ('02:47', 'task-simulation-86cd4593fe8deba7-exec-6'), ('02:47', 'task-simulation-86cd4593fe8deba7-exec-7'), ('02:47', 'task-simulation-86cd4593fe8deba7-exec-8'), ('02:49', 'task-simulation-86cd4593fe8deba7-exec-1'), ('02:49', 'task-simulation-86cd4593fe8deba7-exec-2'), ('02:49', 'task-simulation-86cd4593fe8deba7-exec-3'), ('02:49', 'task-simulation-86cd4593fe8deba7-exec-4'), ('02:49', 'task-simulation-86cd4593fe8deba7-exec-5'), ('02:50', 'task-simulation-86cd4593fe8deba7-exec-6'), ('02:50', 'task-simulation-86cd4593fe8deba7-exec-7'), ('02:50', 'task-simulation-86cd4593fe8deba7-exec-8'), ('02:52', 'task-simulation-86cd4593fe8deba7-exec-1'), ('02:52', 'task-simulation-86cd4593fe8deba7-exec-2'), ('02:52', 'task-simulation-86cd4593fe8deba7-exec-3'), ('02:52', 'task-simulation-86cd4593fe8deba7-exec-4'), ('02:52', 'task-simulation-86cd4593fe8deba7-exec-5'), ('02:53', 'task-simulation-86cd4593fe8deba7-exec-6'), ('02:53', 'task-simulation-86cd4593fe8deba7-exec-7'), ('02:53', 'task-simulation-86cd4593fe8deba7-exec-8'), ('02:54', 'task-simulation-86cd4593fe8deba7-exec-1'), ('02:55', 'task-simulation-86cd4593fe8deba7-exec-2'), ('02:55', 'task-simulation-86cd4593fe8deba7-exec-3'), ('02:55', 'task-simulation-86cd4593fe8deba7-exec-4'), ('02:55', 'task-simulation-86cd4593fe8deba7-exec-5'), ('02:55', 'task-simulation-86cd4593fe8deba7-exec-6'), ('02:56', 'task-simulation-86cd4593fe8deba7-exec-7'), ('02:56', 'task-simulation-86cd4593fe8deba7-exec-8'), ('02:57', 'task-simulation-86cd4593fe8deba7-exec-1'), ('02:57', 'task-simulation-86cd4593fe8deba7-exec-2'), ('02:58', 'task-simulation-86cd4593fe8deba7-exec-3'), ('02:58', 'task-simulation-86cd4593fe8deba7-exec-4'), ('02:58', 'task-simulation-86cd4593fe8deba7-exec-5'), ('02:58', 'task-simulation-86cd4593fe8deba7-exec-6'), ('02:59', 'task-simulation-86cd4593fe8deba7-exec-7'), ('02:59', 'task-simulation-86cd4593fe8deba7-exec-8'), ('03:00', 'task-simulation-86cd4593fe8deba7-exec-1'), ('03:00', 'task-simulation-86cd4593fe8deba7-exec-2'), ('03:01', 'task-simulation-86cd4593fe8deba7-exec-3'), ('03:01', 'task-simulation-86cd4593fe8deba7-exec-4'), ('03:01', 'task-simulation-86cd4593fe8deba7-exec-5'), ('03:01', 'task-simulation-86cd4593fe8deba7-exec-6'), ('03:02', 'task-simulation-86cd4593fe8deba7-exec-7'), ('03:02', 'task-simulation-86cd4593fe8deba7-exec-8')]"
10,2024-12-25 16:02:10.044869,2024-12-25 16:02:42.983467,100.83333333333334,"[('02:29', 'task-simulation-74261893fe8e09ac-exec-1'), ('02:29', 'task-simulation-74261893fe8e09ac-exec-2'), ('02:33', 'task-simulation-74261893fe8e09ac-exec-1'), ('02:33', 'task-simulation-74261893fe8e09ac-exec-2'), ('02:33', 'task-simulation-74261893fe8e09ac-exec-3'), ('02:36', 'task-simulation-74261893fe8e09ac-exec-1'), ('02:37', 'task-simulation-74261893fe8e09ac-exec-2'), ('02:37', 'task-simulation-74261893fe8e09ac-exec-3')]"
